MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAmber. Vorrei scambiare due *parole*.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08アンバー\nScusa se ti ho fatto attendere, Zelkov! Indovina\ncosa ho appena ricevuto? La lana di alpaca!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nEccellente. In termini di *sofficità* è persino\nsuperiore alla mia aspettativa.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nMa certo! La lana di alpaca è calda, leggera e\nresistente. Praticamente il materiale perfetto!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nSi vede che è di qualità eccelsa. Il mio\n*capolavoro* non può che avere una riuscita\nassicurata.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nQuando gli amanti del lavoro a maglia di tutto\nil mondo vedranno la mia opera, Amber, sarai\n*tu* ad avere la loro riconoscenza.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nAnche la mia famiglia lavora la lana di alpaca.\nVedi questo maglione? Lo ha fatto mio papà!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nInteressante. Per quanto concerne il\n*pagamento*...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nOh, non voglio soldi. Consideralo un regalo!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nMa bisogna sempre pagare un servizio.\nAltrimenti si incorre in un *debito*.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nNon preoccuparti, davvero. Quando ho scritto\ndi te ai miei genitori, erano contenti di poterti\nspedire la lana!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nAppena hanno saputo che volevi usare\nla famosa lana della nostra fattoria, hanno\nrisposto che per te è gratis!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nNon vorrai mica rifiutare un gesto gentile da\nparte di umili allevatori di alpaca?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nSe le cose stanno così, allora accetto, seppur\ncon *riluttanza*.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nMa per ringraziarli manderò loro un maglione\ndalla fattura *impeccabile*.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nL'unico modo di mostrare appieno il mio\n*apprezzamento* è superare la qualità del loro\nprodotto.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アンバー\nWow, la mia famiglia sarà felicissima di ricevere\nun maglione fatto a mano da te, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nAllora è deciso. Non avrò riposo finché la tua\nfamiglia al completo non potrà *ammirare* la\nmia creazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nHo *completato* la mia opera, Amber.\nEcco cosa manderò alla tua famiglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nWow, Zelkov! Ma è incredibile! Che rifiniture,\ne che tecnica...!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nÈ il miglior maglione che abbia mai visto!\nPersino meglio di come li facciamo noi a casa!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nOra ho *espresso* la mia gratitudine. Addio.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nAspetta! Zelkov!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nMh? Hai altro da *aggiungere*?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nCi tenevo a dirti che hai davvero superato\nintere generazioni di professionisti con un\nsingolo lavoro.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nSo che ci hai messo tutto te stesso... ma deve\npur esserci un segreto. Non può essere solo\nquello, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nPormi degli obiettivi futili mi dà una ragione\nper sopravvivere. Sono la mia *ancora di\nsalvezza*, per così dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nCosa intendi con ancora di salvezza?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nCiò che più mi terrorizza è una vita priva di\nobiettivi. Non avere *motivazione*.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nIl mio scopo attuale è *proteggere*\nla principessa Ivy. Ma questo solo\nfinché non sarà raggiunta la pace.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nPerciò ho bisogno di questa *ancora di\nsalvezza*: un obiettivo secondario che mi dia\nqualcosa in cui credere.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nUrca, che parole... Anch'io ho degli obiettivi, ma\npiù che altro cerco di vivere alla giornata.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nDa questo punto di vista, Amber, ti *invidio*.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nAscolta, Zelkov... Se alla fine della guerra non\navrai ragioni per vivere...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\n... perché non provi a trasferirti al mio villaggio?\nQuello degli alpaca.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nE a quale *scopo*?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アンバー\nMa come quale? Per come lavori a maglia tu,\nla gente ti coprirà di soldi!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nPotresti creare abiti e decorazioni, senza\ncontare che saresti circondato da veri alpaca!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nCapisco *l'attrattiva*.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nPer cominciare dovresti venire a fare un giro.\nAlmeno per farti un'idea, prima di mettere\nradici.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nLa mia famiglia, me incluso, ti accoglierebbe\na braccia aperte!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nE va bene. Nulla mi vieta di fare una *capatina*.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nAnche se non sappiamo che futuro ci attende,\npossiamo almeno avere qualcosa a cui aspirare.\x0E\x04\x00\x00
