MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nBuongiorno, Panette! Yurrà!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パネトネ\nPurtuttavia... codesta vostra falsa guisa mi\nrende irrequieta.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nUh...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nYunaka, non posso esimermi dal pormi molte\ndomande sul vostro passato.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nComprendo il vostro riserbo, ma non potreste\nalmeno condividere qualche esiguo dettaglio,\ndi grazia?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nE va bene...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nI miei genitori mi abbandonarono quando ero\nancora una bambina. E da quel momento in poi\nle cose non furono una passeggiata.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nNon amo pensarci e men che meno parlarne.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nMi addolora apprenderlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パネトネ\nNeanch'io sono estranea ai dolori della\nnegligenza familiare.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nDavvero?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nAhimè, sì. Mio padre era dedito al bere. E la\nmia genitrice non era mai in casa.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パネトネ\nChi mai avrebbe detto che proveniamo da\nrealtà similari?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nIo no di certo. Ma in un certo senso è di\nconforto. Mi fa sentire meno sola.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nMh?!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nBanditi in arrivo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nA occhio direi... una decina.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nHanno fegato ad attaccarci, eh?\nGli spappoleremo la faccia.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nBrutti pezzi di idioti, non avete capito con chi\navete a che fare! Vi faccio piangere, vi faccio!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パネトネ\nUn altro passo e vi metto le budella per\ncappello!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ユナカ\nPreferirei risolvere la questione pacificamente...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nMa se proprio insistete a combattere... beh,\nnon posso tirarmi indietro.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nAvete sentito? Che siano altri banditi?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nChe c'è? Siete tornati per farvi saccagnare\ndi nuovo?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nNon capita spesso di trovare dei banditi così\nfrignoni! Piangono come gattini!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nOh, no, no, un momento. Era davvero un gatto!\nMi sono lasciata spaventare da un micetto\ninnocuo.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パネトネ\nOh! Avete ragione. Che sollievo, di grazia!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パネトネ\nSe posso permettermi, Yunaka, ammiro quel\nvostro atteggiamento che assumete in battaglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nPotrei dire la stessa cosa di voi! Siete sempre\ncosì educata, ma con quei banditi non vi siete\ncerto trattenuta!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nEbbene sì. Nei momenti di periglio, mi torna\na ribollire il sangue come ai vecchi tempi.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nCome vi capisco. Anche io a volte ricasco nei\nmiei vecchi comportamenti, come avete potuto\nconstatare.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nAbbiamo così tante cose in comune. Beh...\nche rimangano un segreto.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nNe convengo. E ora lasciate che vi porga\nle mie scuse per avere insistito sul vostro\nmodo di parlare.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nTemo di essere stata alquanto presuntuosa con\nle mie accuse. Avrei dovuto prima guardare me\nstessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nScuse accettate. Ma tutto sommato è servito\na farmi capire che ho ancora molto lavoro da\nfare per migliorare la mia credibilità.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nPotremmo aiutarci a vicenda.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nOttima idea! Yurrà!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nUhm... Avrei ancora una domanda, di grazia...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nPerché dite sempre "yurrà"?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nOh. Ecco...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nEbbene?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\nMistero! Ve lo spiegherò quando saremo più\nin confidenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パネトネ\nAllora non mi lasciate scelta.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パネトネ\nDovremo diventare amiche!\x0E\x04\x00\x00
