MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nSaphir...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPerfetto. La competizione si terrà uno\ndei prossimi giorni. Ti farò sapere i dettagli.\nIl piatto forte sarà il pesce, naturalmente.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPreparati, perché ti farò a polpette... di pesce!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nEccoci al giorno della sfida! Sei pronta?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEcco...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nA dire il vero...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nChe c'è che non va? Non dovevi farmi a\npolpette di pesce?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMi vergogno quasi a dirlo, ma non ho il pesce.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\nAh, no? Peccato. Io invece ho pescato questo...\nNon se ne trovano molti da queste parti.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAllora ho perso prima ancora che la gara sia\niniziata.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nNo, non direi. Ne ho uno anche per te.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEh? E perché me lo dai?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nSe c'è una cosa che non sopporto sono\nle ingiustizie. È una gara di cucina, non\ndi pesca.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHai ragione...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGrazie, Saphir. Il tuo è un gesto molto nobile.\nSono commossa dalla tua gentilezza.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nE ora, per quanto non voglia perdere la sfida\nculinaria, non voglio neanche essere seconda\nin quanto a galanteria...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPer cui, ecco, accetta queste.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nザフィーア\nCosa sono?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSono delle erbe rare. Non è stato facile trovarle,\nma ora mi sentirei in colpa a usarle solo io.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nCaspita, sono rare davvero! Ahah, sei proprio\nuna brava persona, Goldmary. Mi piaci.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\nE ora, ai fornelli! Che vinca la migliore!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nD'accordo. Comunque vincerò io!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nLa gara è stata un successo. Sono contenta che\nsia finita in parità.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nザフィーア\nGià, mi sono divertita. E contro una come te,\nmi accontento di essere alla pari.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nMa per quanto la sfida sia stata intensa,\nc'è stato qualcosa di ancora più bello.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nIl vero onore per me sono stati tutti i sorrisi\nsui volti di chi ha mangiato i nostri piatti.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPuoi ben dirlo...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl pubblico sembrava senza energie prima che\ncominciassimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa dopo mangiato, tutti hanno ritrovato\nle forze.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nEh, già. Abbiamo fatto la nostra parte.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSaphir, devo dire che mi hai scaldato il cuore\nper come hai gestito la cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nザフィーア\nMh? Come mai?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSe ho potuto cucinare quei manicaretti è solo\ngrazie a te. Non eri costretta a condividere\nil pesce, eppure lo hai fatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSenza la tua generosità, mi sarei esposta\nal pubblico ludibrio...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa invece di goderti la mia umiliazione, non\nci hai pensato su due volte e mi hai aiutata.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nAhah, ma che dici? Potrei dire la stessa cosa\ndi te, allora.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nLe erbe che mi hai regalato sono state un\ningrediente decisivo per la riuscita del mio\npiatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nMa anche tu non me lo hai rinfacciato, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIhih.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nザフィーア\nChe c'è da ridere? Ho detto qualcosa di buffo?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nStavo pensando che mi stupisco di me stessa,\nper non aver detto niente.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNormalmente non mi sarei fatta scrupoli a\nprendermi tutto il merito per quelle erbe.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa in questa situazione, sono stata ispirata\ndal tuo bel gesto.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nザフィーア\nMi fai commuovere.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSaphir, mi piacerebbe rifarlo, in futuro.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon deve per forza essere una gara. Possiamo\nanche solo cucinare qualcosa di buono da\ncondividere con gli altri.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nザフィーア\nD'accordo. E la prossima volta potremmo\ncucinare qualcosa di diverso dal pesce.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nザフィーア\nAnche se non me ne intendo molto di ricette\nche non siano a base di pesce. Mi sa che\ndovrai insegnarmi qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCon piacere. Ti insegnerò tutti i trucchetti.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCosì potrò ispirarti anch'io, in qualche modo.\x0E\x04\x00\x00
