MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08リュール\nEhi, Nel. Come stai? Hai problemi ad abituarti?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nTipico tuo non averne la minima idea.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Ho notato i tuoi sforzi per proteggermi in\nbattaglia e sappi che li apprezzo.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Tuttavia, questo nobile gesto ti è costato una\nferita.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nAh, te ne sei accorta. Non è niente, solo un\ngraffio.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\nPersino una ferita superficiale può rivelarsi\ndolorosa. Lascia che ti medichi.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nOh, grazie.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\nL'altro Drago Divino di mia conoscenza\naveva la tua stessa noncuranza nei confronti\ndelle ferite.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Non esitava a lanciarsi in aiuto degli altri.\nPensava al benessere altrui, prima che al suo.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Tu sei la colonna portante di questo esercito,\ndovresti fare più attenzione alla tua salute.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nHai ragione, chiedo scusa. Prometto che starò\npiù attent\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nLe promesse sono facili a dirsi, ma non\naltrettanto a mantenersi, a conti fatti.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nAhah, non mi dai proprio tregua, eh?\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Ah, Nel, toglimi una curiosità.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Quanto ho davvero in comune con il Drago\nDivino del tuo mondo?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nCome mai questo improvviso interesse?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nMe lo domandavo da un po'.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Quando mi hai salvato la vita nel tuo mondo,\nhai detto che non avresti potuto sopportare\nl'idea di perdermi.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Significa che... io per te...\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Quando mi guardi, vedi me o il Drago Divino\nche conoscevi?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04エル\nEcco, ho finito di disinfettare la ferita. Dovrebbe\nguarire in fretta.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Per oggi, dovresti riposarti e non fare sforzi.\nOra devo andare.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nGrazie, Nel, farò come dici. Buonanotte.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nDrago Divino. Vedo che ti stai godendo un po'\ndi sano riposo, e me ne rallegro.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nAvevo un po' di tempo libero, così ho deciso\ndi seguire il tuo consiglio, una volta tanto.\x0E\x04\x02\x00
MID_RELIANCE_A_#003	Se solo potessi concedermi questo lusso più\nspesso sarebbe perfetto.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nLa vera felicità è quella pace interiore che ti\npermette di abbandonarti al sonno in qualsiasi\nmomento...\x0E\x04\x02\x00
MID_RELIANCE_A_#005	In troppi imparano ad apprezzarla solo dopo\naverla perduta. E poi ci sei tu, che ti adoperi\naffinché possano goderne gli altri.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Ecco la ragione del rispetto che nutro per te.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nRispetto? Dimmi un po'. Dove hai nascosto\nNel e cosa le hai fatto?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04エル\nHai poco da sorprenderti. Ciò che ho detto\ncorrisponde alla pura verità.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Forse l'ho solo dissimulata meglio di\nquanto credessi.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nUn pochino, sì.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04エル\nRiguardo alla tua domanda della scorsa volta,\ncredo di avere una risposta.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	L'ho sempre avuta, a dire il vero, ma non\nriuscivo a trovare le parole.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nTranquilla, ti capisco.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Ma ora che hai la risposta, vorrei proprio\nsentirla.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Allora, ai tuoi occhi appaio come il Drago\nDivino che conoscevi?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04エル\nNo. Avete lo stesso nome e occhi somiglianti,\nma siete due persone distinte.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Quando sono al tuo fianco, dentro e fuori dalla\nbattaglia, vedo solo te, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	È te che voglio proteggere. E sono i tuoi\nnemici che voglio annientare.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nGrazie, mi hai tolto un peso dalle spalle.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Sappi che provo la tua stessa devozione.\nAnch'io voglio proteggerti.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Non voglio perderti un'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04エル\nNon è facile per me sentire queste parole,\nDrago Divino.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Tuttavia, puoi essere cert\x0E\x0A\x00\x08\x02o\x02a che le porterò per\nsempre nel mio cuore.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Battiamoci per difendere ciò che abbiamo di\npiù caro.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nDrago Divino, lascia che ti assista nei preparativi\nper la prossima battaglia.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nMolto gentile, Nel.\x0E\x04\x02\x00
MID_RELIANCE_S_#003	In realtà io sono pront\x0E\x0A\x00\x08\x02o\x02a, ma magari gli altri\nalleati hanno bisogno di aiuto.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x06\x04エル\nCapisco.\x0E\x04\x02\x00
MID_RELIANCE_S_#005	...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nCosa c'è?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x06\x04エル\nChiedo scusa. La mia offerta di aiuto era solo\nuna scusa per passare del tempo insieme.\x0E\x04\x02\x00
MID_RELIANCE_S_#008	Sono preoccupata.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nDimmi tutto, magari posso aiutarti.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x06\x04エル\nTi ho vist\x0E\x0A\x00\x08\x02o\x02a affrontare molte battaglie, e ora\npersino la morte.\x0E\x04\x02\x00
MID_RELIANCE_S_#011	Questa guerra ha avuto un forte impatto sul tuo\nfisico, così come sulla tua mente. Dimmi come\nti senti.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nSto bene, stai tranquilla.\x0E\x04\x02\x00
MID_RELIANCE_S_#013	Ovviamente sono stanc\x0E\x0A\x00\x08\x02o\x02a, ma proseguo per la\nmia strada.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	Anzi, non mi sono mai sentit\x0E\x0A\x00\x08\x02o\x02a così forte.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	Non è solo perché sono il tredicesimo\nemblema, ma anche perché ho tutti i miei\namici... specialmente te.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x06\x04エル\nSe non ti conoscessi così bene, avrei attribuito\nla tua forza al tuo sangue di Drago Divino.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Immagina il mio stupore quando ho scoperto\nche in realtà sei figli\x0E\x0A\x00\x08\x02o\x02a del Drago Maligno.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Pur non essendo imparentat\x0E\x0A\x00\x08\x02i\x02e, condividiamo\nla stessa stirpe. Sappi che ne sono lieta.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nLe tue parole mi lusingano.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x06\x04エル\nÈ mia intenzione rimanerti accanto il più a lungo\npossibile, anche dopo che ci saremo lasciat\x0E\x0A\x00\x08\x02i\x02e\nalle spalle questa guerra.\x0E\x04\x02\x00
MID_RELIANCE_S_#021	Desidero rimanere accanto a te ed essere\ntestimone del mondo di pace che creerai.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nNon potrei desiderare nessun altro al mio\nfianco. Non riesco neanche a immaginare la\nmia vita senza di te, Nel.\x0E\x04\x02\x00
MID_RELIANCE_S_#023	Infatti, ci sarebbe qualcosa che vorrei darti.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x06\x04エル\nDrago Divino, ma questo...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nÈ l'anello del patto. Mi piacerebbe che fosse il\nsimbolo del nostro futuro assieme. Lo accetti?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nSe mi avessi detto che in me vedi l'altro Drago\nDivino che conoscevi, le cose sarebbero andate\ndiversamente.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	Ma hai detto che vedi me e solo me, qui\ndavanti a te.\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Non potrò mai prendere il posto del Drago\nDivino che conoscevi.\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Tuttavia, posso amarti dal profondo del mio\ncuore, in quanto me stess\x0E\x0A\x00\x08\x02o\x02a. Mi auguro che tu\ncondivida i miei stessi sentimenti...\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x06\x04エル\nSì, Drago Divino, li condivido. E le tue parole\nmi commuovono.\x0E\x04\x02\x00
MID_RELIANCE_S_#032	Non è il momento di piangere, lo so bene. Ecco,\nguarda. Sto sorridendo.\x0E\x04\x02\x00
MID_RELIANCE_S_#033	Accetto il tuo anello con enorme gioia.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08リュール\nNon ho parole per esprimere quanto questo\nmi renda felice.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x06\x04エル\nE ora che il patto è concluso, lasciami rivelare\napertamente i miei sentimenti.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x06\x04エル\nOgni giorno che passa mi piaci sempre di più.\nTi amo, \x0E\x06\x03\x00.\x0E\x04\x00\x00
