MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08リュール\nLouis? Cosa fai qua?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nVero, potrebbe essere il motivo per cui\ndifficilmente mi lascio turbare.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nE forse è anche la causa di questa mia passione.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nIn famiglia eravamo tutti maschi. Trascorrere la\npropria infanzia in un ambiente così non aiuta\nad ampliare la mente.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nSe lo dici tu...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nAnche i tuoi fratelli fanno così?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ルイ\nNo, loro no.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nAllora la tua teoria fa acqua da tutte le parti.\nMi sa che sei proprio fatto così tu, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nAhahah, il mistero si infittisce.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nGrazie per l'aiuto, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nNon so mai che regali comprare per i miei\nfratelli.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nDi niente. Saranno entusiasti di ricevere un\nregalo dal loro fratello, qualsiasi esso sia.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nE la lettera come procede? Volevi spedirla\nassieme ai regali, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nEra il mio piano originario, ma temo di doverlo\nriconsiderare.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nCome mai?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nBeh, volevo scrivere una lettera perché non ero\nsicuro di quando sarei potuto tornare a casa.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nMa quando ho preso la penna in mano, sono\nrimasto a fissare il foglio bianco a lungo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nNon preoccuparti troppo per la forma. Scrivi\nquello che ti passa per la mente.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nDelle parole che vengano dritte dal cuore...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\n"Come va? Io sto bene."\nUff, mi sembra così infantile.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nÈ come per il regalo. Vedrai che saranno\ncontenti della lettera, non importa cosa scrivi.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nL'importante è essere chiaro. Cerca di esprimere\ncome ti senti con parole tue.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nCapisco...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\nAvete ragione, in fondo. Meglio se aggiungo\nanche la lettera.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nE già che ci sono racconterò anche di voi.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nDi me?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nVorrei che i miei fratelli sapessero che persona\nfantastica siete.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nNon è un problema se vi presento alla mia\nfamiglia, spero?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nOh, Louis, mi metti in imbarazzo così.\nComunque va bene, fai pure.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08リュール\nScusa se ti ho fatto aspettare. Di cosa volevi\nparlarmi?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x06\x04ルイ\nVi ringrazio per essere venut\x0E\x0A\x00\x08\x02o\x02a, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x06\x04ルイ\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nLouis?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x06\x04ルイ\nVi andrebbe un tè?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nNo, grazie. Allora, c'è qualcosa che vuoi dirmi?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x06\x04ルイ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nSembri nervoso. Si può sapere che succede?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x06\x04ルイ\nChiedo scusa. Vorrei che il mio nervosismo\nnon fosse così evidente a tutti.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x06\x04ルイ\nVi ho chiesto di venire qui per porvi una\ndomanda molto semplice.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x06\x04ルイ\nMa mi tremano le mani, sudo freddo e le gambe\nnon mi tengono.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nSe c'è qualcosa che ti preoccupa, sputa il\nrospo. Cercherò di aiutarti, se posso.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x06\x04ルイ\nEcco... si tratta dei miei fratelli. Vorrebbero\ntanto incontrarvi quando la guerra sarà finita.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nTutto qui? Non c'è problema.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x06\x04ルイ\nNo, beh, non è solo quello... È il motivo per\ncui vogliono incontrarvi che mi mette in\nimbarazzo. Come dire...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x06\x04ルイ\nCredo che i miei fratelli abbiano intuito quanto\nvoi siate speciale per me, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nCioè?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x06\x04ルイ\nLa lettera che ho inviato loro... era piena di\nlodi e sviolinate nei vostri confronti.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x06\x04ルイ\nE così hanno risposto che, se davvero siete così\nspeciale per me, vogliono incontrarvi.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x06\x04ルイ\nMi hanno anche spedito l'anello di nostra\nmadre. Vorrebbero che ve lo donassi.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nHo capito.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x06\x04ルイ\nVi sto mettendo in una posizione scomoda, e\nme ne scuso.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nChe bell'anello... Allora è per me?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x06\x04ルイ\nCome...?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x06\x04ルイ\nSì, mi fareste felice se lo teneste voi.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nGrazie, Louis.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nSo per certo che con l'esperienza che hai con\ni tuoi fratelli ti prenderai cura di me in modo\namorevole.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nVorrei darti anch'io qualcosa. L'anello del patto.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x06\x04ルイ\nWow! Siete troppo gentile, Drago Divino\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x06\x04ルイ\nDopo la guerra mi piacerebbe portarvi al mio\nvillaggio e farvi gustare l'uva per cui è rinomato.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nNon vedo l'ora. E mi piacerebbe anche\nconoscere la tua famiglia.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x06\x04ルイ\nNon ero che un umile servitore. Non avrei mai\npensato di entrare così in confidenza con voi,\nma sono contento che sia successo.\x0E\x04\x00\x00
