MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nSalve, Nel. Vorrei scambiare due parole, se non\nti dispiace.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	Quindi, se pensi che l'idea possa darti anche\nsolo un minimo di gioia... ti prego, riflettici.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x02\x00
MID_RELIANCE_A_#023	E va bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nDici davvero? Sul serio?!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04エル\nL'idea di un legame familiare alletta anche me,\ncosì come prendermi cura degli altri.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Se davvero questo è il tuo desiderio e ho la\npossibilità di esaudirlo... lo farò.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Grazie per la tua gentilezza e generosità...\nE per la perseveranza, sorella mia.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nNo, grazie a te, Nel. Le tue parole mi riempiono\ndi una felicità indescrivibile!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04エル\nMi fa piacere.\x0E\x04\x02\x00
MID_RELIANCE_A_#030	Parlando di cose serie, a chi spetta il ruolo di\nsorella maggiore?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ヴェイル\nProvenendo da mondi diversi, non è facile\nstabilire chi sia nata prima.\x0E\x04\x02\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x06\x04エル\nSe ci basiamo sull'aspetto esteriore, direi che\nsono io la maggiore.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ヴェイル\nCome, scusa? Ti sbagli! Non vedi i miei capelli?\nSono più lunghi dei tuoi!\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x06\x04エル\nNon capisco come questo possa influire.\x0E\x04\x02\x00
MID_RELIANCE_A_#035	Poco importa. Abbiamo a disposizione secoli\ninteri per risolvere il dibattito.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ヴェイル\nGiusto. E ho tante altre cose di cui rallegrarmi\ncon la mia nuova sorella.\x0E\x04\x00\x00
