MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06フラン\nLapis! Ehi, Lapis! Ho sentito che sei il terrore\ndegli orsi. È vero?!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nORSOOOOO!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x04\x03\x04
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06フラン\nUgh. Dove... sono?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nFramme? Oh, fiuuu! Bentornata tra noi. Hai\nvisto l'orso e sei caduta come una pera.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06フラン\nAaah! L'orso! Ora ricordo. Dov'è finito?\nSiamo salve?!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06ラピス\nSiamo salve. L'ho fatto scappare.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nOooh, nooo. Dovevo farlo io! Scusami, Lapis!\nÈ che mi ha colto di sorpresa...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ラピス\nMa sì. Direi che per oggi abbiamo dato.\nTorniamo indietro, ci meritiamo un po' di sano\nriposo.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06フラン\nMi sa che Vander aveva ragione... Sono\nun caso disperato.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ラピス\nAnf... anf...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nYaaah!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ラピス\nEcco qua! Fatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nSbalorditivo...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nFramme! Che ci fai qui?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nTi ho vista sgattaiolare verso la foresta, così\nti ho seguita.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nHo visto come hai abbattuto quell'orso da\nsola.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nUh...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nNon mi hai chiesto di venire apposta, no?\nPerché sono sbadata e rovino sempre tutto?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nOh, Framme, perdonami. Quell'orso era troppo\npericoloso e non volevo ti facessi male.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nMh, già, capisco...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nLo penso davvero, Framme. E penso anche che\ntu abbia fatto un ottimo lavoro ora.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06フラン\nChe lavoro? Non ho fatto niente.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nSei rimasta calma e in silenzio mentre\ncombattevo contro l'orso.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06フラン\nBeh, sì, ma...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nQuindi è molto meglio dell'altra volta. E la\nprossima andrà ancora meglio! Stai facendo\nprogressi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06フラン\nOooh, Laaapiiis!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nOh, non piangere! Su, perché non ci prepariamo\nun bel pranzetto?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nSniff. Pranzo? Ma non abbiamo portato niente...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x04\x03\x04
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ラピス\nEcco qua! Zuppa d'orso calda fumante!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nGnam, ha un aspetto delizioso!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nMmmh. E che profumino. Mi ricorda quelle che\npreparavamo al mio villaggio.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06フラン\nNon vuoi che la gente sappia da dove vieni,\nma ti piaceva stare là, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ラピス\nEheh, forse hai ragione. Ho tanti bei ricordi\nlegati a quel posto...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nOra mangiamo. Ma stai attenta, è bollente.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06フラン\nUAAAH! SCOTTA, SCOTTA, SCOTTA!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06フラン\nAaaaah, mi sono bruciata la lingua...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ラピス\nOh, no. Ho provato a dirtelo!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06フラン\nAveva un buon profumo...\x0E\x04\x00\x00
