MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, non hai ancora fatto una pausa?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nSe non ci pensassi io, salteresti tutti i pasti!\nPer fortuna me ne sono accort\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nPensavo che tutti i draghi facessero come me,\nma forse sono solo io.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Ogni tanto cerco di fare più attenzione, ma\ncontinuo a dimenticarmi di mangiare.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Se qualcuno ha un problema, ho bisogno di\naiutarlo. E se qualcuno è preoccupato, voglio\nascoltarlo.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	L'altro giorno ho dato una mano a spostare\ndegli oggetti pesanti, e senza che me ne\nrendessi conto è calato il sole.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nSei incorreggibile.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nLo so... ma mangerò subito quello che mi hai\nportato.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Eheh...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nChe c'è di tanto divertente?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nSono così felice di stare seduta qui con te,\nDrago Divino. Anche se mangio da sola.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Non sto riempiendo solo il mio stomaco, ma\nanche il mio cuore.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Oh! Drago Divino, questa zuppa è deliziosa!\nTi prego, assaggiala.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nGrazie, ma io ho già mangiato. E poi l'ho portata\nper te.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nNon fare complimenti. Non posso tenermi una\ncosa così buona tutta per me.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Ecco, apri la bocca...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nUh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nDai, aaah...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nSe proprio insisti... Aaah...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nIhih...\nAllora, non è buonissima?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nGià, proprio... deliziosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nEcco qua, a quanto pare è tutto a posto.\nAllora...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nSi comincia.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nUltimamente mangiamo spesso insieme, vero?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nSono content\x0E\x0A\x00\x08\x02o\x02a che riesci a trovare il tempo\nper metterti seduta a mangiare.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	A parte quando hai troppe cose da fare e ti\ndimentichi.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nSei gentile a preoccuparti per me. Grazie a te,\nho potuto assaggiare un sacco di cose buone.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	I pranzi sono molto più divertenti da quando\nmangiamo insieme.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Ma non si tratta solo dei pranzi. Tutto quello\nche facciamo insieme è più divertente, Drago\nDivino.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nMi fa piacere sentirtelo dire.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Temevo che fosse difficile per te abituarti a\nquesto mondo, visto che è così diverso dal tuo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nAl contrario. Mi piace essere qui, soprattutto\nquando ti vedo sorridere.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Ti aiuterò ad affrontare qualsiasi nemico, se\nserve a darti una ragione per sorridere.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Non ho alcun timore. Li sconfiggerò tutti!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nEheh, mi infondi fiducia, Zelestia.\nAnche io la penso così.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Quando sono con te, mi sento molto più forte.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nDa quando sono qui sono successe tante cose,\ne sono felice di essere venuta in questo mondo.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Permettimi di restare al tuo fianco.\nAppoggiati a me.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nMa certo. So di poter contare su di te.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, Drago Divino, sei sporc\x0E\x0A\x00\x08\x02o\x02a di sugo.\nAspetta, ferm\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nNgh...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nEcco qua, così va meglio.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Dovevi avere tanta fame per sporcarti di sugo\nin quel modo. Che carin\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nApprezzo l'intenzione, ma non sono \x0E\x0A\x00\x0E\x04un\x06una\nbambin\x0E\x0A\x00\x08\x02o\x02a. Mi metti in imbarazzo.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nAh, sono piena. Grazie.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nDi niente. Spero che ti sia piaciuto.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nSì...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nZelestia? Che c'è? Oggi sembri diversa dal\nsolito.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nSono solo un po' preoccupata.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nPerché? È successo qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nHo paura che questi momenti di pace non\ndureranno a lungo. La guerra si fa sempre più\ncruenta.\x0E\x04\x02\x00
MID_RELIANCE_S_#008	E se, magari da domani, non potessimo più\ngoderci i nostri momenti insieme?\x0E\x04\x02\x00
MID_RELIANCE_S_#009	E se... un\x0E\x0A\x00\x08\x02o\x02a di noi due non ce la facesse a\ntornare viv\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x02\x00
MID_RELIANCE_S_#010	Questi nostri pasti insieme sono diventati una\npiccola gioia quotidiana per me. Ma ogni volta\npotrebbe essere l'ultima.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nNon pensavo che fossi così preoccupata...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cセレスティア\nE io non pensavo che il tempo passato con te,\nDrago Divino, potesse darmi tanta gioia... e\npaura.\x0E\x04\x02\x00
MID_RELIANCE_S_#013	La guerra richiede sempre sacrifici. Ne sono\nconsapevole quando sono sul campo di\nbattaglia.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	Eppure, non so se sopporterei la perdita di\nun'altra persona a me cara.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	Il mondo come lo conoscevo, i miei amici...\nCredevo che tutto sarebbe andato avanti così\nper sempre, e invece...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nTi capisco, sei stata costretta a lasciarti alle\nspalle il tuo mondo.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Un po' di svago e nuovi amici non basteranno\nper guarire quelle ferite.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Mi dispiace averti fatta preoccupare.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nOh! Non devi scusarti, Drago Divino!\nÈ tutta colpa mia.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nTengo molto a te e non voglio che tu provi\nmai più quelle sensazioni.\x0E\x04\x02\x00
MID_RELIANCE_S_#021	Per questo voglio darti l'anello del patto.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nMa non puoi! L'anello del patto è troppo\nprezioso.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nAvevo intenzione di dartelo comunque, prima\no poi, come testimonianza che il nostro tempo\ninsieme durerà per sempre.\x0E\x04\x02\x00
MID_RELIANCE_S_#024	Ormai siamo come una famiglia, no?\nE le famiglie condividono i pasti insieme.\x0E\x04\x02\x00
MID_RELIANCE_S_#025	E noi continueremo a mangiare insieme.\nDomani, dopodomani, finché saremo in vita.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nG-Grazie, Drago Divino, è un onore per me\naccettare questo anello.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Mi hai resa così felice.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	Ho sempre voluto viziarti un po', e farti sapere\nche puoi contare su di me.\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Ma in realtà sei tu che dai supporto a me,\nDrago Divino \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cセレスティア\nSei diventat\x0E\x0A\x00\x08\x02o\x02a la mia famiglia, e ti adorerò per\nsempre. Non ti abbandonerò mai.\x0E\x04\x00\x00
