MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04エル\nScambiamo due parole, Veronica. Siamo alleate\ne vorrei conoscerti meglio.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nIn te vedo chi ero un tempo. Ciò che cerchi\nè davanti a te, devi solo afferrarlo.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nE così, per ben mille anni, ti sei dedicato a tua\nsorella. Che bel rapporto che avete, vi invidio.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nInvidi la mia meritata punizione per aver\ndistrutto il suo cuore?\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nInvidio il tempo che avete avuto a disposizione.\nIo, con tutta probabilità, non rivedrò mai più\nmio fratello.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nSe se n'è andato avrà avuto i suoi motivi. O ti\nfidi di lui, o non ti resta che andare a fermarlo.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nZelestia, come sei forte... Apprezzo le tue\nqualità. Vorrei che mi appartenessi.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nSono lieta di sentirtelo dire, ma ho già giurato\nfedeltà a qualcuno. Possiamo essere amiche,\nse vuoi.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMi dispiace vederti così sola. Lascia che mi\nprenda cura di te.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nE come si fa... ad affidarsi alle cure di\nqualcuno?\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nZelestia, invidio il rapporto che hai con i tuoi\namici.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nAnche io e te siamo amiche, Veronica. Non\nè forse vero che combattiamo assieme per\nproteggere questo mondo?\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nSento che ci lega un legame solido. In battaglia\nsono tranquilla sapendo che ci sei tu a\ndifendermi.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nAnche io percepisco questo legame, credo...\nNon saprei come esprimerlo a parole.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nÈ incredibile che fossi una principessa imperiale\nnel tuo mondo. Così giovane, poi! Assurdo.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNon ho fatto niente di speciale, lo sono per\nnascita. Ho solo seguito la voce...\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nNon è il caso di esagerare, in battaglia. Ricorda\nche puoi sempre scappare.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nTienilo a mente anche tu, allora. Non so cosa\nfarei se ti succedesse qualcosa...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nSei un bravo vicecomandante. Vorrei che mi\nappartenessi...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nCerco solo di non deludere nessuno,\nspecialmente un certo omaccione.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nAnche se, in realtà, il più delle volte devo\nchiedere aiuto ai miei amici, come te... grazie.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nMi consideri un'amica, allora... Prometto che ti\ndarò la mia forza. Proteggerò i miei amici...\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nHai l'aria triste. Scusami se te lo chiedo, ma\nqualcosa non va?\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNon c'è niente di diverso dal solito. Mi piace\nparlare... Raccontami di te.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nC'è qualcosa che ti piace? Non so, per esempio\ndelle chincaglierie adatte a una ragazzina della\ntua età.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nChe chincaglierie? Ragazzina? Sono confusa...\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nMadeline... Tu hai una famiglia?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nI miei genitori non ci sono più... ma ho i miei\nalleati e i Quattro Venti. Siamo come una\nfamiglia, il nostro legame è forte.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nLegame... Non faccio che sentire questa parola.\nMa allora... anche noi abbiamo un legame?\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nMa certo! Sei una di famiglia anche tu. Se te ne\nandassi, mi si spezzerebbe il cuore.\x0E\x04\x00\x00
