MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\nCiao, Goldmary. Hai preparato qualcosa di\nbuono con le mele che abbiamo raccolto\nl'altro giorno?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSì, più buono di quanto io stessa immaginassi,\npurtroppo...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nE così... mi sono rovinata con le mie stesse\nmani.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nEh, ma come?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMi sono abbuffata, e quando mi abbuffo\nla mia faccia diventa così goffa...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nNon capisco. A me sembri normale.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAdesso sono normale, ma mentre mangiavo\nmi hanno vista tutti. Non lo dimenticheranno\nmai, già lo so.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06フラン\nOh, se lo dici tu...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOgni volta che mi vedranno, si ricorderanno\ndella mia faccia scomposta...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nNon penso, dai. Magari non se ne sono neanche\naccorti.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nComunque sembri preoccupata. Secondo me\nti ci vuole un bel bagno rilassante.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nSe svuoti la mente, vedrai che non ci penserai\npiù e ti sentirai di nuovo impeccabile come\nsempre.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nE come potrei andare alle terme?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSe ci vado, rischio di incontrare qualcuno che\nmi ha vista in quel momento poco dignitoso.\nE se lo raccontasse in giro?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSob. Sono rovinata.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nNon succederà, ne sono sicura. Non farne\nun dramma, va bene?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIo amo le terme... ma ora non potrò più\nandarci perché tutti penseranno che sono\nridicola...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon posso sapere se alle terme ci sia qualcuno\nche mi ha vista mangiare. Dovrei andare lì e\nvedere...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÈ come avere bisogno di vestiti... ma non poter\nuscire a comprarli perché non hai nulla da\nmetterti addosso...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nNon saprei... Ma su, Goldmary, non piangere.\nNon sono questi i problemi nella vita.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMi aiuteresti... a recuperare la mia\nsolita aria graziosa e raffinata?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06フラン\nBeh...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nSe proprio insisti. L'importante è che tu stia\nmeglio.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTi ringrazio, Framme...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nCiao, Framme! Noti qualcosa di diverso?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nProprio così. Tutto è tornato alla normalità.\nSono di nuovo il ritratto dell'eleganza.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06フラン\nMa è fantastico! Sono contenta che i tuoi\nsforzi siano stati ripagati.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nA me non sembri diversa dal solito, eh.\nMa se ti senti meglio, buon per te.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCome non ti sembro diversa? Guarda meglio.\nAspetta, cambio angolazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nUhm... Ah!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGrazie ancora, Framme.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSei rimasta al mio fianco anche quando ero\ncosì sconvolta che nessun altro mi avrebbe\npresa sul serio.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nE mi hai persino aiutata facendomi esercitare\ncon la mia faccia finché non ho ritrovato la mia\nespressione normale.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGrazie a te ho capito che una piccola caduta\ndi stile non può rovinare un'amicizia.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nEsatto. L'amicizia non è un sentimento così\nsuperficiale.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPosso prepararti qualcosa di buono per\nringraziarti di tutto il tuo appoggio?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nSì che puoi! Che pensiero gentile!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTi preparerò qualcosa con le mele che abbiamo\nraccolto. Sarà buono e anche sano.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nWoooh! Non sto nella pelle! Scommetto che\nsarà delizioso!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon farti troppe aspettative. Sarà degno\ndi un ristorante rinomato, tutto qui.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nAh, solo? Certo che in cucina sei molto sicura\ndi te, eh...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nComincio a scusarmi... perché dopo che avrai\nassaggiato i miei manicaretti non riuscirai più\nad apprezzare nient'altro.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nAhahah, sei di nuovo la Goldmary di sempre!\nSono contenta.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nNon vedo l'ora di assaggiare tutto!\x0E\x04\x00\x00
