MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nシトリニカ\nSeadall, è vero che sei un indovino?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nChiudersi nelle preoccupazioni sul futuro non\nservirà ad aiutare la tua patria.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nLo so perfettamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nシトリニカ\nNon sono più quella che si sedeva alla finestra.\nOra sono là fuori nel fango e combatto per\nla Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nMa le mie forze da sole non bastano\na proteggere il regno.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nE questo... mi spezza il cuore.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セアダス\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nOra devo andare. Con permesso...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x01\x0C\nシトリニカ\n\x0E\x03\x02\x0A\x08セアダス\nCitrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nシトリニカ\nSeadall. Perdonami se l'altro giorno non ho\nmantenuto il mio contegno.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セアダス\nNon hai niente da farti perdonare. È lampante\nquanto tu tenga alla Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nPerò c'è una cosa che vorrei farti vedere.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nE cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\nMe lo sentivo che saresti venuta, così ho\nprovato di nuovo a leggere il futuro della Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nE... cosa hai visto?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nIl futuro della Brodia c'era. Era solo avvolto da\nuna fitta nebbia.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セアダス\nMa ora tutto mi è chiaro.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セアダス\nIl tuo amore per la tua patria deve aver\ncontribuito a dipanare quella nebbia.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nMa cosa hai visto? Cosa c'era al di là della\ncoltre di nebbia?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nLa Brodia, dopo un temporale.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nLa Brodia, così come altre nazioni, deve\nattraversare un'epoca di oscurità e conflitti...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nMa quando tutto questo finirà, il sole tornerà\na splendere tra le nuvole.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nFiuuu.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nAhah. Grazie, spero tu non lo stia dicendo solo\nper consolarmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nMh? In che senso?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nNon lo stai dicendo soltanto per farmi stare\nmeglio?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nNo, sono superiore a questo genere di truffe.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nMi auguro che sia vero.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nGrazie al tuo aiuto ho potuto affrontare la\nrealtà in modi che non avrei mai immaginato.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nNon mi permetterò più di aspettare il futuro\ncon le mani in mano. D'ora in poi prenderò\nil controllo delle cose.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nPer il bene della Brodia e del mondo intero.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nSo che lo farai, Citrinne. Hai tutto il mio\nsostegno.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nGrazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nシトリニカ\nAh! Quasi dimenticavo! Lascia che ti paghi per\ni tuoi servizi.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08セアダス\nQuando la guerra sarà finita, portami in Brodia\ne fammi vedere la tua terra.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セアダス\nAdoro esplorare nuovi luoghi.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nシトリニカ\nChe bella idea! Ti porterò a visitare una città...\nDopo un bel temporale, naturalmente.\x0E\x04\x00\x00
