MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nSer Vander, è vero che eravate al servizio della\nregina Lumera in Lythos?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nSolo qualche?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nEh, sì. In Solm non sono attratti dal sacro. Non\nsi può dire che la chiesa fosse frequentata.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nMa poi ho avuto un'idea rivoluzionaria.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nTrasformare le cerimonie religiose in una festa?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パンドロ\nProprio così! Per farsi ascoltare, bisogna\nparlare la loro lingua.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nヴァンドレ\nHai fatto un gran lavoro per riorganizzare la tua\nchiesa. Scusa se l'ho chiamata un circo.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nヴァンドレ\nI tuoi metodi, per quanto poco ortodossi,\nhanno attirato nuovi fedeli. Apprezzabile.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08パンドロ\nLo considero un complimento, detto da voi,\nser Vander.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nヴァンドレ\nUhm, beh. Forse il mondo ha proprio bisogno\ndi menti flessibili come te.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nNgh! Forza, Vander. Fagliela vedere a quei\ngiovincelli...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パンドロ\nVander, che succede? Per caso è un\nallenamento che avete appreso in Lythos?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nNo! Non è niente! Ora vattene!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nOh... Scusate il disturbo. Volevo solo sapere\ncome andava.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\nPandreo, aspetta. Stavo cercando di imparare\na ballare.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nOh, ma certo. Volete imparare a ballare.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パンドロ\nUn momento! Imparare a ballare?!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nMh.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\nE la vostra schiena?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nLascia perdere! Volevo capire perché piace\ntanto ai giovani.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nヴァンドレ\nMa questi movimenti... sono troppo per me. Mi\nsento giovane, ma il mio corpo non mente.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nNon siete abituato, tutto qui. Chiunque\npuò imparare con un po' di pratica.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nMh. In tal caso, non mi resta che continuare\na impegnarmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nIhih...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nNon mancate di perseveranza. Avete tutta la mia\nammirazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nNon sarà mica uno di quei complimenti\nsarcastici che voi giovani amate tanto?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nNo, non mi permetterei! Apparteniamo a\ngenerazioni diverse, ma siamo entrambi\nuomini di fede.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nApprendere l'uno dall'altro e condividere le\nnostre esperienze è un vantaggio per entrambi.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パンドロ\nApprezzo che condividiate la vostra saggezza.\nCosì come ho apprezzato i vostri racconti.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nヴァンドレ\nPer me è un piacere condividere ciò che ho\nimparato nella vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nヴァンドレ\nContinuiamo a condividere le nostre conoscenze\nper il futuro della Chiesa e del mondo intero.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\nAffare fatto!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nヴァンドレ\nVedrai che alla prossima festa potrò prendere\nparte alle danze. Oplà!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nヴァンドレ\nArgh! LA SCHIENA!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nOh, numi del cielo! È normale che sia piegata\ncosì?!\x0E\x04\x00\x00
