MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nEhi, Lapis. Posso parlarti?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nEcco... I primi due non funzionavano.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nMa questo sembra fare il suo lavoro. È ottimo\nper braccia, pettorali, addominali e schiena!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nエーティエ\nWow. Proprio come speravo. Allora quanto ti\ndevo?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nNon serve che mi paghi. Ho usato legni e scarti\nche ho trovato in giro.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nLegni e scarti?! Incredibile.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nAlmeno lascia che ti paghi per il lavoro che ci\nhai messo.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nPrima però... posso provarlo?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nFai pure!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nエーティエ\nGhhh! Sìììì!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nエーティエ\nOffre un'ottima resistenza. Si vede che ci hai\ndedicato molto lavoro.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nÈ meglio di quanto sperassi!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nMi fa piacere!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nエーティエ\nVerrebbe quasi da chiedersi se anche tu sei\nappassionata di esercizio fisico.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nBeh, sì, ma nulla di speciale. Mi alleno\nsollevando dei sassi che trovo in giro.\nCome quello. O quello là.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nエーティエ\nQuei sassi? Con quelle braccine?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nエーティエ\nMa come fai? Non ti ci vedo proprio.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nエーティエ\nVoglio che mi spieghi tutto per filo e per segno.\nSento che diventeremo buone amiche.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nMh? Davvero? Va bene!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nVolevo ringraziarti per il tuo contributo.\nL'allenamento procede a gonfie vele.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ラピス\nEvviva! Sono contenta che ti piaccia, Etie.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nNon era il caso di sdebitarti con tutto quel tè\nfirenese. Mi sento quasi in colpa...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nNon dirlo neanche. Il Mega Muscolatore III vale\nuna tonnellata di tè.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nエーティエ\nPiuttosto... Cosa mangi di buono? Delle patate?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nAh... ! Sono... uhm...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nVengo da una zona rurale della Brodia... Le\npatate sono una specialità locale.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ラピス\nA volte i miei genitori mi mandano queste\npatate essiccate.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nPatate essiccate della campagna brodiana?\nSbaglio o...?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\nSono molto caloriche, ricche di amido e povere\ndi grassi... La ricetta per muscoli perfetti!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nSono davvero così conosciute?!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nLe ho cercate in lungo e in largo. Non avrei mai\nsperato di vedermele piombare davanti.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nVuoi assaggiarne una?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nStai scherzando? Ovvio!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\nYum!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nエーティエ\nÈ bastato un morso e già è scomparsa ogni\nfatica!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nMi viene quasi da piangere, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nAnche a me! Non ho mai visto un entusiasmo\ncosì! Non avevo idea che le nostre patate\nfossero famose.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nTieni, prendine un po'. Io ne ho altre.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nPosso? Sei sicura?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nMa sì, certo!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nGrazie... sei gentilissima. Sono in debito per\nl'eternità.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\nSe proprio vuoi sdebitarti, potremmo allenarci\ninsieme?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nSono forte, ma non ho molta resistenza se le\nbattaglie tirano per le lunghe.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ラピス\nVorrei esercitarmi per avere più resistenza.\nMagari potremmo andare a correre insieme?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nエーティエ\nLo faremo! Per te correrei fino a consumarmi\nle gambe!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nエーティエ\nDovremmo provare con e senza patate per\nvedere se fanno davvero la differenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nエーティエ\nChissà cosa saremo capaci di fare noi due\ninsieme!\x0E\x04\x00\x00
