MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nIl consiglio di guerra non comincerà a breve.\nDovrei trovare un modo per occupare il tempo.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	"Che rumore terribile!", "mi sanguinano le\norecchie!" e cose di questo tipo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04エル\nImperdonabili.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nOh, non sono quei commenti il problema.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Ciò che mi turba è che anche tu magari la pensi\ncome loro, ma sei troppo educata per dirmelo.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Non vorrei che mi stessi assecondando solo\nper gentilezza. Che sciocca sono stata.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04エル\nIn effetti, un po' sciocca lo sei.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nEeeh?!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04エル\nAmo le tue canzoni, sono sincera.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Ognuno dei tuoi pezzi è come un tesoro unico,\nche non ha paragoni al mondo.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Ascoltami bene: noi draghi viviamo\nestremamente a lungo. Migliaia di anni, per\nl'esattezza.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nLo so.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04エル\nNemmeno la nostra mente riesce a\nimmagazzinare tutto ciò che ci accade in un\ntale intervallo di tempo.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Ed ecco come molti ricordi, persino quelli più\ndegni di nota, si affievoliscono e finiscono\nperduti per sempre.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Ora capisci perché per me una canzone\nmemorabile valga molto di più di qualsivoglia\nabilità canora?\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Le tue canzoni rimarranno nella mia mente per\ncentinaia, se non migliaia, di anni.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nWow. Questo sì che è un complimento, lady Nel.\nGrazie mille.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04エル\nTi senti un po' meglio, ora?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\nOh, sì. Decisamente meglio! Non è nelle mie\ncorde sentirmi giù di morale, in fondo.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Ogni volta che ti vedrò, ti canterò una canzone.\nCosì non ti dimenticherai mai di me!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04エル\nNon hai nulla da temere a riguardo.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	La tua immagine sarà per sempre scolpita nella\nmia memoria.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nミスティラ\nEheheh. Benissimo, ma ciò non significa che\nsmetterò di comporre canzoni.\x0E\x04\x02\x00
MID_RELIANCE_A_#030	Anzi, te ne canto subito una!\nSi chiama "Stecche e bistecche". Sei pronta?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04エル\nCertamente.\x0E\x04\x00\x00
