MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nミスティラ\nAh, mi ci voleva proprio! Era da tanto che\nnon cavalcavamo insieme.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nLa verità è che non ti ho portata sulla strada\ngiusta, la stavi già percorrendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nDite sul serio?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nCertamente. Sapevo che sei una brava persona,\nper questo ti ho chiesto di diventare la mia\nattendente.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nAh, rammento quel giorno. Che sorpresa, non\npensavo proprio che foste la principessa, di\ngrazia.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nNon ti è bastato il modo principesco in cui ti\nsupplicai? "Ti prego, ti prego, ti pregooo!"\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nMi sembrava solo assurdo che una principessa\nvolesse avere a che fare con una con me.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nBeh, sono contenta di averti convinta alla\nfine, Panette.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nCapo, vi prego. Sono io a dovervi ringraziare.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nミスティラ\nSu, per favore! Lo so bene quanto hai lavorato\nduro!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nSo che avevi paura di imbarazzare me o la mia\nfamiglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nLe regole di corte sono complicate e... a volte\nun po' insensate, devo ammetterlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nMa ti sei presa la briga di imparare l'etichetta\ndi corte e come esprimerti formalmente.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nÈ il minimo che potessi fare per ringraziarvi\ndella vostra generosità.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nPanette, voglio che tu sappia una cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nDiventerò una regina degna di tutto l'impegno\nche metti nelle cose.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nUna regina di cui tu possa essere orgogliosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nNon ne dubito. E io continuerò a servirvi con\nentusiasmo, di grazia.\x0E\x04\x00\x00
