MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nEhilà, Amber. Dimmi un po'. In cosa consiste\ndi solito l'allenamento per un cavaliere\nbrodiano?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nNon ci credo. È stato così facile vincere...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nSono inciampato prima ancora di lanciare un\nattacco! Mi sento patetico...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nMa forse... cercavi di distrarmi? Era\nuna strategia come quella dell'altro giorno?\nSei furbo!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nMi spiace, Merrin, ma per oggi la lezione è\nfinita.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nMa certo... Facciamo un'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0A\x08アンバー\nEhi, Merrin! Scusami ancora!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nPer cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nPer il nostro allenamento dell'altro giorno.\nSono inciampato per davvero, e ammetto di\navere perso miseramente.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nAh, sì?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nNon era una strategia nascosta. Sono\nsemplicemente inciampato su me stesso.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nMi succede spesso, sono un po' goffo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nSono inciampato persino nel mio ruolo di\ncavaliere della Brodia, se così si può dire.\nPraticamente è stato un puro colpo di fortuna!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nNon ci credo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nAnch'io vengo da un piccolo villaggio e so bene\nquanto lavoro ci voglia per diventare attendente.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nNon è possibile diventare l'attendente dell'erede\nal trono di Brodia senza un duro allenamento.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nCerto sarai anche scoordinato, ma, Amber, non\nho alcun dubbio che tu sia un ottimo cavaliere.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nWow, che discorso motivante... Grazie, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nAvrei tante di quelle cose da imparare.\nPossiamo allenarci ancora insieme?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nCerto. Per me è un onore allenarmi con un\ncavaliere della Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\nEvviva! Non vedo l'ora!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nGrazie al tuo aiuto diventerò un cavaliere\nrispettabile e perfettamente coordinato!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nMi sa che la vera forza dei cavalieri brodiani\nrisiede nella loro onestà.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nEheh, potrei imparare un paio di cosette\nanch'io da te, amico mio.\x0E\x04\x00\x00
