MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSeadall? Vi dispiace se vi chiedo una cosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nBeh...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nMa c'è ancora qualcosa che non mi avete\nraccontato. Come mai vi siete aggregato a\nquella compagnia?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nScommetto che ci siete nato! Ho indovinato?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nNo. Sono nato in una cittadina di mare.\nEra un posto... meraviglioso.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セアダス\nMio padre morì molto presto. Ero troppo\ngiovane per potermelo ricordare. Fui cresciuto\nda mia madre.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nEra un'indovina... dal triste destino. Si ammalò\ne mi lasciò solo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nE tra una cosa e un'altra... Senza che me ne\naccorgessi mi ritrovai a vivere in strada.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nMa come è potuto succedere?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セアダス\nEro un bambino senza una famiglia. Dove altro\navrei potuto finire?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nMa un bel giorno ecco che passò la carovana.\nE mi invitarono a unirmi a loro.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セアダス\nCosì feci. Partii con loro.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nAll'epoca avevo problemi a comunicare. Non mi\nuscivano le parole. Così il mio maestro mi\ninsegnò a ballare.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セアダス\nImparai che non c'era bisogno di parole per\ncomunicare. Ciò mi salvò la vita.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nスタルーク\nHo capito...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08セアダス\nScusatemi. Questa storia non era divertente\ncome le altre...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nスタルーク\nScusatemi voi. Non avrei dovuto tirare fuori\nquesto argomento.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0A\x08セアダス\nOra ho rovinato l'atmosfera.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0A\x08セアダス\nPenso che per oggi sia abbastanza, scusatemi.\nMeglio continuare un'altra volta, Vostra Altezza.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSeadall? Vorrei porgerti di nuovo le mie scuse\nper la conversazione della scorsa volta.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nAvrei dovuto pensarci bene, prima di chiederti\ndel tuo passato...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nNon mi avete infastidito, non temete.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nNon faccio altro che pensare alle vostre storie.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nCredevo che la vita da strada fosse divertente...\nma non è così, vero?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nEh, no. "Divertente" non è la prima parola che mi\nviene in mente.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nQuel tipo di vita può essere davvero brutale.\nMolti miei amici sono morti durante un qualche\nattacco... o peggio.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nChissà quante peripezie... e io che credevo che\nfosse puro divertimento.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nNon mi sono messo nei vostri panni...\nperdonatemi.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nVostra Altezza...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nVe l'ho già detto. Non avete fatto nulla di male.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nCerto, sono successe delle brutte cose quando\nviaggiavo con la compagnia...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nMa anche un sacco di bei momenti. Molti di\npiù, in effetti.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nLa compagnia era la mia famiglia e la carovana\nla mia casa. Mi ritengo fortunato ad avere avuto\nuna vita del genere.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nMi fa piacere sentirvelo dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nSe avete altre domande, non esitate a chiedere.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nDomandatemi degli strani cibi che ho assaggiato\nper la prima volta al confine...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nO delle albe infuocate sopra le oasi del deserto.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nCi sono tante domande che potete ancora farmi\ne alle quali risponderei più che volentieri.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nMi affascinano le vostre storie, Seadall. Non\nvedo l'ora di ascoltarne altre.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nRaccontatemene ancora una... e dopo un'altra\nancora finché non si sarà fatta l'alba!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セアダス\nAhah... Con piacere, principe Alcryst.\x0E\x04\x00\x00
