MAID_LueurWearM	Abito divino
MAID_H_HortensiaWear	Abbigliamento quotidiano di Hortensia, principessa di Elusia. Ispirato in\nparte a quello di Ivy, presenta dettagli che sono assolutamente adorabili.
MAID_RosadoWear	Gonna a tubino
MAID_H_RosadoWear	Abbigliamento quotidiano di Rosado, attendente di Hortensia.\nLo ha ereditato dal padre, ma l'ha modificato per renderlo più carino.
MAID_GoldmaryWear	Abito candido
MAID_H_GoldmaryWear	Abbigliamento quotidiano di Goldmary, attendente di Hortensia.\nLe piace scusarsi per quanto sia sempre in ordine e senza macchie.
MAID_MisutiraWear	Abitino vivace
MAID_H_MisutiraWear	Abbigliamento quotidiano di Timerra, principessa ereditaria di Solm.\nIl tessuto, traspirante e ignifugo, è ideale per sedersi attorno a un falò.
MAID_MerinWear	Abito luposo
MAID_H_MerinWear	Abbigliamento quotidiano di Merrin, attendente di Timerra.\nLa coda di lupo è finta, ma scodinzola davvero quando è felice.
MAID_PanetoneWear	Abito gotico
MAID_H_PanetoneWear	Abbigliamento quotidiano di Panette, attendente di Timerra.\nL'ha strappato in un momento di rabbia, per poi ricucirlo con fili colorati.
MAID_FogatoWear	Abito fresco
MAID_H_FogatoWear	Abbigliamento quotidiano di Fogado, principe di Solm. Spesso usa la\nsciarpa per coprire il volto, quando la sua identità rischia di essere svelata.
MAID_PandoroWear	Giacca da festa
MAID_H_PandoroWear	Abbigliamento quotidiano di Pandreo, attendente di Fogado. La indossa\nspesso alle sue feste, insieme a una stola semplice per fini religiosi.
MAID_BonetWear	Abito da chef
MAID_H_BonetWear	Abbigliamento quotidiano di Bunet, attendente di Fogado. Lo porta ogni\ngiorno, fin da quando lavorava nella mensa, e quindi lo deve lavare spesso.
MAID_AnnaWear	Maglia di lana
MAID_H_AnnaWear	Abbigliamento quotidiano di Anna, straordinaria mercante. La maglia\nspessa la protegge dal freddo anche nelle giornate più nevose.
MAID_JeanWear	Paltò studente
MAID_H_JeanWear	Abbigliamento quotidiano di Jean, aspirante medico. Nella tasca sinistra\ntiene erbe medicinali, nella destra il suo taccuino con gli appunti.
MAID_YunakaWear	Cardigan chic
MAID_H_YunakaWear	Abbigliamento quotidiano di Yunaka, eccentrica ladra. Ha realizzato\nquesto completo chic usando capi ordinari acquistati in giro per la città.
MAID_SeadasWear	Veste da danza
MAID_H_SeadasWear	Abbigliamento quotidiano di Seadall, ballerino e indovino. Vorrebbe darsi\nun'aria mistica, ma ha sempre freddo alla pancia.
MAID_LindenWear	Veste del saggio
MAID_H_LindenWear	Abbigliamento quotidiano di Lindon, saggio elusiano. Non si toglie mai\nil ciondolo argentato, assicurandosi di averlo sempre a portata di mano.
MAID_SaphirWear	Abito da pesca
MAID_H_SaphirWear	Abbigliamento quotidiano di Saphir, cavaliera reale della Brodia. La gonna\nè idrorepellente. Lei si toglie sempre i guanti prima di pulire il pesce.
MAID_VeyreWear	Abito di pizzo
MAID_H_VeyreWear	Abbigliamento quotidiano di Veyle, figlia del Drago Maligno. Non bada\nmolto all'abbigliamento, così sono stati i suoi amici a scegliere per lei.
MAID_MauveWear	Abito pio
MAID_H_MauveWear	Abbigliamento quotidiano di Mauvier, ex membro dei Quattro Segugi.\nConfezionato in Firene. Mauvier è così attento che sembra ancora nuovo.
MAID_FileneFormal1	Set celeste
MAID_H_FileneFormal1	Abbigliamento dei nobili firenesi. Il celeste brillante rappresenta il cielo\nche benedice i raccolti rendendoli abbondanti. (Include due versioni.)
MAID_FileneFormal1M	Gilet celeste
MAID_H_FileneFormal1M	Abbigliamento dei nobili firenesi, composto da un gilet di colore brillante.\nQuesta tinta rappresenta il cielo terso che benedice il raccolto.
MAID_FileneFormal1F	Abito celeste
MAID_H_FileneFormal1F	Abbigliamento delle nobili firenesi, composto da un vestito di colore\nbrillante. Questa tinta rappresenta il cielo terso che benedice il raccolto.
MAID_FileneFormal2	Set rugiada
MAID_H_FileneFormal2	Abbigliamento dei nobili firenesi. Le sfumature del tessuto sono ottenute\ncon tecniche firenesi di tintura a mano. (Include due versioni.)
MAID_FileneFormal2M	Gilet rugiada
MAID_H_FileneFormal2M	Abbigliamento dei nobili firenesi. Le sfumature del tessuto sono ottenute\ncon tecniche firenesi di tintura a mano. Decorato con un fiore fresco.
MAID_FileneFormal2F	Abito rugiada
MAID_H_FileneFormal2F	Abbigliamento delle nobili firenesi. Le sfumature del tessuto sono ottenute\ncon tecniche firenesi di tintura a mano. Spesso indossato per le feste.
MAID_FileneFormal3	Set marino
MAID_FileneFormal3M	Gilet marino
MAID_H_FileneFormal3M	Abbigliamento firenese inviato come simbolo d'amicizia. Il motivo intricato\nrappresenta una preghiera di pace. Spesso usato per accogliere gli ospiti.
MAID_FileneFormal3F	Abito marino
MAID_H_FileneFormal3F	Abbigliamento firenese inviato come simbolo d'amicizia. Il motivo intricato\nrappresenta una preghiera di pace, e la fascia i legami indissolubili.
MAID_FileneCasual1	Set solare
MAID_H_FileneCasual1	Abbigliamento dei cittadini firenesi. È il primo modello confezionato dai\nbambini quando imparano a cucire. (Include due versioni.)
MAID_FileneCasual1M	Gilet solare
MAID_H_FileneCasual1M	Abbigliamento dei cittadini firenesi. È il primo modello confezionato dai\nsarti principianti. Pare che il gilet sia la parte più difficile da realizzare.
MAID_FileneCasual1F	Abito solare
MAID_H_FileneCasual1F	Abbigliamento delle cittadine firenesi. È il primo modello confezionato dai\nsarti principianti. I bambini amano realizzare le decorazioni floreali.
MAID_FileneCasual2	Set plaid
MAID_H_FileneCasual2	Abbigliamento dei cittadini firenesi. Il motivo è molto popolare e si\ndice che rappresenti la personalità di chi lo indossa. (Include due versioni.)
MAID_FileneCasual2M	Gilet plaid
MAID_H_FileneCasual2M	Abbigliamento dei cittadini firenesi, caratterizzato da un motivo molto\npopolare che si dice rappresenti la personalità di chi lo indossa.
MAID_FileneCasual2F	Abito plaid
MAID_H_FileneCasual2F	Abbigliamento delle cittadine firenesi. Un motivo molto popolare\nin Firene impreziosisce il grembiule utilizzabile anche come fazzoletto.
MAID_FileneCasual3	Set fiorito
MAID_FileneCasual3M	Gilet fiorito
MAID_H_FileneCasual3M	Abbigliamento firenese inviato come pegno d'amicizia. Il ricamo floreale\nrappresenta l'affetto per le persone amate.
MAID_FileneCasual3F	Abito fiorito
MAID_H_FileneCasual3F	Abbigliamento firenese inviato come pegno d'amicizia. Il ricamo floreale\nrappresenta l'affetto per le persone amate.
MAID_BrodiaFormal1	Set cremisi
MAID_H_BrodiaFormal1	Abbigliamento dei nobili brodiani ricamato con fili d'oro provenienti\ndalle ricche miniere della Brodia. (Include due versioni.)
MAID_BrodiaFormal1M	Giacca cremisi
MAID_H_BrodiaFormal1M	Abbigliamento dei nobili brodiani. Rifinito con pellicciotto finto e ricamato\ncon fili d'oro. La sua lunghezza è pensata per facilitare i movimenti.
MAID_BrodiaFormal1F	Cappotto cremisi
MAID_H_BrodiaFormal1F	Abbigliamento delle nobili brodiane. Rifinito con pellicciotto finto e\nricamato con fili d'oro. Gli orli sono in tessuto antimacchia.
MAID_BrodiaFormal2	Set ebano
MAID_H_BrodiaFormal2	Abbigliamento dei nobili brodiani. Indossato alle feste e decorato con\nun fiore della Brodia che simboleggia la forza. (Include due versioni.)
MAID_BrodiaFormal2M	Giacca ebano
MAID_H_BrodiaFormal2M	Abbigliamento dei nobili brodiani. Il tessuto è molto spesso per riparare\ndal freddo e decorato con un fiore della Brodia che simboleggia la forza.
MAID_BrodiaFormal2F	Cappotto ebano
MAID_H_BrodiaFormal2F	Abbigliamento delle nobili brodiane. Indossato alle feste e decorato con\nun fiore della Brodia che simboleggia la forza. La gonna è pesante.
MAID_BrodiaFormal3	Set mica
MAID_BrodiaFormal3M	Giacca mica
MAID_H_BrodiaFormal3M	Abbigliamento brodiano inviato come pegno d'amicizia. Il bianco\nsimboleggia la speranza. È decorato con lo stemma del sarto.
MAID_BrodiaFormal3F	Cappotto mica
MAID_H_BrodiaFormal3F	Abbigliamento brodiano inviato come pegno d'amicizia. Il bianco\nsimboleggia la speranza e viene talvolta usato per gli abiti da matrimonio.
MAID_BrodiaCasual1	Set caverna
MAID_H_BrodiaCasual1	Abbigliamento dei cittadini brodiani. Punta sulla comodità. Il tessuto è\nfacile da lavare e i colori nascondono le macchie. (Include due versioni.)
MAID_BrodiaCasual1M	Sciarpa caverna
MAID_H_BrodiaCasual1M	Abbigliamento dei cittadini brodiani. Punta sulla comodità. Il tessuto è\nfacile da lavare e nasconde le macchie. Le soffici rifiniture sono rimovibili.
MAID_BrodiaCasual1F	Gonna caverna
MAID_H_BrodiaCasual1F	Abbigliamento delle cittadine brodiane. Punta sulla comodità. Il tessuto è\nfacile da lavare e nasconde le macchie. Il fermaglio è in corno finto.
MAID_BrodiaCasual2	Set ferale
MAID_H_BrodiaCasual2	Abbigliamento dei cittadini brodiani decorato con motivo tradizionali\ne rifinito con calda lana di alpaca. (Include due versioni.)
MAID_BrodiaCasual2M	Sciarpa ferale
MAID_H_BrodiaCasual2M	Abbigliamento dei cittadini brodiani decorato con motivi tradizionali\ne rifinito con calda lana di alpaca. Tipico delle tribù nomadi brodiane.
MAID_BrodiaCasual2F	Gonna ferale
MAID_H_BrodiaCasual2F	Abbigliamento delle cittadine brodiane decorato con motivi tradizionali\ne rifinito con calda lana di alpaca. Le scarpe sono adatte alle scalate.
MAID_BrodiaCasual3	Set rupestre
MAID_BrodiaCasual3M	Sciarpa rupestre
MAID_H_BrodiaCasual3M	Abbigliamento brodiano inviato come pegno d'amicizia, fatto con materiali\nresistenti e finta pelliccia di orso. Punta sulla comodità e sullo stile.
MAID_BrodiaCasual3F	Gonna rupestre
MAID_H_BrodiaCasual3F	Abbigliamento brodiano inviato come pegno d'amicizia. Punta su\ncomodità e stile. Si dice che le decorazioni proteggano dagli spiriti maligni.
MAID_SolumFormal1	Set meridiano
MAID_H_SolumFormal1	Abbigliamento dei nobili solmici. Il tessuto sottile e traspirante assicura\nfreschezza anche nel clima torrido del Solm. (Include due versioni.)
MAID_SolumFormal1M	Gilet meridiano
MAID_H_SolumFormal1M	Abbigliamento dei nobili solmici. Il tessuto sottile e traspirante assicura\nfreschezza anche nel clima torrido del Solm. Perfetto per la sabbia.
MAID_SolumFormal1F	Gonna meridiana
MAID_H_SolumFormal1F	Abbigliamento delle nobili solmiche. Il tessuto sottile e traspirante assicura\nfreschezza anche nel clima torrido del Solm. Offre protezione dal sole.
MAID_SolumFormal2	Set alba
MAID_H_SolumFormal2	Abbigliamento dei nobili solmici spesso indossato alle feste. Si crede che i\ncolori vivaci aiutino a trovare la strada per il paradiso. (Incl. due versioni.)
MAID_SolumFormal2M	Gilet alba
MAID_H_SolumFormal2M	Abbigliamento dei nobili solmici. Si crede che i colori vivaci aiutino a\ntrovare la strada per il paradiso. Tipico per vedere l'alba nel deserto.
MAID_SolumFormal2F	Gonna alba
MAID_H_SolumFormal2F	Abbigliamento delle nobili solmiche. Si crede che i colori vivaci aiutino a\ntrovare la strada per il paradiso. Realizzato per danzare con stile alle feste.
MAID_SolumFormal3	Set vespro
MAID_SolumFormal3M	Gilet vespro
MAID_H_SolumFormal3M	Abbigliamento solmico inviato come pegno d'amicizia. Secondo una\nleggenda, chi lo indossa godrà di ricchezza eterna. Si vende bene all'estero.
MAID_SolumFormal3F	Gonna vespro
MAID_H_SolumFormal3F	Abbigliamento solmico inviato come pegno d'amicizia. Ispirato alle vesti\ndi una principessa leggendaria, si dice che doni eterna ricchezza.
MAID_SolumCasual1	Set serale
MAID_H_SolumCasual1	Abbigliamento dei cittadini solmici. Le tradizionali fasciature sono\nrealizzate con un unico grande pezzo di tessuto. (Include due versioni.)
MAID_SolumCasual1M	Sciarpa serale
MAID_H_SolumCasual1M	Abbigliamento dei cittadini solmici. In Solm è tipico fare compere con gli\namici alla ricerca di capi con un ottimo rapporto qualità-prezzo.
MAID_SolumCasual1F	Stola serale
MAID_H_SolumCasual1F	Abbigliamento delle cittadine solmiche. Queste fasciature sono realizzate\ncon un unico grande pezzo di tessuto. C'è un colore per ogni occasione.
MAID_SolumCasual2	Set renoso
MAID_H_SolumCasual2	Abbigliamento dei cittadini solmici. Tessuto con motivi solmici che si\nabbina a scarpe di alta qualità adatte alla sabbia. (Include due versioni.)
MAID_SolumCasual2M	Sciarpa renosa
MAID_H_SolumCasual2M	Abbigliamento dei cittadini solmici. Tessuto con motivi solmici che si\nabbina a scarpe di alta qualità adatte alla sabbia.
MAID_SolumCasual2F	Stola renosa
MAID_H_SolumCasual2F	Abbigliamento delle cittadine solmiche. Tessuto con motivi solmici che si\nabbina a scarpe di alta qualità ideali per i viaggi lunghi nel deserto.
MAID_SolumCasual3	Set dune
MAID_SolumCasual3M	Sciarpa dune
MAID_H_SolumCasual3M	Abbigliamento solmico inviato come pegno d'amicizia. Le dune sono\nsimbolo di eternità, gli intrecci rappresentano i legami. Ideale per le feste.
MAID_SolumCasual3F	Stola dune
MAID_H_SolumCasual3F	Abbigliamento solmico inviato come pegno di forte amicizia. Le dune\nsono simbolo di eternità e i motivi scuri rappresentano i legami.
MAID_IrcionFormal1	Set smeraldo
MAID_H_IrcionFormal1	Abbigliamento dei nobili elusiani. Gli strati esterni sono foderati con lana\nspessa per proteggere da neve e vento. (Include due versioni.)
MAID_IrcionFormal1M	Paltò smeraldo
MAID_H_IrcionFormal1M	Abbigliamento dei nobili elusiani. Lo strato esterno è di lana spessa per\ncombattere il freddo. Le vesti sottostanti sono leggere e delicate.
MAID_IrcionFormal1F	Veste smeraldo
MAID_H_IrcionFormal1F	Abbigliamento delle nobili elusiane. Gli strati esterni sono foderati con\nlana spessa per proteggere da neve e vento. I merletti sono fatti a mano.
MAID_IrcionFormal2	Set di lana
MAID_H_IrcionFormal2	Abbigliamento dei nobili elusiani. Il tessuto a strati multipli si realizza con\nuna tecnica tradizionale che richiede molti mesi. (Include due versioni.)
MAID_IrcionFormal2M	Paltò di lana
MAID_H_IrcionFormal2M	Abbigliamento dei nobili elusiani. Il paltò è costituito da molteplici strati di\ntessuto e il risultato finale protegge dalle intemperie come pioggia e neve.
MAID_IrcionFormal2F	Veste di lana
MAID_H_IrcionFormal2F	Abbigliamento delle nobili elusiane. Il laborioso procedimento di\nsovrapposizione di molteplici strati porta a liste di attesa di anni.
MAID_IrcionFormal3	Set stellato
MAID_IrcionFormal3M	Paltò stellato
MAID_H_IrcionFormal3M	Abbigliamento elusiano inviato come pegno d'amicizia. La finta pelliccia e\ni fili dorati rappresentano un cielo stellato. La qualità è davvero pregiata.
MAID_IrcionFormal3F	Veste stellata
MAID_H_IrcionFormal3F	Abbigliamento elusiano inviato come pegno d'amicizia. La finta pelliccia e\ni fili dorati rappresentano un cielo stellato. La qualità è sopraffina.
MAID_IrcionCasual1	Set distinto
MAID_H_IrcionCasual1	Abbigliamento dei cittadini elusiani. Il verde scuro del tessuto aiuta\na camuffarsi nel folto dei boschi. (Include due versioni.)
MAID_IrcionCasual1M	Paltò distinto
MAID_H_IrcionCasual1M	Abbigliamento dei cittadini elusiani. Il verde scuro del tessuto aiuta\na camuffarsi nel folto dei boschi. Spesso indossato dai taglialegna.
MAID_IrcionCasual1F	Stola distinta
MAID_H_IrcionCasual1F	Abbigliamento delle cittadine elusiane. Il verde scuro del tessuto aiuta\na camuffarsi nel folto dei boschi. La stola ha antichi motivi elusiani.
MAID_IrcionCasual2	Set felce
MAID_H_IrcionCasual2	Abbigliamento dei cittadini elusiani. Il motivo a intreccio con quattro colori\nè un auspicio di buona sorte. (Include due versioni.)
MAID_IrcionCasual2M	Paltò felce
MAID_H_IrcionCasual2M	Abbigliamento dei cittadini elusiani. Il motivo a intreccio con quattro colori\nè un auspicio di buona sorte. Tipico in primavera.
MAID_IrcionCasual2F	Stola felce
MAID_H_IrcionCasual2F	Abbigliamento delle cittadine elusiane. Il motivo a intreccio con quattro\ncolori è un auspicio di buona sorte. La stola è molto lunga.
MAID_IrcionCasual3	Set nevoso
MAID_IrcionCasual3M	Paltò nevoso
MAID_H_IrcionCasual3M	Abbigliamento elusiano inviato come pegno d'amicizia. Il motivo con\nsimboli antichi rappresenta la magia e la bellezza dell'Elusia.
MAID_IrcionCasual3F	Stola nevosa
MAID_H_IrcionCasual3F	Abbigliamento elusiano inviato come pegno d'amicizia. Il color turchese è\nrealizzato con tessuto incantato ricavato dalla corteccia delle conifere.
MAID_LithosFormal1	Set incisivo
MAID_H_LithosFormal1	Abbigliamento dei chierici lythiani. Gli eleganti motivi sono un omaggio al\nDrago Divino. (Include due versioni.)
MAID_LithosFormal1M	Tonaca incisiva
MAID_H_LithosFormal1M	Abbigliamento dei chierici lythiani. Gli eleganti motivi e i dettagli dorati\nsono un omaggio al Drago Divino.
MAID_LithosFormal1F	Abito incisivo
MAID_H_LithosFormal1F	Abbigliamento delle chieriche lythiane. Gli eleganti motivi, omaggio al\nDrago Divino, sono cuciti solo dai puri di cuore.
MAID_LithosFormal2	Set gelo
MAID_H_LithosFormal2	Abbigliamento dei chierici lythiani. Il tessuto liscio e lucente è realizzato\ncon una tecnica utilizzata solo in Lythos. (Include due versioni.)
MAID_LithosFormal2M	Tonaca gelo
MAID_H_LithosFormal2M	Abbigliamento dei chierici lythiani. Il tessuto liscio e lucente è realizzato\ncon una tecnica utilizzata solo in Lythos. È anche molto morbido.
MAID_LithosFormal2F	Abito gelo
MAID_H_LithosFormal2F	Abbigliamento delle chieriche lythiane. Il tessuto liscio e lucente è fatto\ncon una tecnica utilizzata solo in Lythos. Adatto solo a eventi speciali.
MAID_LithosFormal3	Set lacustre
MAID_H_LithosFormal3	Abbigliamento dei chierici lythiani. Si dice che il tessuto racchiuda la forza\ndel Drago Divino. Il motivo simboleggia l'armonia. (Include due versioni.)
MAID_LithosFormal3M	Tonaca lacustre
MAID_H_LithosFormal3M	Abbigliamento dei chierici lythiani. Si dice che il tessuto racchiuda la forza\ndel Drago Divino. Il motivo simboleggia il rispetto verso gli emblemi.
MAID_LithosFormal3F	Abito lacustre
MAID_H_LithosFormal3F	Abbigliamento delle chieriche lythiane. Si dice che il tessuto racchiuda\nla forza del Drago Divino. Il motivo commemora i caduti in battaglia.
MAID_Swimwear1	Set semplice
MAID_H_Swimwear1	Costume da bagno semplice. Ideale per nuotare, allenarsi, prendere\nil sole e... allo stesso tempo fare un figurone. (Include due versioni.)
MAID_Swimwear1M	Costume
MAID_H_Swimwear1M	Costume da bagno di base. Ideale per nuotare, allenarsi e prendere\nil sole. Include una collanina che fa splendere chi la indossa.
MAID_Swimwear1F	Pareo da bagno
MAID_H_Swimwear1F	Costume da bagno di base. Comodo per nuotare, allenarsi e prendere\nil sole. La scelta dei colori per il pareo in vita è molto ampia.
MAID_Swimwear2	Set riservato
MAID_H_Swimwear2	Costume da bagno che copre buona parte del corpo. Ideale per chi\npredilige la comodità e le prestazioni. (Include due versioni.)
MAID_Swimwear2M	Camicia e short
MAID_H_Swimwear2M	Costume da bagno di base. Ideale per nuotare, allenarsi e prendere\nil sole. La camicia è comoda e fatta per asciugarsi in poco tempo.
MAID_Swimwear2F	Costume intero
MAID_H_Swimwear2F	Costume da bagno di base. Offre comodità e prestazioni a scapito\ndell'abbronzatura, che non risulta uniforme.
MAID_Swimwear3	Set giovanile
MAID_H_Swimwear3	Costume da bagno sgargiante per giovani che amano mettersi in mostra e\nlasciare il segno. (Include due versioni.)
MAID_Swimwear3M	Costume e fiori
MAID_H_Swimwear3M	Costume da bagno per giovani, molto decorato. La ghirlanda è composta\nda freschi fiori tropicali che non sembrano appassire mai.
MAID_Swimwear3F	Gonna e fiocco
MAID_H_Swimwear3F	Costume da bagno per giovani, molto decorato. Il grazioso fiocco sul petto\nè davvero ben fissato.
MAID_Exercisewear	Tuta sportiva
MAID_H_Exercisewear	Abbigliamento realizzato con uno stile unico dalla boutique di accessori\ne studiato per gli allenamenti. Il tessuto è resistente e traspirante.
MAID_NormalGlasses	Lenti normali
MAID_H_NormalGlasses	Gli occhiali sono uno strumento inventato dai talentuosi vetrai elusiani.\nLe lenti sono levigate fino a diventare trasparenti come il ghiaccio.
MAID_LowerEdgeGlasses	Lenti quadrate
MAID_H_LowerEdgeGlasses	Questa montatura è stata creata per non intralciare la vista quando si\nguarda verso l'alto. Perfetti per chi vuole mettere in mostra i propri occhi.
MAID_BigSunglasses	Lenti grandi
MAID_H_BigSunglasses	Occhiali per proteggersi dal sole accecante. La montatura grande ripara\ngli occhi e le lenti scure sono utili per le missioni in incognito.
MAID_BlackTabbyGlasses	Montatura spessa
MAID_H_BlackTabbyGlasses	La montatura spessa e pesante può rivelarsi un po' fastidiosa se indossata\na lungo, ma alcuni la trovano eccezionale per cambiare immagine.
MAID_ColoredSunglasses	Lenti scure
MAID_H_ColoredSunglasses	Occhiali da sole con lenti leggermente oscurate. Amati da chi vuole essere\nalla moda e avere comunque una discreta protezione per gli occhi.
MAID_SkullMask	Teschio
MAID_H_SkullMask	Una maschera particolare decorata con il disegno di un teschio. Usata in\nfeste solmiche, in cui i partecipanti la decorano con motivi personalizzati.
MAID_FancyDressMask	Maschera
MAID_H_FancyDressMask	Una maschera indossata di solito durante le feste in maschera firenesi,\ndove gente di ogni dove si riunisce e socializza mantenendo l'anonimato.
MAID_Eyepatch	Benda
MAID_H_Eyepatch	Usata per nascondere un occhio. Si dice che sia nata in Brodia come\ntentativo dei soldati di celare le ferite subite sul campo di battaglia.
MAID_Mascot_SilkHat	Cappello
MAID_H_Mascot_SilkHat	Cappello elegante per uno spirito guardiano sempre attento. Con questo\naccessorio raffinato, anche la postura sembra subito migliorata.
MAID_Mascot_Sunglasses	Occhiali da sole
MAID_H_Mascot_Sunglasses	Accessorio indispensabile per darsi un aspetto rilassato nella calura estiva.\nPer lo spirito guardiano che vuole passare da carino a tosto con un tocco.
MAID_Mascot_Flower	Ghirlanda
MAID_H_Mascot_Flower	Corona floreale fatta con fiori colti dai prati dove \x0E\x06\x05\x00 ama\nappisolarsi. La risposta alla domanda: "Che profumo ha la tranquillità?"
MAID_Mascot_Wig	Chioma
MAID_H_Mascot_Wig	Una parrucca in stile \x0E\x06\x03\x00. Non importa se stia davvero bene\no no, perché \x0E\x06\x05\x00 sembra al settimo cielo.
MAID_Mascot_Eyebrows	Sopracciglia
MAID_H_Mascot_Eyebrows	Sopracciglia espressive che aggiungono un tocco di personalità.\nGrazie a loro, saprai sempre quando \x0E\x06\x05\x00 ha l'aria sorpresa.
MAID_Mascot_Butterfly	Farfalla
MAID_H_Mascot_Butterfly	Una farfalla si è posata sulla coda di \x0E\x06\x05\x00 e non vuole più andar\nvia. Sta così immobile che non si capisce più se sia una farfalla vera.
MAID_Mascot_Ribbon	Fiocco
MAID_H_Mascot_Ribbon	Un fiocco così leggero che \x0E\x06\x05\x00 si dimentica di averlo e ogni\nvolta che si guarda la coda salta di gioia e sorpresa.
MAID_Mascot_Bell	Campanella
MAID_H_Mascot_Bell	Questa campanella tenuta da un laccetto bianco e rosso sembra un\nportafortuna. Tintinna allegramente, così correre è ancora più divertente.
MAID_Mascot_Feather	Ali
MAID_H_Mascot_Feather	Fatte di piume artificiali, così leggere da spostarsi al minimo alito di vento.\nPericolo! Chi le indossa potrebbe illudersi di poter volare davvero.
MAID_Mascot_BackAcce	Abito formale
MAID_H_Mascot_BackAcce	Abito formale sullo stile del Drago Divino, ma confezionato apposta per\nlo spirito guardiano, che lo indossa con orgoglio e nostalgia.
MAID_Costume_Marth	Stile Marth
MAID_H_Costume_Marth	Basato su Marth, l'emblema dell'Inizio. Un eroe tra gli eroi.
MAID_Costume_Siglud	Stile Sigurd
MAID_H_Costume_Siglud	Basato su Sigurd, l'emblema della Guerra Santa. Un nobile cavaliere dal\nlignaggio illustre.
MAID_Costume_Celica	Stile Celica
MAID_H_Costume_Celica	Basato su Celica, l'emblema degli Echi. La principessa di un regno\nprospero e fecondo.
MAID_Costume_Micaiah	Stile Micaiah
MAID_H_Costume_Micaiah	Basato su Micaiah, l'emblema della Luce. Una sacerdotessa dai misteriosi\npoteri.
MAID_Costume_Roy	Stile Roy
