MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\nCiao, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nGrazie, significa molto per me.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nVi chiamo la prossima volta che vado alla\nricerca di un paesaggio?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nMagari! Sono curios\x0E\x0A\x00\x08\x02o\x02a di vedere cosa vorrai\nmostrarmi la prossima volta!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nDrago Divino, mi trovate carino, vero?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nSì, naturalmente. Sei adorabile.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08ロサード\nCi capiamo, bene. Questo dovrebbe semplificare\nle cose.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08ロサード\nDato che sono la persona più carina che\nconosciate, vorrei che aveste questo.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nMh?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08ロサード\nEcco qua. Cosa ne pensate?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nUn fermaglio per capelli? Ma è bellissimo.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08ロサード\nOvvio, l'ho preso nel mio villaggio natale, il\nvillaggio delle fate!\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nGrazie, ma come mai questo regalo?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ロサード\nPerché con questo accessorio tra i capelli\ndiventerete voi stess\x0E\x0A\x00\x08\x02o\x02a la persona più carina\nche conosciate.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nAh, sì? \x0E\x0A\x00\x0C\x04Il\x04La più carin\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08ロサード\nEsatto. Ne so qualcosa, sono un esperto in\nmateria.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08ロサード\nE c'è di più. Diventerete anche la persona più\ncarina che conosca io.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n...!\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08ロサード\nImmagino sappiate che non mi è facile\nammettere una cosa del genere.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08ロサード\nMa non posso farci niente. Siete speciale per\nme, Drago Divino...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nMeriti un "mi piace".\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08ロサード\nEheh... che?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nLe tue parole mi fanno piacere. E penso le\nstesse cose di te, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nSei l'amico più caro che ho. Sono grat\x0E\x0A\x00\x08\x02o\x02a di far\nparte della tua vita.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08ロサード\nDrago Divino...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nE vorrei che accettassi questo.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08ロサード\nL'anello del patto? Ma è troppo prezioso.\nSiete sicur\x0E\x0A\x00\x08\x02o\x02a di volerlo dare a me?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nNon posso darti un "mi piace" e basta.\nL'anello è più adatto a ciò che voglio dirti.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08ロサード\nAllora accetto volentieri. Questo anello è\nadorabile... e non mi stupisce, visto che me\nl'avete dato voi.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ロサード\nLo porterò sempre con me, in fondo sta bene\ncon tutto.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nCerto, niente mi renderebbe più content\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08ロサード\nSarà il simbolo della nostra imperitura amicizia,\n\x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08ロサード\nQualunque cosa accada, finché vedrete questo\nanello al mio dito, saprete che sarò al vostro\nfianco.\x0E\x04\x00\x00
