MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nI tuoi piani e i tuoi intrighi sono solo al suo\nservizio. Combatterai per la sua felicità?\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x10\x0EE004_エル\nLa stanchezza non interferirà con il mio\nrendimento sul campo di battaglia. E questa\ndovrebbe essere la tua unica preoccupazione.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x0A\x08リュール\nÈ di cattivo umore.\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x10\x0EE004_イル\nSarà colpa della mancanza di sonno.\nLasciamola in pace.\x0E\x04\x02\x00
MID_OP3_#012	Chissà dov'è andata stanotte. Spero che non\nsi sia messa in pericolo...\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x16\x14E004_グレゴリー\nMadeline dovrebbe arrivare a momenti. Era in\nmissione di spionaggio qui in Elusia.\x0E\x04\x02\x00
MID_OP3_#014	Zelestia è andata a prenderla nel punto stabilito.\nDovrebbero essere qui a breve...\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE004_イル\nAh! Eccole! Ciao!\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x00\x1A\x14E004_マデリーン\x021\n\x0E\x03\x02\x16\x14E004_マデリーン\nSalve, lord Nil. Lady Nel. Spero che il viaggio\nnon sia stato troppo arduo. Gregory, ti trovo\nbene.\x0E\x04\x02\x00
MID_OP3_#017	Zelestia mi ha aggiornata sugli ultimi\navvenimenti. Immagino che quest\x0E\x0A\x00\x08\x02o\x02a sia \x0E\x0A\x00\x0C\x04il\x04la nostr\x0E\x0A\x00\x08\x02o\x02a\nstimat\x0E\x0A\x00\x08\x02o\x02a ospite.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x10\x0EE004_イル\nSì. Madeline, ti presento il Drago Divino di un\naltro mondo.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x16\x14E004_マデリーン\nIncredibile... A parte le differenze esteriori,\nsembra quasi che il nostro Drago Divino sia\ntornato tra noi.\x0E\x04\x02\x00
MID_OP3_#020	Che dire? Sono senza parole...\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nCapisco come ti senti, Madeline. Anch'io ero\ncommossa la prima volta che l'ho vist\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x02\x00
MID_OP3_#022	Non trattenere le lacrime, sfogati se ne hai\nbisogno.\x0E\x04\x00\x00
MID_OP3_#023	\x0E\x03\x02\x16\x14E004_マデリーン\nNon sento il bisogno di piangere, Zelestia.\nPossibile che mi tratti sempre come una\nbambina?\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x18\x16E004_セレスティア\nScusami, cara. Hai ragione.\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x16\x14E004_マデリーン\nPiacere, Drago Divino. Sono Madeline dei\nQuattro Venti.\x0E\x04\x02\x00
MID_OP3_#026	Sono la più giovane del gruppo, ma ciò non\nsignifica che sia meno abile degli altri.\x0E\x04\x02\x00
MID_OP3_#027	Prometto che ti proteggerò a ogni costo.\x0E\x04\x00\x00
MID_OP3_#028	\x0E\x03\x02\x0A\x08リュール\nGrazie, Madeline, apprezzo il tuo aiuto.\x0E\x04\x00\x00
MID_OP3_#029	\x0E\x03\x02\x16\x14E004_マデリーン\nLo faccio con gioia.\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nEri una mocciosa la prima volta che ti ho vista,\ne guardati ora. Ti sei fatta grande.\x0E\x04\x02\x00
MID_OP3_#031	Scommetto che anche Mauvier è orgoglioso di\nte, tanto più perché è stato lui a reclutarti.\x0E\x04\x00\x00
MID_OP3_#032	\x0E\x03\x02\x16\x14E004_マデリーン\nNon ero una mocciosa!\x0E\x04\x02\x00
MID_OP3_#033	Che Mauvier sia orgoglioso di me non può che\nfarmi piacere, ovviamente.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x0A\x08リュール\nMauvier? Sarebbe...\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nSì, l'ultimo membro dei Quattro Venti, nonché\nil mio vicecomandante. Un ottimo veterano,\ndevo dire.\x0E\x04\x02\x00
MID_OP3_#036	Un tempo era un cavaliere dell'armata di\nSombron, ma quando morì la persona di cui era\nal servizio, passò dalla nostra parte.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x0A\x08リュール\nChi era quella persona? Uno dei vostri fratelli\ne sorelle?\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x10\x0EE004_イル\nProprio così, ma non ci siamo mai incontrati.\x0E\x04\x02\x00
MID_OP3_#039	Ricordo che rimasi sorpreso quando scoprii che\nnostro padre permetteva a uno dei suoi figli\ndi avere un cavaliere personale.\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x02\x10\x0EE004_エル\nEra il motivo per cui inizialmente sospettavo che\nMauvier fosse una spia.\x0E\x04\x02\x00
MID_OP3_#041	Credevo che Sombron lo avesse incaricato di\nscovare me e Nil.\x0E\x04\x02\x00
MID_OP3_#042	I miei sospetti, fortunatamente, si dimostrarono\ninfondati. Mauvier ottenne la completa fiducia\ndel Drago Divino.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x18\x16E004_セレスティア\nNon vedo l'ora di presentartelo, Drago Divino.\nMauvier è il fondatore dei Quattro Venti.\x0E\x04\x02\x00
MID_OP3_#044	Secondo me sarebbe stato la persona più\nadatta al ruolo di comandante, se non fossi\nstata scelta io per motivi a me ignoti.\x0E\x04\x00\x00
MID_OP3_#045	\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x02\x16\x14E004_グレゴリー\nTi hanno scelta perché sei vecchia.\x0E\x04\x00\x00
MID_OP3_#046	\x0E\x03\x02\x18\x16E004_セレスティア\nCome, scusa?!\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x10\x0EE004_エル\nBasta così. Madeline, illustraci il tuo rapporto.\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nFino a ieri, il castello di Elusia è rimasto quasi\ncompletamente sguarnito, a parte qualche\nsparuto soldato.\x0E\x04\x02\x00
MID_OP3_#049	La regina e la guardia reale si trovano alla\ncattedrale di Hasaude, dove stanno svolgendo\nun rituale.\x0E\x04\x00\x00
MID_OP3_#050	\x0E\x03\x02\x0A\x08リュール\nUn rituale? Non sarà...\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x02\x10\x0EE004_エル\nVogliono resuscitare Sombron.\x0E\x04\x00\x00
MID_OP3_#052	\x0E\x03\x02\x16\x14E004_マデリーン\nMi sembra un'ipotesi plausibile.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x02\x10\x0EE004_イル\nAvevo il sentore che sarebbe successo. D'altro\ncanto, gli elusiani sono molto devoti a nostro\npadre.\x0E\x04\x02\x00
MID_OP3_#054	Noi abbiamo fatto di tutto per assicurarci il\nsostegno di un Drago Divino. È logico che da\nparte loro facciano lo stesso.\x0E\x04\x00\x00
MID_OP3_#055	\x0E\x03\x02\x10\x0EE004_エル\nResuscitare un cadavere mi sembra tutto tranne\nche "logico".\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x02\x10\x0EE004_イル\nLoro non sono in grado di evocare qualcuno\nproveniente da altri mondi.\x0E\x04\x02\x00
MID_OP3_#057	Ecco... Mi sento un po' combattuto all'idea di\nrivedere nostro padre...\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x02\x10\x0EE004_エル\nOra che ci penso, è dallo scontro in Lythos che\nnon abbiamo notizie del nostro nemico\nmisterioso.\x0E\x04\x02\x00
MID_OP3_#059	Magari il rituale lo ha tenuto indaffarato.\x0E\x04\x00\x00
MID_OP3_#060	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nTutti in guardia! Qualcuno sta galoppando\nnella nostra direzione.\x0E\x04\x00\x00
MID_OP3_#061	\x0E\x03\x02\x0A\x08リュール\nChe sia la cavalleria elusiana?\x0E\x04\x00\x00
MID_OP3_#062	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nNo. Sembra...\x0E\x04\x02\x00
MID_OP3_#063	Mauvier? È Mauvier!\x0E\x04\x00\x00
MID_OP3_#064	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nMadeline, sei sana è salva. Che sollievo.\nE quest'area sembra ancora al sicuro.\x0E\x04\x00\x00
MID_OP3_#065	\x0E\x03\x02\x10\x0EE004_イル\nChe sorpresa, Mauvier. Poco fa, stavamo\nproprio parlando di te.\x0E\x04\x00\x00
MID_OP3_#066	\x0E\x03\x02\x12\x10M011_モーヴ\nLieto di vedervi, lord Nil. Lady Nel.\x0E\x04\x00\x00
MID_OP3_#067	\x0E\x03\x02\x10\x0EE004_エル\nCosa fai qui in Elusia? Ti avevamo ordinato di\nrestare in Solm a raccogliere informazioni.\x0E\x04\x00\x00
MID_OP3_#068	\x0E\x03\x02\x12\x10M011_モーヴ\nE queste erano le mie intenzioni, non fosse che\nla regina di Solm ha lasciato il palazzo.\x0E\x04\x02\x00
MID_OP3_#069	L'ho seguita, e mi sono ritrovato in Elusia.\x0E\x04\x00\x00
MID_OP3_#070	\x0E\x03\x02\x10\x0EE004_エル\nE così la regina di Solm è qui. Come mai?\x0E\x04\x00\x00
MID_OP3_#071	\x0E\x03\x02\x12\x10M011_モーヴ\nVi prego di perdonare la mia grave mancanza,\nma non ho avuto la prontezza di prevedere\nle sue mosse...\x0E\x04\x02\x00
MID_OP3_#072	La regina Timerra ha fatto il suo ingresso in\nElusia con tanto di bracciale e truppe al seguito.\x0E\x04\x02\x00
MID_OP3_#073	Si tratta di un'invasione a tutti gli effetti.\x0E\x04\x00\x00
MID_OP3_#074	\x0E\x03\x02\x10\x0EE004_エル\nAh...\x0E\x04\x02\x00
MID_OP3_#075	Mi domando se la cosa sia collegata al rituale\nelusiano.\x0E\x04\x02\x00
MID_OP3_#076	Forse l'armata solmica intende fare irruzione\nnella cattedrale e impedire che Sombron venga\nresuscitato.\x0E\x04\x00\x00
MID_OP3_#077	\x0E\x03\x02\x12\x10M011_モーヴ\nIgnoro se l'Elusia abbia già schierato le truppe,\nma comunque è solo questione di tempo.\x0E\x04\x00\x00
MID_OP3_#078	\x0E\x03\x02\x10\x0EE004_エル\nNon ci voleva. Due armate che si scontrano\nsono una bella complicazione. Dobbiamo\nprocedere in fretta.\x0E\x04\x00\x00
MID_OP3_#079	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nSissignora. Seguitemi, vi faccio strada.\x0E\x04\x00\x00
MID_OP3_#080	\x0E\x03\x02\x0A\x08リュール\nAh, forse prima di partire dovrei presentarmi.\x0E\x04\x00\x00
MID_OP3_#081	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nSiete il Drago Divino di un altro mondo, giusto?\x0E\x04\x00\x00
MID_OP3_#082	\x0E\x03\x02\x0A\x08リュール\nOh... Ecco, sì.\x0E\x04\x00\x00
MID_OP3_#083	\x0E\x03\x02\x12\x10M011_モーヴ\nIo sono Mauvier, vicecomandante dei Quattro\nVenti. Piacere di conoscervi. Allora, partiamo?\x0E\x04\x00\x00
MID_OP3_#084	\x0E\x03\x02\x0A\x08リュール\nMh. Mi sarei aspettat\x0E\x0A\x00\x08\x02o\x02a una reazione più forte...\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nGli eserciti si stanno scontrando di fronte alla\ncattedrale di Hasaude. La battaglia è già\ncominciata.\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nSiamo arrivati troppo tardi.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x10\x0EE004_エル\nForse questo non è un male.\nSe fossimo da soli ad affrontare uno dei due\neserciti, ci troveremmo in svantaggio.\x0E\x04\x02\x00
MID_OP4_#004	Lasciamo che si distraggano tra di loro\ne andiamo a reclamare i bracciali dalle rispettive\nregine.\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nLa regina Ivy è al comando dell'esercito\nelusiano, la regina Timerra guida quello del\nSolm.\x0E\x04\x02\x00
MID_OP4_#006	Posseggono il bracciale dello Stratega e quello\ndella Sorella Devota, rispettivamente.\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x02\x10\x0EE004_イル\nNon dovrebbe essere un'impresa impossibile\nsconfiggere solo loro due.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x10\x0EE004_エル\nTi senti pront\x0E\x0A\x00\x08\x02o\x02a, Drago Divino?\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x0A\x08リュール\nSì.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x02\x12\x10M011_モーヴ\nCon il vostro permesso, mi dirigerò alla\ncattedrale per tentare di sventare il rituale.\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x10\x0EE004_エル\nOttima idea. Procedi pure, Mauvier.\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x12\x10M011_モーヴ\nAgli ordini.\x0E\x04\x00\x00
MID_OP4_#013	\x0E\x03\x02\x10\x0EE004_イル\nForza, andiamo!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE004_エル\x02t\n\x0E\x05\x01\x1C\x0EE004_エル\nAngry\n\x0E\x03\x02\x10\x0EE004_エル\nL'Elusia e il Solm sono nel pieno della battaglia.\nIntrufoliamoci nella mischia e cogliamo di\nsorpresa le due comandanti.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nVedo degli ospiti senza invito! Poco male, i miei\nrinforzi ce ne libereranno.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nLa regina Ivy vuole attaccare? Allora, non\nsaremo da meno!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01 \x12E004_Boss\nRelax\n\x0E\x03\x02\x14\x12E004_Boss\nProcedete, mie amate viverne aberranti!\nDistruggeteli tutti!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01 \x12E004_Boss\nRelax\n\x0E\x03\x02\x14\x12E004_Boss\nSe sei qui per fermare il rituale, non temere.\nFarò in modo che la morte ti colga prima.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nInfame... Come osi?\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nVogliamo solo impedire che resuscitino il Drago\nMaligno. Perché vi mettete di mezzo?\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\n\x0E\x03\x02\x14\x12E004_Hide\nOra Sombron tornerà in vita... Era quello che\nvolevate, no?\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\nUn miraggio? Eppure, il deserto del Solm è\nlontano da qui.\x0E\x04\x02\x00
MID_BT5_#002	\x0E\x05\x01 \x12E004_Boss\nSmile\nSei un'altra Ivy? Interessante. Non hai la mia\nstessa sicurezza, ma ci si può lavorare.\x0E\x04\x00\x00
MID_BT5_#003	\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x16\x08アイビー\nAngry\n\x0E\x03\x02\x0A\x08アイビー\nPer carità, spero vivamente di non assomigliarti.\x0E\x04\x02\x00
MID_BT5_#004	Ti rendi conto che stai ripetendo gli stessi errori\ndi mio padre? Ti farò aprire gli occhi.\x0E\x04\x00\x00
MID_BT5_#005	\x0E\x05\x01\x1C\x12E004_Boss\x06Shy\n\x0E\x03\x02\x14\x12E004_Boss\nQuale padre? Quel patetico re decrepito?\x0E\x04\x02\x00
MID_BT5_#006	Ha avuto la faccia tosta di provare a fermare il\nrituale. Non valeva niente, neanche come\nofferta sacrificale.\x0E\x04\x00\x00
MID_BT5_#007	\x0E\x05\x01\x1C\x08アイビー\x10Surprise\n\x0E\x03\x02\x0A\x08アイビー\nLo hai ucciso? Perché? Per cosa?!\x0E\x04\x02\x00
MID_BT5_#008	\x0E\x05\x01\x14\x08アイビー\x08Pain\nHai distrutto l'Elusia. Almeno è rimasto\nqualcuno che ti possa chiamare regina?\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01 \x12E004_Boss\nAngry\n\x0E\x03\x02\x14\x12E004_Boss\nMa guarda un po'. Quella buona a nulla della\nseconda principessa. Mi dai la nausea.\x0E\x04\x00\x00
MID_BT6_#002	\x0E\x03\x00\x12\x0Cオルテンシア\x02t\n\x0E\x05\x01 \x0Cオルテンシア\x10Surprise\n\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy? Ma cosa ti prende?\x0E\x04\x00\x00
MID_BT6_#003	\x0E\x03\x02\x14\x12E004_Boss\nNon ti permettere. Non tollero quel tono\nimpertinente, e non è la prima volta che te\nlo dico.\x0E\x04\x02\x00
MID_BT6_#004	\x0E\x05\x01$\x12E004_Boss\x0EStandBy\nComplimenti, vedo che pur di attrarre la mia\nattenzione sei passata al Solm.\x0E\x04\x00\x00
MID_BT6_#005	\x0E\x05\x01\x16\x0Cオルテンシア\x06Sad\n\x0E\x03\x02\x0E\x0Cオルテンシア\nTi rivolgi sempre così all'Hortensia di questo\nmondo?\x0E\x04\x02\x00
MID_BT6_#006	\x0E\x05\x01\x1A\x0Cオルテンシア\nAngry\nAllora, sono contenta di esserci io al suo posto\nquesta volta. Almeno non ha dovuto sentire di\nnuovo le tue parole!\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\nMa tu... sei il Drago Divino? Allora ha funzionato\nil rituale per resuscitarti in Lythos?!\x0E\x04\x00\x00
MID_BT7_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nÈ complicato. Te lo spiegherò quando la\nbattaglia sarà finita e sarai disposta ad\nascoltare.\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nNon è giusto! Il Drago Divino è di nuovo in vita,\nmentre lord Sombron continua a languire nella\nmorte?!\x0E\x04\x02\x00
MID_BT7_#004	\x0E\x05\x01\x1E\x12E004_Boss\x08Pain\nQuesto è un sopruso inaccettabile per i seguaci\ndel Drago Maligno. L'Elusia non può tollerarlo!\x0E\x04\x02\x00
MID_BT7_#005	\x0E\x05\x01$\x12E004_Boss\x0EStandBy\nDobbiamo completare il rituale. Il potere e la\ngloria del Drago Maligno saranno restaurati.\x0E\x04\x02\x00
MID_BT7_#006	Ci penserò io stessa!\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\nZelkov! Sei veramente tu? Stento a credere che\nil mio attendente preferito sia tornato da me.\x0E\x04\x02\x00
MID_BT8_#002	\x0E\x05\x01\x1C\x12E004_Boss\x06Shy\nMa non è il momento di parlare, lo faremo dopo\nla battaglia. Voglio che mi racconti tutto delle\ntue avventure.\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x03\x00\x0E\x08ゼルコバ\x02t\n\x0E\x05\x01\x1C\x08ゼルコバ\x10Surprise\n\x0E\x03\x02\x0A\x08ゼルコバ\nNon sono mai stato così tanto *sbigottito* in\nvita mia.\x0E\x04\x02\x00
MID_BT8_#004	\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x05\x01\x1A\x08ゼルコバ\x0EStandBy\nPer quanto questo mistero sia intrigante, la mia\n*fedeltà* appartiene a un'altra Ivy. Dovrò\nrifiutare.\x0E\x04\x00\x00
MID_BT8_#005	\x0E\x05\x01\x1E\x12E004_Boss\x08Pain\n\x0E\x03\x02\x14\x12E004_Boss\nChe parole crudeli! Ma non importa. Se non\nprovi niente nei miei confronti, non so che\nfarmene di te.\x0E\x04\x02\x00
MID_BT8_#006	Sei già morto una volta per me, lo farai un'altra\nvolta.\x0E\x04\x00\x00
MID_BT8_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nVi ringrazio. State rendendo il mio compito\nmolto più *semplice*.\x0E\x04\x02\x00
MID_BT8_#008	\x0E\x05\x01\x16\x08ゼルコバ\nAngry\nVi eliminerò senza *provare* nulla.\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カゲツ\x02t\n\x0E\x05\x01\x14\x06カゲツ\nSmile\n\x0E\x03\x02\x08\x06カゲツ\nAh! Un'altra principessa Ivy. Piacere, spero che\ndiventeremo amici.\x0E\x04\x00\x00
MID_BT9_#002	\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nSei falso come sempre, Kagetsu.\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x05\x01\x1A\x06カゲツ\x10Surprise\n\x0E\x03\x02\x08\x06カゲツ\nIn che senso? Sono davvero così diverso in\nquesto mondo?\x0E\x04\x00\x00
