MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nスフォリア\x023\n\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nRegina Seforia!\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon ascolterò una parola di più detta da una\nvoltagabbana come te. E ora datemi quegli\nanelli, e facciamola finita.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_OP1_#021	No, Hortensia. Non li avrai.\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon sono stata abbastanza chiara? Dammeli\nsubito oppure UCCIDERÒ la REGINA.\x0E\x04\x00\x00
MID_OP1_#023	\x0E\x03\x02\x0A\x08リュール\nHo capito perfettamente. Ad ogni modo,\nnon farò quello che chiedi.\x0E\x04\x02\x00
MID_OP1_#024	I suoi sforzi, così come quelli di Timerra,\nFogado e di tutto il Solm, sarebbero stati vani.\x0E\x04\x02\x00
MID_OP1_#025	Quindi non ti darò quegli anelli. E non\npermetterò che tu uccida la regina Seforia.\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nSono d'accordo con il Drago Divino.\nGli anelli rimarranno in mano nostra.\x0E\x04\x02\x00
MID_OP1_#028	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nGiusto.\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x0C\nミスティラ\nSe permettessimo al Drago Maligno di\nimpossessarsene, sarebbe la condanna\nper il mio paese... per il mio popolo.\x0E\x04\x02\x00
MID_OP1_#030	Minacciaci pure quanto ti pare. Prendi in\nostaggio la mia famiglia al completo, se vuoi.\x0E\x04\x02\x00
MID_OP1_#031	Ma io non smetterò di proteggere il Solm.\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x02\x0C\nスフォリア\nBen detto. La futura sovrana di Solm.\nE \x0E\x0A\x00L$il suo alleato, il$la sua alleata, il Drago Divino.\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa sei impazzita?! È tua madre, questa!\nDovresti avere paura!\x0E\x04\x02\x00
MID_OP1_#034	Piangi! Implorami di risparmiarle la vita! Dammi\nquello che voglio!\x0E\x04\x02\x00
MID_OP1_#035	Anzi, quello che mi serve. Ho bisogno degli\nanelli se voglio riportare in vita mio padre.\x0E\x04\x00\x00
MID_OP1_#036	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nHortensia... nostro padre non c'è più. Il Drago\nMaligno l'ha ucciso. L'hai visto con i tuoi occhi.\x0E\x04\x02\x00
MID_OP1_#037	Non possiamo riportarlo in vita, neanche con\ngli anelli.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x02\x0E\x0Cオルテンシア\nCome fai a saperlo? Devo almeno provarci!\nDevo salvare nostro padre... e l'Elusia!\x0E\x04\x02\x00
MID_OP1_#039	Niente è più al proprio posto. Voglio riportare le\ncose com'erano prima!\x0E\x04\x00\x00
MID_OP1_#040	\x0E\x03\x02\x0A\x08アイビー\nSo come ti senti.\x0E\x04\x00\x00
MID_OP1_#041	\x0E\x03\x02\x0E\x0Cオルテンシア\nNO! Smettila di dirmi come mi sento, capito?\nAdesso la uccido, giuro!\x0E\x04\x00\x00
MID_OP1_#042	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nNon puoi farlo.\x0E\x04\x02\x00
MID_OP1_#043	Conosci troppo bene il dolore di perdere\nun genitore.\x0E\x04\x00\x00
MID_OP1_#044	\x0E\x03\x02\x0E\x0Cオルテンシア\n...!\x0E\x04\x00\x00
MID_OP1_#045	\x0E\x03\x02\x0C\nスフォリア\nAllora? Se lo vuoi davvero, fallo. Cosa stai\naspettando?\x0E\x04\x00\x00
MID_OP1_#046	\x0E\x03\x02\x0E\x0Cオルテンシア\nIo... Ngh... Io...\x0E\x04\x02\x00
MID_OP1_#047	...\x0E\x04\x00\x00
MID_OP1_#048	\x0E\x03\x02\x0A\x08リュール\nHa bisogno di sua sorella.\x0E\x04\x00\x00
MID_OP1_#049	\x0E\x03\x02\x0A\x08アイビー\nSono qui, Hortensia. Oh, mi hai fatto\npreoccupare così tanto.\x0E\x04\x00\x00
MID_OP1_#050	\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy...\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06セピア\x023\n\x0E\x03\x02\x08\x06セピア\nBasta con questa patetica scenetta familiare.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nZephia. Che ci fai qui?\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x08\x06セピア\nSei mancat\x0E\x0A\x00\x08\x02o\x02a anche a me, Drago Divino.\nTi ringrazio per averci aiutati a raccogliere\ncosì tanti anelli.\x0E\x04\x02\x00
MID_OP2_#004	Credevo di averli tutti. Ma a quanto pare la\nnostra "ex" principessa ereditaria è una\nladruncola.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x08\x06セピア\nMa non importa, è acqua passata. E ora...\nprincipessa Hortensia.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\n...!\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x08\x06セピア\nSi fa così? Rubare un anello e sgattaiolare\nqua dentro, tutta sola?\x0E\x04\x02\x00
MID_OP2_#009	Gli ordini di lord Sombron e di lady Veyle erano\nchiari, mi pare. Aspettare e osservare.\x0E\x04\x02\x00
MID_OP2_#010	A proposito, sai che hanno fatto i tuoi\nattendenti? Hanno provato a fermarci.\nMa hanno fallito.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nDove sono? Cosa hai fatto a Goldmary e\nRosado?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x08\x06セピア\nLo vedrai presto, non temere. Tornando a noi,\nnon era nei piani agire così presto.\x0E\x04\x02\x00
MID_OP2_#013	Ma ormai siamo qui. Sarebbe un vero peccato\ntornarsene a casa senza qualche ricordino.\x0E\x04\x02\x00
MID_OP2_#014	Marni? Mauvier? Cosa ne pensate?\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08リュール\nAltri Segugi.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0C\x06マロン\x023\n\x0E\x03\x02\x08\x06モーヴ\nNon mi sarei aspettato di poter penetrare\nnel palazzo di Solm con tanta facilità.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x08\x06マロン\nZephia, cosa ne facciamo della regina?\nLa uccidiamo? Ormai non ci serve.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nNo. Lord Sombron vorrà assaporare ogni\ngoccia del suo sangue reale.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x08\x06マロン\nA-ha, tutto chiaro.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x0A\x08リュール\nRegina Seforia!\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x00\x12\x0Cオルテンシア\x023\n\x0E\x03\x02\x08\x06セピア\nPrincipessa Hortensia... Davvero coraggioso\nda parte tua venire qui a prendere gli anelli per\nlord Sombron.\x0E\x04\x02\x00
MID_OP4_#003	Ora che ci siamo noi tre, che ne dici se ti\naiutiamo a finire il lavoro?\x0E\x04\x02\x00
MID_OP4_#004	Possiamo sbarazzarci di loro e tornare in\nElusia in men che non si dica. Allora?\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nM-Ma io...\x0E\x04\x00\x00
MID_OP4_#006	\x0E\x03\x02\x08\x06セピア\nForza, cara. Prendi il comando.\x0E\x04\x02\x00
MID_OP4_#007	Pensaci. Con i loro anelli saremo a un passo\ndall'averli tutti e dodici.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nCi siamo... quasi... Ne mancano... pochi...\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x0A\x08リュール\nHortensia? Che succede?\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nSe avrò tutti gli anelli... mio padre...\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x08\x06セピア\nProprio così. Re Hyacinth può essere\nresuscitato. Tutto tornerà come prima.\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nCome... prima... Ngh.\x0E\x04\x02\x00
MID_OP4_#013	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x00\x1C\x16M014_オルテンシア\x023\n\x0E\x03\x02\x18\x16M014_オルテンシア\n...\x0E\x04\x02\x00
MID_OP4_#014	Li ucciderò tutti. Prenderò gli anelli. Non c'è\naltra soluzione... se voglio salvare mio padre.\x0E\x04\x00\x00
MID_OP4_#015	\x0E\x03\x02\x0A\x08リュール\nVuole davvero combattere contro di noi?\x0E\x04\x00\x00
MID_OP4_#016	\x0E\x03\x02\x0A\x08アイビー\nHortensia, torna in te! Hortensia!\x0E\x04\x00\x00
MID_OP4_#017	\x0E\x03\x02\x08\x06セピア\nTemo che non possa sentirti, mi dispiace.\nDivertitevi a uccidervi a vicenda!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M014_オルテンシア\x02b\n\x0E\x05\x01"\x16M014_オルテンシア\x08Pain\n\x0E\x03\x02\x18\x16M014_オルテンシア\nDevo sconfiggervi... È l'unico modo per...\nNgh... Aaaaaaah!\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nL'emblema si sta sovraccaricando con l'energia\ndel Drago Maligno!\x0E\x04\x02\x00
MID_EV1_#003	\x0E\x05\x01\x16\x08リュール\nAngry\nFate attenzione, mi raccomando.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M014_オルテンシア\x02b\n\x0E\x05\x01&\x16M014_オルテンシア\x0CStatus\n\x0E\x03\x02\x18\x16M014_オルテンシア\nMi servono gli anelli. Devo salvare mio padre.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x14\x08アイビー\x08Pain\n\x0E\x03\x02\x0A\x08アイビー\nHortensia, ti prego, torna in te!\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x1C\x16M014_オルテンシア\x02b\n\x0E\x05\x01"\x16M014_オルテンシア\x08Pain\n\x0E\x03\x02\x18\x16M014_オルテンシア\nPerché mi ostacoli, Ivy? Voglio solo riportare\nin vita nostro padre. Non manca anche a te?\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x1A\x08アイビー\x0EStandBy\n\x0E\x03\x02\x0A\x08アイビー\nCerto che mi manca. Temo che la ferita nel mio\ncuore non si rimarginerà mai... ed è proprio per\nquesto che non voglio perdere anche te.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M014_オルテンシア\x02b\n\x0E\x05\x01"\x16M014_オルテンシア\x08Pain\n\x0E\x03\x02\x18\x16M014_オルテンシア\nPerché... va sempre tutto storto?\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_セピア\x02b\n\x0E\x05\x01\x1E\x10M014_セピア\nRelax\n\x0E\x03\x02\x12\x10M014_セピア\nMi ridarete gli anelli che avete rubato, vero?\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_セピア\x02b\n\x0E\x05\x01\x1E\x10M014_セピア\nSmile\n\x0E\x03\x02\x12\x10M014_セピア\nMa guarda, la mia lucertola preferita.\nTi piace il Solm?\x0E\x04\x02\x00
MID_BT5_#002	Non temere, i tuoi amichetti sono al sicuro con\nme. Sigurd, Celica, Micaiah... Marth.\x0E\x04\x00\x00
MID_BT5_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nMaledetta.\x0E\x04\x00\x00
MID_BT5_#004	\x0E\x05\x01 \x10M014_セピア\x0CStrike\n\x0E\x03\x02\x12\x10M014_セピア\nOh, volevi vederli? Che peccato. Non li ho\nportati con me.\x0E\x04\x02\x00
MID_BT5_#005	\x0E\x05\x01\x1E\x10M014_セピア\nSmile\nNon potevo rischiare che me li portassi via...\nEh, Drago Divino?\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_セピア\x02b\n\x0E\x05\x01\x1C\x10M014_セピア\x08Pain\n\x0E\x03\x02\x12\x10M014_セピア\nSembrava troppo facile per essere vero...\nCi rivedremo presto.\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_マロン\x02b\n\x0E\x05\x01 \x10M014_マロン\x0CStrike\n\x0E\x03\x02\x12\x10M014_マロン\nCaruccio questo palazzo di Solm! Non so se\nvi meritate una tomba così bella!\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_マロン\x02b\n\x0E\x05\x01\x1C\x10M014_マロン\x08Pain\n\x0E\x03\x02\x12\x10M014_マロン\nSe ho perso è solo per colpa del pavimento\nscivoloso! È l'unico motivo!\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_モーヴ\x02b\n\x0E\x05\x01\x1E\x10M014_モーヴ\nAngry\n\x0E\x03\x02\x12\x10M014_モーヴ\nNon si scherza con la vostra armata. In segno di\nrispetto, combatterò con tutte le mie forze.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_モーヴ\x02b\n\x0E\x05\x01\x1C\x10M014_モーヴ\x08Pain\n\x0E\x03\x02\x12\x10M014_モーヴ\nNessuno mi ha ordinato di morire qui. Me ne\nvado.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x023\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy, che è successo?\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08アイビー\nGrazie al cielo! Sei di nuovo tu.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nDove sono finiti i soldati elusiani?\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nSi sono ritirati.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nDevo andare con loro...\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nNo. È troppo pericoloso. Zephia prenderebbe\ndi nuovo il controllo della tua mente.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa ero l'ultima rimasta al castello.\nSenza di me, non c'è nessuno a guidare l'Elusia.\x0E\x04\x02\x00
MID_ED1_#008	Nessuno a occuparsi del paese che nostro\npadre ha lasciato senza un sovrano...\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08アイビー\nÈ vero, ma non possiamo fare niente.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nCome puoi dire una cosa del genere?\nNon ti importa niente dell'Elusia?\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08アイビー\nCerto che mi importa. Avrei dato la vita per\nproteggere il nostro regno.\x0E\x04\x02\x00
MID_ED1_#012	Ma non è più il nostro regno. È il regno del\nDrago Maligno. E lo sai anche tu.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nPrincipessa Ivy...\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08アイビー\nNon volevo ammetterlo, ma la verità è che\nnostro padre ha smesso di essere il re non\nappena il Drago Maligno ha riaperto gli occhi.\x0E\x04\x02\x00
MID_ED1_#016	Da quel momento, il vero potere è passato\na Sombron, sua figlia e i Quattro Segugi.\x0E\x04\x02\x00
MID_ED1_#017	Se ora tornassi lì, diventeresti solo una pedina\nnelle loro mani. Come lo era nostro padre.\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa...\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0A\x08アイビー\nAnche io vorrei tornare a casa. Non sai quanto\nlo vorrei.\x0E\x04\x02\x00
MID_ED1_#020	Ma non abbiamo più una casa a cui tornare,\nfinché non sconfiggeremo il Drago Maligno.\x0E\x04\x02\x00
MID_ED1_#021	Siamo in debito con il nostro popolo, per aver\npermesso che nostro padre lasciasse il potere\na Sombron.\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x02\x00
MID_ED1_#023	Il castello è stato la mia casa fin da bambina...\nE ora non possiamo più tornarci, eh?\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x0A\x08アイビー\nTemo di no.\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nL'angolino dove bevevo il tè con gli amici.\nIl giardino dove leggevamo insieme io e te...\x0E\x04\x02\x00
MID_ED1_#026	E Rosado e Goldmary. Ho lasciato tutto e tutti\nalle spalle.\x0E\x04\x02\x00
MID_ED1_#027	E va bene, Ivy. Mi unirò alla tua causa, affinché,\nun giorno, tutto possa tornare com'era.\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x02\x0A\x08アイビー\nGrazie, Hortensia.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0E\x0Cオルテンシア\nMi sento in colpa... per quello che ho fatto.\nDrago Divino? Questo prendilo tu.\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x0A\x08リュール\nL'anello del Mentore. Uno degli anelli rubati\ndal Lythos. Grazie per avermelo restituito.\x0E\x04\x00\x00
MID_ED1_#031	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon l'ho portato qui con l'intenzione di\nrestituirlo. Non sono così buona.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x0A\x08リュール\nBeh, grazie lo stesso.\x0E\x04\x00\x00
MID_ED1_#033	Insegnaci, emblema dell'Accademia!\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ベレト\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x08\x06ベレト\nSono l'emblema Byleth. Mi sembra di essermi\nappena svegliato da un lungo sogno...\x0E\x04\x02\x00
MID_ED2_#002	È un piacere essere al posto che mi spetta...\naccanto a te. Usa il mio potere per guidare\ngli alleati.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x0A\x08リュール\nLo farò. Grazie, emblema Byleth.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスフォリア\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nスフォリア\nState tutti bene?\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02\x0A\x08リュール\nRegina Seforia, per fortuna non vi siete fatta\nniente!\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x0C\nスフォリア\nConfermo. Alcuni soldati elusiani hanno cercato\ndi portarmi via, ma all'ultimo momento sono\nstata salvata.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x00\x10\nミスティラ\x023\n\x0E\x03\x02\x0C\nミスティラ\nLi abbiamo sconfitti.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x00\x12\x0Cディアマンド\x024\n\x0E\x03\x02\x0E\x0Cディアマンド\nIo e Alfred avremmo voluto fare di più...\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMa non abbiamo fatto in tempo a sguainare\nle armi, che la battaglia era finita.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02\x0C\nミスティラ\nAhah! Sono le guardie reali di Solm. Bravi, eh?\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x0A\x08リュール\nL'importante è che la regina stia bene. Grazie\na tutti per l'ottimo lavoro.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x0C\nスフォリア\nGrazie a te. Non vedo altri nemici qui attorno.\nLi avete scacciati dal palazzo.\x0E\x04\x02\x00
MID_ED3_#010	Drago Divino, ti ringrazio di cuore per aver\nprotetto gli anelli e la mia famiglia con tanto\ncoraggio.\x0E\x04\x02\x00
MID_ED3_#011	Il tuo modo di parlare, quello sguardo\ndeterminato... Mi sembrava di vedere la regina\nLumera davanti a me.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x0A\x08リュール\n...!\x0E\x04\x02\x00
MID_ED3_#013	Vi ringrazio. Apprezzo le vostre parole.\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nUhm... Chiedo scusa... Regina Seforia!\x0E\x04\x00\x00
MID_ED3_#015	\x0E\x03\x02\x0C\nスフォリア\nTu... Credevo fossi tornata in Elusia.\x0E\x04\x00\x00
MID_ED3_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nEcco, sono davvero mortificata. Accetterò\nla punizione che riterrete più opportuna.\x0E\x04\x00\x00
MID_ED3_#017	\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nAnch'io vi devo le mie scuse.\x0E\x04\x00\x00
MID_ED3_#018	\x0E\x03\x02\x0C\nスフォリア\n...\x0E\x04\x00\x00
MID_ED3_#019	\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x0A\x08リュール\nRegina Seforia, vi prego. Zephia ha usato una\nmagia per controllare la principessa Hortensia.\x0E\x04\x02\x00
MID_ED3_#020	Appena si è liberata dall'incantesimo, ha smesso\ndi combatterci... mi ha anche dato il suo anello\ndell'emblema.\x0E\x04\x00\x00
MID_ED3_#021	\x0E\x03\x02\x0C\nスフォリア\nPerò Zephia non c'era quando la giovane\nprincipessa mi teneva in ostaggio.\x0E\x04\x02\x00
MID_ED3_#022	Guardatemi negli occhi, voi due.\x0E\x04\x00\x00
MID_ED3_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nSì...\x0E\x04\x00\x00
MID_ED3_#024	\x0E\x03\x02\x0C\nスフォリア\nMinacciare la vita una regina è un grave reato.\nDovrei mandarvi nelle segrete!\x0E\x04\x02\x00
MID_ED3_#025	Tuttavia... non lo farò.\x0E\x04\x00\x00
