MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nYaaaaaaah!
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06アンナ\nNo, tutto a posto. Stai indietro e ammira\nuna taglialegna all'opera!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ボネ\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nYaaaaaaaaah!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nUhm... sto perdendo colpi. Strano...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nQuanto mi mancano...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x02\x06\x04ボネ\nEhi, signorina Anna. Sempre a lavorare.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nEhi, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nNon ti conviene prendere i pezzi che ho\ntagliato oggi. Non sono in forma.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nOggi non sono venuto per la legna.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nTieni, ti ho preparato una zuppa di salmone.\nSpero somigli a quella che mangiavi tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nOooh! Posso mangiarla subito?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nCerto, mangiala finché è calda.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06アンナ\nGrazie mille!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nMmmmh! Questa zuppa mi riscalda fin dentro\nle ossa. È buona proprio come quella che\nfacevamo a casa.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nSono contento. Non è stato facile.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ボネ\nHo fatto delle ricerche sulla cucina del tuo\npaese natale e sulle spezie da usare.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nNon ero sicuro di essere riuscito a riprodurre\nil sapore...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nEcco perché mi ricorda tanto casa mia!\nHai fatto tutto questo solo per me?\nSono davvero commossa!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nMi mancava talmente tanto casa che ho\ncominciato a tagliare male la legna.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nMa questo piccolo assaggio di casa mia mi\nha ridato tutte le energie! Ora sono pronta\na tagliare cento tronchi!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nQuando ti senti triste vieni da me. Non potrò\nriportarti a casa, ma almeno ti sembrerà di\nessere lì.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nLo apprezzo tanto. Allora, quanto ti devo per\nla zuppa?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nNon devi pagarmi... L'ho preparata per\nringraziarti.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nOh, no... non posso accettarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06アンナ\nSe mi facessi regalare qualcosa da te, come\npotrei continuare a venderti la legna?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nAh... sei davvero un bel tipo.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nAllora pagami con la legna. Decidi tu quanta\nlegna vale la mia zuppa.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06アンナ\nVa bene! Ti farò una promozione speciale.\nMi piace fare affari con te!\x0E\x04\x00\x00
