MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nTu sei Boucheron del Firene, vero?\nChe prestanza.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nブシュロン\nMpf... non prendermi in giro.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nAhahah! Se sei arrabbiato, prova a battermi.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\nBenissimo, se vuoi un Boucheron al massimo,\nlo avrai.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nCosì mi piaci! Fatti sotto!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nChe soddisfazione! L'allenamento di oggi\nè stato eccellente come sempre.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\nSono d'accordo. Pochi scambi con te valgono\npiù di qualsiasi allenamento.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nProprio così.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nSento che la nostra amicizia è sempre più\nsolida, che tu sia d'accordo oppure no.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nSe non vuoi essere mio amico, posso\naccontentarmi di averti come compagno di\nallenamenti. Per me è già una grande gioia così.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nMa non è vero... anche io voglio essere tuo\namico.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\nMa...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nMa?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nQuando ti deciderai a raccontarmi di casa tua?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nブシュロン\nDa dove vengo io, le persone di solito legano\nraccontandosi la loro vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nMh... allora ti racconterò tutto.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nLa mia terra ha un qualcosa che si chiama\n"wa". La gente è calma e tutti vanno matti per\nriso e pesce.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nブシュロン\nAh. E com'è la tua famiglia?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\nMio padre è imparentato con la famiglia reale ed\nè un esperto spadaccino. Mia madre è una\nsacerdotessa dai poteri misteriosi.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nMmmh... ecco da chi hai preso la tua abilità\ncon le lame.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06カゲツ\nForse.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nブシュロン\nVedi spesso la tua famiglia?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nNo... sono fuggito da casa.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\nIn parole povere, non ho resistito alla tentazione\ndi andare a esplorare il mondo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nTi mancano?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nCerto, ma non posso tornare a casa finché non\nsarò davvero maturato come persona.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nDevo tornare senza vergogna. Devo impegnarmi\nal massimo qui e tornare con gloria.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nChe c'è? Perché piangi?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nMentre ci allenavamo, ho pensato...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nA dispetto della tua personalità spensierata,\nporti sulle spalle un fardello non indifferente.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06カゲツ\nUgh... smettila, o farai piangere anche me.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06カゲツ\nQuando si piange insieme, poi ci si bascia!\nPrenditi le tue responsabilità e dammi\nun bascio!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nEh?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06カゲツ\nDa dove vengo io, facciamo così! Forza, dai!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nStai scherzando?!\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06カゲツ\nAhahah! Sì, era uno scherzo! Ci caschi sempre.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nブシュロン\nAh. Ahah! Devi smetterla di prendermi in giro\ncosì.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06カゲツ\nVuoi allenarti ancora con me? Se mi batti,\nti racconterò ancora della mia vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0C\nブシュロン\nCi sto. E se mi batti tu, ti racconterò qualcosa\ndi me.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x08\x06カゲツ\nNon vedo l'ora! Fatti sotto!\x0E\x04\x00\x00
