MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nGaaaah!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nOra che ci siete voi a correggermi le bozze,\nriesco a completare i capitoli molto più\nvelocemente.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nAh, ma certo.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ジェーデ\nAllora? Cosa ve ne pare? Non costringetemi\na pregarvi.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nMagnifico, davvero magnifico.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\nMi è piaciuto persino più del capitolo\nprecedente, se possibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nAaah, musica per le mie orecchie.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nMi è piaciuto soprattutto il nuovo personaggio!\nHai fatto proprio bene ad aggiungerlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nAllegro, a tratti triste... Sembrava una persona\nin carne e ossa! Credo proprio che sia diventato\nil mio personaggio preferito, a pieno diritto.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リンデン\nE ti dirò... lo sento molto simile a me.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nNe sono contenta...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nSpero che non ve la prendiate a male, ma mi\nsono ispirata proprio a voi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nAha! Me lo sentivo! È stato bello farmi due\nrisate leggendo le vicende della mia\ncontroparte letteraria.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リンデン\nIl suo entusiasmo per la vita è come\nun complimento per me, te lo dico.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nAncora grazie per avermi fatto leggere il\ntuo libro, Jade.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\nÈ stato un onore, vi assicuro.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nPenso proprio che preparerò dei dolcetti.\nSpero che tu ne voglia un po'.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nParole di lode e dolcetti appena sfornati? Che\nvita grama, eheh.\x0E\x04\x00\x00
