MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAh... ti ho *scovato*, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nAltrimenti potrei cominciare a dubitare della tua\n*convinzione* ad assistermi.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nNo, no, no! Va bene! Ti aiuto volentieri!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クラン\nPerò... smettila di fare quella faccia spaventosa!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nEccellente. Grazie. Ma che la nostra discussione\nresti *esclusivamente* tra noi.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x08\x06クラン\nOh, mamma... Aiuto. Chissà che cosa orribile mi\nchiederà di fare!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nDiventerò complice di un crimine?! No, non\nposso!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nÈ giunto il momento, Clanne. Ora...\ninsegnami a fare i *sottaceti*.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nEh?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n*Sottaceti*, Clanne? Devi assolutamente\ninsegnarmi a prepararli.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nHo sentito dire che sai fare dei *sottaceti*\ndeliziosi. Per caso non è vero?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クラン\nNo, è vero... in effetti mi piace fare i sottaceti.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nE dunque l'abilità di cui parlavi... sarebbe\nfare i sottaceti?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nChe sollievo! Pensavo che mi chiedessi di fare\nchissà che lavoro... sinistro.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nTi assicuro che la mia passione per\ni *sottaceti* non è nefasta.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nComunque ora basta con le *facezie*, per favore.\nLa questione è molto seria.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nDi recente ho cominciato a *interessarmi* di\narte culinaria.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nHai cominciato a cucinare? Che bella cosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nHo già imparato diversi piatti, ma questa salsa\ncon *sottaceti* tritati proprio non mi viene.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nLa mia tecnica necessità di un *miglioramento*.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nNon fai prima a... comprare i sottaceti\nal mercato?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nE così prendere il volo con ali rubate? Non fa\nper me. Quei *sottaceti* devono essere miei.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nAaah, ed è qui che entro in gioco io.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nVa bene, sarò lieto di insegnarti tutto ciò che\nso sui sottaceti.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ゼルコバ\n*Eccellente*.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クラン\nVisto che sarò io a insegnarti, spero che sarai\nun bravo studente!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nCerto, c'è in gioco il destino della mia *salsa*.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nZelkov? Che c'è? Perché fai di nuovo quella\nfaccia?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nLa salsa non è venuta bene?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nSigh...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nSembrerebbe di no... mi dispiace...\nSperavo di poterti aiutare di più.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\n*Assaggiala*.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nEh? Ma pensavo non fosse venuta bene...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n*Assaggiala*.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クラン\nVa bene...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nBeh, sentiamo un po'...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クラン\nMmmh! Ma è deliziosa!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nI sottaceti hanno il giusto equilibrio tra dolce e\naspro... Ottima salsa!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n*Lo è*.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\nE allora perché sembri così insoddisfatto?\nNon era quello che volevi?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nEsatto. La *salsa* è perfetta. Tuttavia ora\naffronto un dilemma ancor più grande...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nNon conosco un piatto *degno* di\naccompagnarla.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nAaah, ecco perché la faccia spaventosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nEro sicuro che la salsa sarebbe stato un\n*trionfo", ma ora mi rendo conto della\nmia stoltezza.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nPenso che i miei sottaceti stiano bene con tutto,\nma la migliore accoppiata è con la carne rossa.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\n*Carne*?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nWaaa! Di nuovo quella faccia!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nSei molto saggio, Clanne. Un *genio* culinario.\nMi trovo di nuovo in debito con te.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nPreparerò dei piatti di carne *degni* di\naccompagnare la salsa e li assaggeremo insieme.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nC-Certo, con piacere. Almeno sto cominciando\nad abituarmi alla tua espressione...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クラン\nTi accompagnerò fino alla fine di questo viaggio\ne prepareremo insieme del *cibo delizioso*!\x0E\x04\x00\x00
