MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nEhi, Yunaka. Mi faresti un favore?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nエーティエ\nDevi averne passate di brutte, non è così?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ユナカ\n...!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nエーティエ\nEd ecco di nuovo il mio tipico atteggiamento\nmaleducato che vorrei tanto evitare... Non\ninsisterò più.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06ユナカ\nMh?! Siamo sicure?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nエーティエ\nMa certo. Non pensiamoci più.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nエーティエ\nTi ammiro, tutto qui. Volevo che lo sapessi.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nエーティエ\nE se per te va bene, mi piacerebbe essere tua\namica.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06ユナカ\nCerto, Etie! Perché no? Mi piacerebbe diventare\nvostra amica!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nWow, che bel giardino! È così tranquillo che\npotrei farci un sonnellino!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nエーティエ\nÈ il mio angolino segreto. Quando non ho niente\nda fare vengo qui.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nNon pensavo foste il tipo da amare i fiori.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nMi piacciono molto, invece: nella mia città se ne\ncoltivavano in gran quantità.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\nMmmh...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nSuona bene...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nエーティエ\nCosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\nCrescere circondata da fiori e belle memorie.\nProvo un briciolo di invidia, a dire il vero.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nLa vostra infanzia sembra così diversa\ndalla mia...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\nDavvero...?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\nPerò mi sarebbe piaciuta una vita come\nla vostra... Sarebbe stato un sogno.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nOh, Yunaka...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nScherzo! Se poteste vedere la vostra faccia!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nPosso a stento immaginare la vita che hai\nvissuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\nIl tuo fisico provato parla più di mille parole.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nエーティエ\nHo grande rispetto per come sei diventata.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nMh, caspiterina...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nエーティエ\nVedi questi fiori? Vengono dalla mia città.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nSono bellissimi.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nQuesto fiore significa "ammirazione". Sembra\nperfetto per noi due, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ユナカ\nEheh, come darvi torto?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nTi andrebbe di scambiarci due corone di fiori?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nDa me si fa così, tra amiche.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nエーティエ\nCi si scambiano corone di fiori e si promette\nun'amicizia duratura.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\nSembra fantastico! Facciamolo! Ma che siano\ndue corone enormi, mi raccomando!\x0E\x04\x00\x00
