MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nTi credo. Sono certo che metteresti a rischio\nla tua vita per proteggere un amico.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	E per questo ti sei guadagnato la mia fiducia.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nグレゴリー\nD-Davvero? Eheheh.\nNon sai quanto mi faccia piacere sentirtelo dire.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Ti ringrazio per la tua fiducia, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nグレゴリー\nMa come? Io ti ringrazio e tu stai lì impalato?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nI tuoi ringraziamenti mi hanno colto di sorpresa.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Mi sono reso conto che, in tutti gli anni che\nho conosciuto Griss, non mi ha mai ringraziato.\nPer niente.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nグレゴリー\nPerché non siamo la stessa persona.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Voglio dire, la mia controparte di questo mondo\nera davvero un tipo strano. Per usare un\neufemismo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nIn effetti.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06モーヴ\nChe c'è?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nグレゴリー\nAh, niente, stavo solo pensando... che non\navevo mai sentito Mauvier ridere prima d'ora.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nMa come hai detto tu, non siamo la stessa\npersona.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nグレゴリー\nEheh, hai ragione. Anche se a volte ci\nassomigliamo.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Noi siamo noi, Mauvier.\nContinuiamo a fare del nostro meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06モーヴ\nSono d'accordo.\x0E\x04\x00\x00
