MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nC'è nessuno?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nTienila come portafortuna. Vedrai che così\nnon avrai più paura di niente.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08アイビー\nNon credo che accettare qualcosa dalla Brodia\nfaccia bene alla mia immagine...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nNon associarlo alla Brodia. Pensa a questa\npietra come a un semplice regalo da parte mia.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nSe proprio ti senti a disagio non sei costretta\na tenerla. Non è un problema per me.\nArrivederci, Ivy.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x02\x0A\x08アイビー\nGrazie, principe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08アイビー\nNon avrei mai detto che la Brodia nascondesse\ntali tesori.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nPrincipe Diamant, volevo scusarmi per\nla volta scorsa.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nPer cosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アイビー\nNon ho pensato di ringraziarti dovutamente\nper la tua discrezione e per la gemma.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nLascia che mi faccia perdonare per questo\nsgarbo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nDunque... grazie.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nOh! Non era il caso.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nLa Brodia ha il suo carico di colpe. Darti quella\ngemma in pegno era il minimo che potessi fare.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nHai ragione. La Brodia ha invaso più volte\nla mia terra.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nMi domando spesso che ne sarebbe stato della\nmia gente, senza tutto quel sangue e quelle\nsofferenze.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nNon ne sono sorpreso. E per questo tu non mi\ndevi alcuna gratitudine, spero che ciò sia chiaro.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nMa sei venuto in mio soccorso, seguendo\ni tuoi valori e la tua moralità.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nMh.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nE quindi ci tengo a ringraziarti, per seguire\ni miei valori e la mia moralità.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nHo capito.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nSe le cose stanno così, principessa Ivy, accetto\nla tua gratitudine.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nQuando si tratta solo di due persone,\ni ringraziamenti non sono complicati.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nAnche per le scuse è così. Le cose si\ncomplicano quando sono dei regni\ninteri a essere coinvolti.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nMai furono dette parole più vere.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nMio padre si curava solo del nostro regno\nquando decise di espanderlo con la forza.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nEd è così che le cose sono sempre andate\nin Brodia... ma questo deve finire.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nCosa intendi?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nMio padre non c'è più, ma la sua influenza\nrimarrà ancora a lungo. Per un cambiamento\nservirà tempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nSe ci fosse un modo più semplice vorrei averlo\ngià trovato. Mi domando se io sia pronto a\ndiventare re...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アイビー\nCapisco come ti senti.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nAh. Chiedo scusa. Non volevo sfogarmi così.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アイビー\nNon preoccuparti. Mi solleva, anzi, sapere che\ncondividiamo le stesse preoccupazioni.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08アイビー\nOra ho qualche speranza per il futuro che ci\nvedrà sovrani.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nPrincipe Diamant, ho qualcosa da mostrarti.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nMa questa gemma sulla collana è quella che\nti ho dato io?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nSì, così posso indossarla ogni giorno.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nBen fatto. Davvero impressionante.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nIn Elusia non abbiamo di questi materiali, ma\nla tecnica artigiana non ci manca.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nLe risorse brodiane e il talento elusiano:\nforse è questo il futuro che ci aspetta.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nLa strada verso la pace è lastricata del rispetto\nper le qualità altrui. Abbiamo dei doni,\nsfruttiamoli.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nInteressante...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nE questo dono... Questa gemma... mi ha davvero\nresa più coraggiosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nAltrimenti da dove avrei pescato il coraggio\ndi immaginare da zero il nostro rapporto?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nGrazie, principessa Ivy... e lo dico in qualità\ndi principe ereditario di Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nConvincere la Brodia ad abbandonare la propria\nbelligeranza sarà già una sfida.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nLa guerra genera profitto, che a sua volta\ngenera altre guerre. E così via, all'infinito.\nUn circolo vizioso orribile.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nMa quel circolo deve essere spezzato, ed è\nproprio quello che farò.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nQuesta collana sarà il simbolo del nostro\nobiettivo comune. I nostri regni intrecciati...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nTi ringrazio, Ivy. E ti prometto che sotto la mia\nguida, la Brodia perseguirà la pace.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nGrazie, principe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nFarò tesoro delle tue parole e le condividerò\ncon il mio popolo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nSe daremo il buon esempio, i nostri regni\nsmetteranno di farsi guerra. Potremo aprire\nvie commerciali.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nGli artigiani elusiani avranno accesso alle\nrisorse minerarie della Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nEntrambi i regni ne trarranno vantaggio e ne\nnasceranno dei prodotti come questa collana.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nMi sembra un ottimo piano.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nNon ci resta che metterlo in pratica.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nLo faremo, garantito.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nSuggelliamo questa promessa con una stretta\ndi mano, come regnanti e come amici. Così\ninizia una nuova epoca di pace.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アイビー\nChe questa sia l'alba di una nuova era tra di\nnoi.\x0E\x04\x00\x00
