MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nNon riesco a credere che al posto di questo\nlago ci fosse una montagna.\x0E\x04\x00\x00
MID_OP3_#022	\x0E\x03\x00\x18\x12M024_リュール\x023\n\x0E\x03\x02\x14\x12M024_リュール\nEccoti qua.\x0E\x04\x00\x00
MID_OP3_#023	\x0E\x03\x02\x0A\x08リュール\n...!\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x0A\x08ヴェイル\nMa... quello sei tu!\x0E\x04\x00\x00
MID_OP3_#024_F	\x0E\x03\x02\x0A\x08ヴェイル\nMa... quella sei tu!\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x0A\x08リュール\nProprio così.\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x0A\x08ヴェイル\nHa gli occhi e i capelli rossi... ma sei proprio tu!\x0E\x04\x02\x00
MID_OP3_#026_F	\x0E\x03\x02\x0A\x08ヴェイル\nHa gli occhi e i capelli rossi... ma sei proprio tu!\x0E\x04\x02\x00
MID_OP3_#027	Eri così la prima volta che ci incontrammo...\x0E\x04\x00\x00
MID_OP3_#028	\x0E\x03\x02\x14\x12M024_リュール\nZephia, puoi farti da parte. Me ne occupo io.\x0E\x04\x00\x00
MID_OP3_#029	\x0E\x03\x02\x08\x06セピア\nVi fa onore, Vostra Altezza. Ma sarò lieta di\nprestare il mio aiuto.\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x14\x12M024_リュール\nNon sarà necessario. Vai da mio padre a\nriferire cosa sta succedendo qui.\x0E\x04\x02\x00
MID_OP3_#031	E anche il fatto che percepisco la presenza\ndi emblemi. Sono in loro possesso.\x0E\x04\x00\x00
MID_OP3_#032	\x0E\x03\x02\x08\x06セピア\nPossiedono degli anelli degli emblemi?\x0E\x04\x00\x00
MID_OP3_#033	\x0E\x03\x02\x14\x12M024_リュール\nForse.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x08\x06セピア\nCapisco. Mi dirigerò al tempio.\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x01\x08\x06セピア\n\x0E\x03\x02\x0A\x08リュール\nDirà a Sombron che ci troviamo qui!\nDobbiamo fare in fretta!\x0E\x04\x00\x00
MID_OP3_#036	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nSei mio fratello... non posso attaccarti, non ce\nla faccio. Ma ci sei tu a sbarrarci la strada.\x0E\x04\x02\x00
MID_OP3_#036_F	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nSei mia sorella... non posso attaccarti, non ce\nla faccio. Ma ci sei tu a sbarrarci la strada.\x0E\x04\x02\x00
MID_OP3_#037	Cosa possiamo fare? Dobbiamo infrangere\nla scheggia, ma...\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x14\x12M024_リュール\nÈ questo il vostro obiettivo? Infrangere\nla scheggia?\x0E\x04\x00\x00
MID_OP3_#039	\x0E\x03\x02\x0A\x08リュール\nSe così fosse, ci lasceresti passare?\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x02\x14\x12M024_リュール\nCerto che no. Non posso tornare a casa senza\ni vostri anelli.\x0E\x04\x02\x00
MID_OP3_#041	Lotteremo. Se vinco io, mi prendo gli anelli.\x0E\x04\x02\x00
MID_OP3_#042	Se vincete voi, distruggete la scheggia.\nSemplice.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x0A\x08リュール\nDunque non possiamo fare a meno di lottare.\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x14\x12M024_リュール\nEstrane\x0E\x0A\x00\x08\x02o\x02a con il mio stesso volto, sono pront\x0E\x0A\x00\x08\x02o\x02a a\ncombattere. Ti sto aspettando.\x0E\x04\x02\x00
MID_OP3_#045	Io e il mio emblema saremo i vostri avversari.\x0E\x04\x00\x00
MID_OP3_#046	\x0E\x03\x00\x18\x12M024_敵マルス\x023\n\x0E\x03\x02\x14\x12M024_敵マルス\n...\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x0A\x08リュール\nMarth?!\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x00\x18\x12M024_リュール\x023\n\x0E\x03\x02\x14\x12M024_リュール\nQuesto è il mio emblema. Ora mostrami il tuo.\x0E\x04\x00\x00
MID_OP3_#049	\x0E\x03\x02\x0A\x08リュール\nNon crederebbe mai al fatto che anche io sono\nun emblema...\x0E\x04\x02\x00
MID_OP3_#050	Sarà meglio tenere per me quell'informazione.\nAllora... Marth!\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x0C\x06マルス\x024\n\x0E\x03\x02\x08\x06マルス\nEccomi!\x0E\x04\x00\x00
MID_OP3_#052	\x0E\x03\x02\x14\x12M024_リュール\nAnche tu hai Marth?\x0E\x04\x02\x00
MID_OP3_#053	Ma dovrebbe esistere un solo anello per ciascun\nemblema. Interessante!\x0E\x04\x00\x00
MID_OP3_#054	\x0E\x03\x02\x0A\x08リュール\nPreparatevi! Dobbiamo distruggere la scheggia\nad ogni costo!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M024_リュール\x02b\n\x0E\x05\x01"\x12M024_リュール\x0CStatus\n\x0E\x03\x02\x14\x12M024_リュール\nScateno valanghe a piacimento. Anche quando\nnon c'è aria di valanga. Mi basta fare così!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nAbbiamo perso terreno!\x0E\x04\x00\x00
MID_EV2_#002	\x0E\x03\x00\x18\x12M024_リュール\x02b\n\x0E\x05\x01"\x12M024_リュール\x0CStatus\n\x0E\x03\x02\x14\x12M024_リュール\nFunziona. Bene, continuerò così.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nDobbiamo raggiungere la scheggia, ma di\nquesto passo non arriveremo mai!\x0E\x04\x02\x00
MID_EV3_#002	\x0E\x05\x01\x18\x08リュール\x0CStrike\nSe una valanga passa vicino a voi, correte\nal riparo! Restate al sicuro finché non potrete\nriprendere l'avanzata!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M024_リュール\x02b\n\x0E\x05\x01 \x12M024_リュール\nAngry\n\x0E\x03\x02\x14\x12M024_リュール\nSei arrivat\x0E\x0A\x00\x08\x02o\x02a fin qui? Sei proprio forte.\nDovresti stare dalla mia parte.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M024_リュール\x02b\n\x0E\x05\x01$\x12M024_リュール\x0EStandBy\n\x0E\x03\x02\x14\x12M024_リュール\nSento il tuo sguardo fisso su di me.\nNon vincerai facendo così. O forse... hai paura?\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x12\x08リュール\x06Sad\n\x0E\x03\x02\x0A\x08リュール\nSì, certo. È da quando tutto questo è cominciato\nche ho paura. È normale.\x0E\x04\x02\x00
MID_BT2_#003	Ho paura di perdere le battaglie, di perdere ciò\nche mi è più caro, le persone che amo!\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x14\x12M024_リュール\nLo ammetto... Sono gelos\x0E\x0A\x00\x08\x02o\x02a di te.\x0E\x04\x02\x00
MID_BT2_#005	\x0E\x05\x01 \x12M024_リュール\nAngry\nHai il mio stesso viso, ma puoi dire ciò che\nprovi... ad alta voce.\x0E\x04\x02\x00
MID_BT2_#006	Io non posso mostrare alcuna paura.\x0E\x04\x02\x00
MID_BT2_#007	\x0E\x05\x01\x1C\x12M024_リュール\x06Die\n\x0E\x05\x01\x12\x08リュール\x06Sad\nSe ammettessi di essere spaventat\x0E\x0A\x00\x08\x02o\x02a, verrei\nconsiderat\x0E\x0A\x00\x08\x02o\x02a difettos\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x02\x00
MID_BT2_#008	\x0E\x05\x01"\x12M024_リュール\x0CStatus\nEseguo gli ordini. Non penso. Sono come\nle aberrazioni. Quegli esseri ripugnanti.\x0E\x04\x00\x00
MID_BT2_#009	\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nAnche tu detesti le aberrazioni!\x0E\x04\x00\x00
MID_BT2_#010	\x0E\x05\x01 \x12M024_リュール\nAngry\n\x0E\x03\x02\x14\x12M024_リュール\nLe odio. Hanno ucciso molti dei miei fratelli e\ndelle mie sorelle.\x0E\x04\x02\x00
MID_BT2_#011	\x0E\x05\x01$\x12M024_リュール\x0ESerious\nSe perdo con te, mi uccideranno. Anzi, prima\no poi mi uccideranno comunque.\x0E\x04\x00\x00
MID_BT2_#012	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_BT2_#013	\x0E\x05\x01\x16\x08リュール\nRelax\nTu non morirai. Io ne sono la prova.\x0E\x04\x00\x00
MID_BT2_#014	\x0E\x05\x01$\x12M024_リュール\x0EStandBy\n\x0E\x03\x02\x14\x12M024_リュール\nCosa hai detto? Non importa. Facciamola finita.\nO mi attacchi tu o ti attacco io.\x0E\x04\x02\x00
MID_BT2_#015	È come guardarsi allo specchio. Ciò che vedo...\nmi infastidisce.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M024_リュール\x02b\n\x0E\x05\x01&\x12M024_リュール\x10Surprise\n\x0E\x03\x02\x14\x12M024_リュール\nVeyle? Sei proprio tu?\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x0E\x08ヴェイル\x02t\n\x0E\x05\x01\x1C\x08ヴェイル\x10Surprise\n\x0E\x03\x02\x0A\x08ヴェイル\nCosa?!\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x05\x01$\x12M024_リュール\x0EStandBy\n\x0E\x03\x02\x14\x12M024_リュール\nNo... Veyle è più giovane.\x0E\x04\x02\x00
MID_BT3_#004	Lascia stare.\x0E\x04\x00\x00
MID_BT3_#005	\x0E\x05\x01\x12\x08ヴェイル\x06Sad\n\x0E\x03\x02\x0A\x08ヴェイル\nHai... legami con Veyle?\x0E\x04\x00\x00
MID_BT3_#006	\x0E\x05\x01"\x12M024_リュール\x0CStatus\n\x0E\x03\x02\x14\x12M024_リュール\nÈ la mia sorellina più piccola.\x0E\x04\x02\x00
MID_BT3_#007	Avevo molte sorelle e molti fratelli. La maggior\nparte è stata uccisa in modi orribili.\x0E\x04\x02\x00
MID_BT3_#008	\x0E\x05\x01$\x12M024_リュール\x0ESerious\nMio padre eliminerà anche lei? Se ci penso,\nprovo tristezza.\x0E\x04\x02\x00
MID_BT3_#009	Vorrei stare accanto a mia sorella. Per sempre.\nAverla come alleata. Come amica.\x0E\x04\x00\x00
MID_BT3_#010	\x0E\x03\x02\x0A\x08ヴェイル\nÈ molto importante per te.\x0E\x04\x00\x00
MID_BT3_#011	\x0E\x05\x01"\x12M024_リュール\x0CStatus\n\x0E\x03\x02\x14\x12M024_リュール\nTu le assomigli troppo. Non lo sopporto.\x0E\x04\x02\x00
MID_BT3_#012	Ti sconfiggerò in fretta. Chiunque tu sia, non sei\nla mia sorellina.\x0E\x04\x00\x00
MID_BT3_#013	\x0E\x05\x01\x18\x08ヴェイル\x0CStrike\n\x0E\x03\x02\x0A\x08ヴェイル\nHai ragione. Non sono la tua sorellina, ma sono\ncontenta di essere stata qui con te e aver...\nsentito quello che hai detto.\x0E\x04\x02\x00
MID_BT3_#014	\x0E\x05\x01\x16\x08ヴェイル\nSmile\nGrazie, fratello.\x0E\x04\x00\x00
MID_BT3_#014_F	\x0E\x05\x01\x16\x08ヴェイル\nSmile\nGrazie, sorella.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M024_リュール\x02b\n\x0E\x05\x01$\x12M024_リュール\x0ESerious\n\x0E\x03\x02\x14\x12M024_リュール\nOh, no... Ora mio padre mi... eliminerà.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08リュール\nBene. Abbiamo distrutto la scheggia. Spero solo\nche \x0E\x0A\x004\x18il me stesso\x18la me stessa del passato stia bene.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08ヴェイル\nAbbiamo curato le sue ferite più gravi. Presto si\nriprenderà.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nÈ un sollievo.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08ヴェイル\nPerò ci ha visti qui nel passato. Pensi che ciò...\npotrà creare dei problemi?\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nTranquilla. In fondo, a un certo punto... perdo\nla memoria...\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08ヴェイル\nAh, è vero!\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nAbbiamo fatto appena in tempo.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08ヴェイル\nÈ il momento di dire addio al passato.\nLa terra intorno a noi sta iniziando a cambiare...\x0E\x04\x02\x00
MID_ED1_#009	Ora non vedremo mai più Zephia.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nMa è grazie al suo aiuto che possiamo\ncontinuare a combattere. E lo faremo.\x0E\x04\x02\x00
MID_ED1_#011	Ha sacrificato la sua vita per aiutarci ad arrivare\nfin qui. Dobbiamo andare avanti e fermare\nSombron.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08ヴェイル\nHai ragione.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x02\x0A\x08リュール\nAddio... me del passato.\x0E\x04\x02\x00
MID_ED1_#014	Quando un giorno inizierai il tuo viaggio, spero\nche il tuo percorso sarà meraviglioso quanto\nil mio.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x02\x0A\x08ソンブル\nHai detto che gli invasori si trovavano proprio\nqui. Eppure non è così.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x08\x06セピア\nÈ davvero strano... Che la battaglia si sia\nspostata altrove?\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x0A\x08ソンブル\nHo percepito un emblema peculiare e volevo\nvederlo con i miei occhi. Ma ora non sento più\nalcuna presenza.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x08\x06セピア\nSono sorpresa che abbiate deciso di venire di\npersona, mio signore. Da tanto tempo non\nuscivate.\x0E\x04\x00\x00
