MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nAaah!\nQuesta sì che è stata una bella sudata.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nLa mia schiena è in fiamme... e non sento\npiù le gambe...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nAaah...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nArgh! Basta, non ne posso più!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nザフィーア\nSolo il combattimento dovrebbe essere\ncosì faticoso!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nMi spiace ma questa roba non fa per me.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nIl regno si dovrà accontentare dei miei\nmuscoli... le maniere, possono scordarsele.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\nTsk tsk tsk... Non v'è allenamento senza\ntravaglio, di grazia. Vi arrendete di già?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nE io che pensavo foste fatta di stoffa più dura.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nE dai...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パネトネ\nLa Saphir che conosco non getterebbe mai\nla spugna in questo modo.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nForse vi ho confusa con un'altra, ben più\ntenace, bellezza dai capelli argentei.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nE va bene!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nザフィーア\nMi hai convinta, ci riprovo!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nザフィーア\nNon posso arrendermi ora che la metti così.\nDove c'è un allenamento, ci sono io.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08パネトネ\nBene. Non mi aspetto niente di meno da voi.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nザフィーア\nChe non si dica che non ho combattuto\nfino alla fine.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nザフィーア\nDiventerò così elegante e composta che\nnon mi riconoscerai, preparati!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nUhm.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nIncredibile! Due ore di fila a inchinarvi...\nun record personale.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nUn miglioramento personale del genere\nè del tutto nella norma per me, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nE con quale eleganza vi esprimete!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パネトネ\nNon mi aspettavo da voi tali progressi, e con\ntale rapidità.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パネトネ\nOttimo lavoro, Saphir. Sono molto orgogliosa\ndi voi.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nザフィーア\nSiete molto gentile a coprirmi di cotali\ncomplimenti. Mi adulate, Lorsignora.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nE sono contenta di aver imparato tutto, così\nposso tornare a biascicare come prima!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nEh?!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nMa come? Abbiamo appena cominciato!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nザフィーア\nAscoltami... ho capito l'importanza delle buone\nmaniere, ma mi basta conoscerne le basi.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nOra posso tornare a servire il mio regno nel\nmodo in cui so farlo meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nSuppongo... che abbiate ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nMi hai dato un insegnamento importante,\nne farò tesoro... credimi.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nSarò una cavaliera ancora migliore, ora che\nso come evitare situazioni imbarazzanti.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nEheh, a quanto pare la mia stima in voi non era\nmal riposta.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nForse dovrei seguire il vostro esempio e\npassare più tempo a esercitare il mio fisico.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nSarò lieta di darti dei consigli, se vuoi.\nCosì saremo pari.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nDavvero?!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nCon le mie buone maniere, e un fisico\nstatuario come il vostro, sarei perfetta!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パネトネ\nBene, Saphir... sono lieta di incaricarvi, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nザフィーア\nPerfetto! Preparati a faticare, perché non sarà\nun allenamento leggero.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nNon dubitate! Diventerò così forte che persino\nvoi dovrete inchinarvi a me... si fa per dire!\x0E\x04\x00\x00
