MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nEccoti, Rafal. Ti stavo cercando.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nÈ a te che voglio darlo, Rafal. A te e nessun\naltro.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	Sei già una parte indispensabile della mia vita.\nTi sto solo chiedendo di continuare a esserlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0C\nラファール\n...\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Se la metti così, non mi resta altra scelta.\nAltrimenti chi ti terrebbe d'occhio?\x0E\x04\x02\x00
MID_RELIANCE_S_#031	E va bene, ti do la mia parola. Resterò al tuo\nfianco, combattendo per la tua causa fino alla\nfine.\x0E\x04\x02\x00
MID_RELIANCE_S_#032	Anche se il resto del mondo dovesse rivoltarsi\ncontro di te, io non ti tradirò. Lo prometto.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nGrazie. Significa molto per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0C\nラファール\nLo dirò solo una volta, quindi mettitelo bene\nin testa.\x0E\x04\x02\x00
MID_RELIANCE_S_#035	Una volta hai detto che volevi vedermi felice.\x0E\x04\x02\x00
MID_RELIANCE_S_#036	Quando sono arrivato qui, ero contento di\niniziare una nuova vita, di sentirmi una persona\nnuova.\x0E\x04\x02\x00
MID_RELIANCE_S_#037	Ma più tempo passo con te, più mi... mi manchi,\nquando non ci sei.\x0E\x04\x02\x00
MID_RELIANCE_S_#038	Allora, in cambio del mio giuramento, vorrei\nche anche tu mi promettessi qualcosa,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nラファール\nPromettimi che non mi abbandonerai mai,\nche scopriremo insieme cosa ci riserva il futuro.\x0E\x04\x00\x00
