MID_WU_C_1_IN_#001	È mattina!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Riesco a vedere il futuro...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Ser Vander mi rimprovererà.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Devo evitarlo a tutti i costi! Scappo!\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Quanto pensi di dormire ancora?\nOrmai è pomeriggio!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Sapevo che avrebbe funzionato.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Ci sei cascat\x0E\x0A\x00\x08\x02o\x02a in pieno!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Il tempo stringe, Drago Divino!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Devi fare colazione!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Ti perderai anche la cena!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Scherzo, scherzo. È ancora mattina.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	E dai, non guardarmi così!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Mmmh...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	Anche la principessa Ivy fa quella faccia!\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Svegliati, \x0E\x0A\x00\x18\namico\namica!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Ciao!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Oggi sei mattinier\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Ora usciamo insieme?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Ce la prendiamo comoda, eh?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Avrei altre domande da farti.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Ecco...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	Magari la prossima volta.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Ah.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Hai ancora sonno, vedo.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Riposati pure.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	Mi assicurerò che nessuno ti disturbi.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Chi dorme presto, si alza lesto!\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	Indovina chi è? Kagetsu, soldato d'Elusia!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Bene! Ha funzionato.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Abbiamo molte cose da discutere.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	A quanto pare ti sei abituat\x0E\x0A\x00\x08\x02o\x02a alla mia voce...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	Drago Divino?\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Non sarai mica mort\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Oh, hai aperto gli occhi!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Se non ti fossi svegliat\x0E\x0A\x00\x08\x02o\x02a...\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	mi si sarebbe spezzato il cuore!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Sono qui!\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	Svegliarti fa parte dei doveri di un amico.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	In piedi, forza!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Eccellente.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Sarà una bella giornata!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Mi hai detto che gli amici si danno una mano\na vicenda, nei momenti difficili.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Quelle parole mi hanno cambiato.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Grazie per i tuoi saggi consigli, Drago Divino.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Hai sentito tutto?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Pazienza. Sono cose che penso davvero.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	E anche io ti aiuterò nei momenti difficili!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Sono venuto a svegliarti, mi\x0E\x0A\x00\x08\x02o\x02a compagn\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	Mi piace chiamarti così.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Ho alzato troppo la voce? Scusami.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Ero solo contento di vederti.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Lascia che mi faccia perdonare...\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	Ti darò un buongiorno più delicato.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#005	Buongiorno.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Ormai la mia voce non ti sveglia più!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Ti sei abituat\x0E\x0A\x00\x08\x02o\x02a a me.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	È normale, visto che sono il tuo compagno.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Ciò mi rende felice.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Questo amore era inaspettato...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	ma ogni volta che guardo l'anello\ndel patto mi sento al settimo cielo.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	Ti amo, Drago Divino.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	\x0E\x0A\x00\x0C\x04Il\x04La mi\x0E\x0A\x00\x08\x02o\x02a compagn\x0E\x0A\x00\x08\x02o\x02a è svegli\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Il buongiorno si vede dal mattino.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Anche oggi, come sempre...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	ti dedico tutto il mio amore e le mie abilità.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Non ce la facevo più ad aspettare,\nvolevo vederti!\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Posso entrare?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	È già svegli\x0E\x0A\x00\x08\x02o\x02a \x0E\x0A\x00\x0C\x04il\x04la mi\x0E\x0A\x00\x08\x02o\x02a compagn\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Così mi piaci!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Vorrei abbracciarti forte e non\nlasciarti più, ma immagino che...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	Prima o poi...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Dormi profondamente...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Come vorrei che non dovessi combattere.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Vorrei liberarti da tutte le tue sofferenze...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Ma sei troppo buon\x0E\x0A\x00\x08\x02o\x02a e gentile,\nnon me lo permetteresti.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Dovrò lasciarti sopportare altre sofferenze\nper farti diventare più forte...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Per quanto sia difficile.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Buongiorno!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Pront\x0E\x0A\x00\x08\x02o\x02a ad affrontare nuove battaglie?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Ti svelo un segreto.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	Ho intravisto un futuro...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	dove io e te viviamo felici e contenti.\x0E\x04\x00\x00
