MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nIvy... c'è qualcosa che vorrei dirti.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nラファール\nNon posso più parlare con la persona che ho\nferito. Temo che ciò sia il massimo che posso\nfare.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Speravo di poterla in qualche modo raggiungere\nattraverso di te, ma forse il mio è solo un modo\nper mettermi a posto la coscienza.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nPenso di capire come ti senti, ma non vedo\ncome io possa aiutarti.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nラファール\nChiedo solo di riparare al danno che ho\ncompiuto.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nCome vuoi espiare le tue colpe, in sostanza?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nラファール\nCome preferisci tu. Esprimi un desiderio e io\nlo esaudirò.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nVa bene, se insisti... penserò a qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nラファール\nQuando vuoi.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nEccoti, finalmente. Deduco che tu abbia trovato\nil desiderio da esprimere.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\nSì, è così. Il mio desiderio, per farla semplice,\nè ritornare all'accademia.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nラファール\nMa certo, l'accademia. Dovevo immaginarlo.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Ma... che cos'è esattamente l'accademia?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nNon sai cos'è? Avrei dovuto pensare\nqualcos'altro.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nラファール\nNon c'è bisogno. Basta che mi spieghi a parole\ntue, e io realizzerò il tuo desiderio.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nSe lo dici tu... L'accademia è un istituto di\nistruzione superiore elusiano.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Gli studenti elusiani sono obbligati a\nfrequentarla a partire da una certa età,\nformando classi di coetanei.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nラファール\nDunque il tuo desiderio è di essere messa\nin una classe a studiare? Lo vuoi davvero?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\nSì, l'accademia è molto più di questo.\nIl tempo che ho passato lì è stato molto\nimportante per me.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Non scambierei per nulla al mondo i tesori che\nho trovato tra le sue mura.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nラファール\nEccellente, parlami di questi tesori e te ne\nfarò avere altri in men che non si dica.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nI tesori sono tutti i ricordi con i miei amici,\nlord Rafal.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nAh, certo... sarebbe difficile riprodurli.\nCominciamo dalle condizioni di base.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nIl tuo piano è quello di ricreare l'accademia?\nMa come?\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Spero tu non voglia occupare una scuola di\nqualche altro posto. Non ammetterei\nespropriazioni.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nラファール\nCerto che no, non farei mai una cosa del genere.\nTu non ti preoccupare, stai a guardare.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アイビー\nAllora mi fido di te, ti prendo in parola.\nAlla prossima, lord Rafal.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nラファール\nMa come diavolo faccio a ricreare\nun'accademia? Devo spremermi le meningi...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nPer oggi è tutto. La prossima settimana,\npreparerò una lezione di storia.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アイビー\nDevo ammettere che sono sorpresa... è già\nun po' di tempo che tieni in piedi questa scuola.\x0E\x04\x02\x00
MID_RELIANCE_A_#003	Non pensavo che sarei mai più riuscita a\ndedicarmi pienamente ai miei studi.\nÈ bellissimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nラファール\nCerto che lo è. Non mi sarei accontentato\ndi niente di meno. Però mi sarebbe piaciuto\ncostruire un complesso scolastico.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nNon è necessario, basta quello che hai fatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nラファール\nParlami dei tuoi amici all'accademia.\nErano tutti nobili e reali?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nAlcuni sì, ma gli studenti provenivano da ogni\ntipo di famiglia e condizione economica.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Molti degli amici che ho conosciuto lì non\nli avrei potuti incontrare a corte, né da\nnessun'altra parte.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Gli incontri inaspettati sono un altro motivo per\ncui l'accademia era così speciale.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nラファール\nUn po' come il legame che abbiamo forgiato\nio e te in questo tempo passato insieme.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nProprio così, lord Rafal. Il tuo contributo\nce ne ha regalato una prova esemplare.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Ti ringrazio, dal profondo del mio cuore.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nラファール\nSe i miei sforzi ti hanno portato almeno un po'\ndi felicità, sono soddisfatto.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	La Ivy del mio mondo deve aver vissuto le tue\nstesse esperienze all'accademia.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Se penso a tutte le amicizie che doveva aver\nforgiato nella sua vita, e agli effetti delle mie\nazioni...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nNon posso concederti il perdono al posto suo,\nma per quello che vale...\x0E\x04\x02\x00
MID_RELIANCE_A_#017	... penso che imparare la lezione e cercare di\napplicarla in questo mondo sia il massimo a cui\npotevi aspirare.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nラファール\nHai ragione. I miei peccati sono imperdonabili,\ne porterò questo fardello sulle spalle per il resto\ndella mia vita.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Ma ho imparato la mia lezione, grazie alla tua\naccademia. Non c'è dubbio che sia un istituto\ndi educazione superiore.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nGià...\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Sai, lord Rafal, è da un po' che studiamo\ninsieme ormai.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Non credo che sarebbe inappropriato\nconsiderarci compagni di scuola.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nQuello è il termine che si usa per indicare gli\namici dell'accademia? Non so se mi merito\ndavvero questo appellativo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nSuvvia, dopo tutto il tempo che abbiamo\npassato insieme sui libri, non penso che ci sia\ntermine più adatto.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Anzi, non penso ci sia una descrizione migliore\nper il nostro rapporto. Di sicuro non una che\nmi piacerebbe di più.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nSe è ciò che desideri, allora non può essere\nsbagliato. Dopotutto, è un tuo desiderio che\nha dato il via a tutto questo.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Allora ti considererò la mia compagna di scuola\nper il resto della mia vita, anche dopo che ci\nsaremo diplomati.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アイビー\nUn altro caro ricordo da aggiungere alla mia\ncollezione.\x0E\x04\x00\x00
