MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nSalve, Zelkov! Sono Anna, ma chiamami pure\nsignorina Anna, per semplicità. Piacere!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nAllora? Cosa ne pensi di questa scultura?\nRispetta i tuoi standard di *qualità*?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\nMmmh...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nSperavo in qualcosa di meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nDa cosa è motivato questo commento a dir\npoco *offensivo*?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nSo di aver detto che un prodotto deve essere\nsemplice, per essere vendibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nMa tu sei un artista! Non credevo che ti saresti\narreso così velocemente.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\nDopo tutto il discorso che hai fatto sulla\npassione, credevo che avresti rifiutato\ncompromessi.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nAhah. Ti sbagli. Non potresti essere più in\n*torto* di così.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nEh? Ma...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nQuesta scultura è semplice solo in *apparenza*,\nma in realtà è frutto di un'estrema maestria.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nInfatti il suo stile è a dir poco *complicato*.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nCome sarebbe a dire?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nHo realizzato la statuetta con tutti gli *intrichi*\nche desideravo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nPoi li ho *nascosti*, sempre con molta tecnica...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nQuindi si può dire che sia un'opera\n*complicatissima* pur non sembrando tale...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nOra puoi ammirarla in tutta la sua *gloria*.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nNon lo avrei mai detto. Devo dire che è una\ngran bella cosa... anche fin troppo arzigogolata!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nEppure, mi scoccia dirlo, anche così non è\nvendibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nEh...? Perché?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06アンナ\nNon ci arrivi? È troppo elaborata. Non avrei\ni soldi per produrne altre!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nE con grandi costi di produzione, i prezzi\ndiventano alti. Ai clienti non piacciono\ni prezzi alti, sai?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nNgh... *Capisco*...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nComunque questa te la compro.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nCome?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06アンナ\nIl tuo modo di pensare mi ha colpita.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nNon avevo mai riflettuto su quanto fosse\nimportante la passione nel mio lavoro.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06アンナ\nMa in effetti senza passione come potrei\ndiventare un'imprenditrice di successo?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06アンナ\nPer questo voglio comprare la tua statuina.\nMi aiuterà a tenere a mente queste cose.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ゼルコバ\nAnna...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06アンナ\nSignorina Anna.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08ゼルコバ\nSignorina Anna...\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06アンナ\nAhah, ora ci siamo. Non ho molto da darti, però.\nUna moneta d'oro e non di più.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nNon credo che possa *bastare*...\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nMa alla fine l'arte non ha *prezzo*.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nGià solo l'atto di aiutarti mi *ripaga* di tutto.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0A\x08ゼルコバ\nBuona fortuna, giovane *mercante*. Ti\nauguro grandi successi.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x08\x06アンナ\nGrazie! Sei molto più gentile di quanto sembri.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06アンナ\nVuoi delle caramelle? Ne ho alcune da parte,\nsono buone.\x0E\x04\x00\x00
MID_RELIANCE_A_#040	\x0E\x03\x02\x0A\x08ゼルコバ\nVa bene, grazie...\x0E\x04\x00\x00
