MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nスタルーク\nUah! Principe Fogado!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nMi... Mi ammirate? I vostri complimenti sono\ndi grande ispirazione, principe Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nMa non voglio smontare il vostro entusiasmo!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nMeglio se vado! Scusate ancora!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0C\nフォガート\nEd eccolo che se ne va. Ci si vede, principe\nAlcryst!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nSalve, principe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nUh! Principe Fogado!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nAhah, mi chiedo se prima o poi ti abituerai a\nme e non ti spaventerò più.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nScusate. Il vostro sorriso è talmente luminoso...\nche il mio primo impulso sarebbe di scappare.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nDevo proprio chiedervelo... Come fate ad essere\nsempre il ritratto del buon umore?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nVuoi sapere come sono cresciuto?\nSe vuoi posso farti un riassunto.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nNon che ci sia nulla di particolare da dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nHo ricevuto un'educazione formale, degna del\nprimo principe di Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nMa avevo pur sempre le mie libertà. Potevo\nandare dove volevo.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nCosì sgattaiolavo dal palazzo ogni volta che\npotevo... e me ne andavo in città a divertirmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nIncredibile. Avevo sentito dire che in Solm\nla libertà è un concetto molto importante...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\n... ma non pensavo valesse anche per la famiglia\nreale.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nOra comincio a capire lo stile di vita alla base\ndella vostra formazione...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nSiete diventato una persona socievole e che\nsi fa notare. E fate amicizia con molta facilità.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nTi ringrazio, principe Alcryst. Apprezzo\ni complimenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nUah, ancora quello sguardo raggiante... mi\nsento sprofondare!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nFermo lì. Prima di scappare, lascia che ti dica\nuna cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nNon sarà facile, perché non sembri molto in\ngrado di accettare un complimento.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nOh, no. Chiedo scusa...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nMa potresti almeno per una volta fidarti di\nme se ti dico che mi piaci?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nE ti dirò di più. Visto che siamo tra principi\nnon ereditari, mi prendo la libertà di chiamarti\n"amico".\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nOh... Oh, principe Fogado...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nD'accordo. Vi credo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nGrazie per avermi fatto onore della vostra\namicizia.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nAnche voi mi piacete, principe Fogado...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nフォガート\nOh, alla fine l'hai detto! Ti piaccio! Ti piacciooo!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nAh! Ahhh! Non so come mi sia uscito!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nスタルーク\nHo ricambiato il sentimento... Con che diritto?\nMi dispiace tanto...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nフォガート\nMa di che ti scusi? Ora sappiamo che ci\npiacciamo a vicenda. Praticamente siamo\nmigliori amici.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nスタルーク\nMigliori amici? Non ho mai avuto un migliore\namico...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nスタルーク\nCiò mi rende un po'... anzi, mi rende MOLTO\nfelice. Grazie, principe Fogado.\x0E\x04\x00\x00
