MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nFantastico, che racconto meraviglioso.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nPrincipino. Ti ho osservato con attenzione\ndall'ultima volta che abbiamo parlato.\x0E\x04\x02\x00
MID_RELIANCE_A_#003	E, basandomi su ciò che ho potuto vedere, sono\ngiunta alla conclusione che diventerai un grande\nre.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nNe sono onorato.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04エル\nPossiedi una tempra colossale, sia nel corpo che\nnello spirito. La tua forza di volontà e\nrisolutezza sono irrefrenabili.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	E hai la capacità di restare razionale anche\nquando la pressione diventa insostenibile.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Questo è il mio giudizio finale. Il tuo regno\nsarà ancora più prospero sotto il tuo comando.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nQuanti complimenti... ti ringrazio.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04エル\nNon c'è bisogno di ringraziarmi, ho solo detto\nciò che penso.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nAllora lascia che ti dica anche ciò che penso io.\nLa tua gentilezza, saggezza e tenacia mi fanno\nsentire più umile.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Ti ho vista lanciarti contro nemici fortissimi,\nanche in situazioni di svantaggio evidente, per\nsalvare i tuoi amici.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04エル\nSono un drago. La nostra resistenza superiore\nci permette di correre questi rischi.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nNeanche il più forte dei draghi si lancerebbe\nnel pericolo per gli altri, se non avesse un cuore\nbuono come il tuo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04エル\nForse...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nHo visto la tua compassione anche fuori dal\ncampo di battaglia.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	So che per te la vita è preziosa. Un giorno ti ho\nvista trapiantare un fiore, affinché non venisse\nschiacciato.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04エル\nVedo che anche tu mi hai osservata con\nattenzione.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nEra il minimo che potessi fare, per ricambiare la\ngentilezza.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Deve essere difficile trovarsi nei panni di un\nDrago Maligno venuto da un altro mondo, ma in\nqualche modo tu lo fai sembrare facile.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04エル\nGrazie per il complimento.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Non mi ero resa conto che mi stessi valutando.\nOra sei ancora più interessante ai miei occhi.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Forse ho bisogno di osservarti ancora un po'.\nPotresti nascondere caratteristiche di cui non\nmi sono ancora accorta.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nEheh... e magari ritirerai alcuni dei complimenti,\ndopo aver scoperto i miei difetti.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Nel frattempo, sono contento di passare del\ntempo con te. Diventeremo buoni amici.\x0E\x04\x00\x00
