MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nBoucheron, spero che non ti dispiaccia se ti ho\npreparato qualcosa da mangiare...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nScusa, ma non perdo tempo a rispondere alle\ndomande sciocche.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nブシュロン\nAuh, la situazione si è fatta fin troppo saporita.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCi sono tantissimi modi per complimentarsi con\nla perfezione. Tu nei hai usato solo uno.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon dovrebbe essere così difficile trovarne\nqualcun altro, no?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nブシュロン\nSai, Goldmary, comincio a pensare che tu sia\nun po' troppo esigente per i miei gusti.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nGrazie per i complimenti della volta scorsa,\nquando ti ho preparato il pranzo.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nBeh, me li hai praticamente estorti con la forza.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nComunque li ho molto apprezzati, così anche\noggi ti ho preparato qualcosa di buono.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nGrazie, ma ho già un panino.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa appena vedrai cosa ti ho preparato, quel\npanino perderà tutto il suo fascino.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nブシュロン\nCaspita!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUova strapazzate, capesante con pancetta...\nE non può mancare la frutta, naturalmente.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUn piatto semplice, ma reso nobile dalle mie\nindiscutibili doti. Scusa se è poco.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nブシュロン\nNon fraintendermi, sembra invitante, ma penso\nche mangerò il mio panino per oggi.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSei sicuro? Vuoi davvero accontentarti di\nun misero panino e rinunciare a queste\nprelibatezze?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSu, non fare i complimenti... Se non mangi\nqueste cosette, dovrò buttarle...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nブシュロン\nNo, non sprecare questi manicaretti! Li mangio,\nva bene!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\nDivino! La gioia mi pervade a ogni morso!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon male come primo commento. Ma non è\nl'unica cosa che hai da dire, spero?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nブシュロン\nCosa vuoi da me?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLa volta scorsa te la sei cavata benino, ma ora\nnon pensare di adagiarti sugli allori. Avanti,\nso che puoi farcela.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nブシュロン\nNon bastava quello che ho appena detto?!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl tuo era un commento generico, vorrei che\nandassi più nel dettaglio.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nE non dimenticare di aggiungere che ho\nun grande gusto estetico.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAltrimenti mi vedo costretta a portarmi via\ngli avanzi e lasciarti a bocca asciutta...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nブシュロン\nMmmh. Bella scocciatura, ma sapevo a cosa\nandavo incontro, dopotutto...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAllora? Ti sei mangiato anche la lingua?\nArrivano questi complimenti, sì o no?\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSe non riesci più a parlare, forse è meglio se\nmi porto via questi avanzi, prima che facciano\naltri danni...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nブシュロン\nUgh. Non ce n'è bisogno, tranquilla. Ti farò\ntutti i complimenti che vuoi, ma tieni a posto\nquelle mani...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\nGoldmary? Che fai qui tutta sola?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCiao, Boucheron...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHo preparato da mangiare per tutti, ma non\nne ho ricavato molti complimenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNessuno aveva voglia di farmene... E ora\nmi sembra tutto così inutile...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nOh, poverina. Che maleducati, però.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTrovi anche tu?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\nÈ vero, sei parecchio esigente. Nessuno ti\nbatte in quanto a insistenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nIo però mi sono abituato a questo tuo aspetto.\nLo trovo carino.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBoucheron... Che gentile che sei...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nブシュロン\nEssere esigente ha un certo fascino, dopotutto.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nChe ti importa di cosa pensano gli altri? Io\nti conosco e so quello che dico.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGrazie, mi sento già molto meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOra che ho ritrovato il mio sorriso smagliante\nposso tornare ai fornelli. Ti meriti qualcosa di\nbuono.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nAncora?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa certo. Ti preparerò dei pranzetti coi fiocchi,\nd'ora in poi.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nブシュロン\nOgni giorno?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon preoccuparti. Questa volta non voglio\naltri complimenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMe ne hai già dati abbastanza. Penso che mi\nbasteranno per il resto della vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nD'ora in avanti dovrai solo preoccuparti di\ngoderti il pranzo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nブシュロン\nSe serve a farti sorridere ancora, non mi\npesa farti altri complimenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, davvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\nHo detto qualcosa di sbagliato?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSono solo... commossa. Ora è meglio se smetto\ndi piangere, o il tuo pranzo sarà più salato del\nsolito...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nOh, no...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nMi basta sentire parlare di lacrime, per\nscoppiare a piangere. È contagioso, scusa!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPerò, che persona sensibile...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMi piace questa tua caratteristica, Boucheron.\nÈ molto affascinante.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTorno a cucinare. Non vedo l'ora di sentire\ncosa ne pensi.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nブシュロン\nEheheh. Tu pensa al cibo, io ai complimenti.\x0E\x04\x00\x00
