MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06メリン\nDrago, siete un dragooo! Un drago in carne\ne ossa!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nSono solo contenta che stiate meglio...\nE mi viene da piangere... Sob.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\nQuesto è uno dei momenti più belli della mia\nvita!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nNon esagerare, dai! Eheh. Comunque ribadisco\nche sei una tipa inusuale, sai?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nSiamo in due, allora.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nEheh, hai ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06メリン\nE va bene. Ho deciso!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nD'ora in avanti vi aiuterò ad apprezzare di\npiù la vostra dragonaggine.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nNessuno ama i draghi quanto me, quindi credo\ndi essere la persona più qualificata per farlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nVi sommergerò di buone ragioni per essere\nfiera della vostra natura!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nGrazie, sono sicura che non mi deluderai.\nSono contenta che ci sia tu ad aiutarmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nEd ecco la prima ragione per apprezzarvi!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06メリン\nLa vostra gentilezza! Una qualità senza dubbio\nacquisita nei vostri lunghi anni di vita da drago!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nAhah, così mi fai arrossire.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06メリン\nE questo è appena l'inizio. Troverò altre cento\nragioni, ma che dico... altre mille.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06メリン\nQuindi preparatevi, lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ヴェイル\nD'accordo, sono pronta. Di colpo la vita\nmi sembra meno negativa, grazie a te.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nHai tutta la mia riconoscenza, Merrin.\x0E\x04\x00\x00
