MID_SORTIE_START	Combatti!
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_CONFIRM	Vuoi ottimizzare automaticamente\ngli anelli\x0E\x01\x0B\x00 delle unità schierate?
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_Yes	Ottimizza
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_No	Annulla
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD	Rimuovi tutto
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_CONFIRM	Vuoi rimuovere gli anelli\x0E\x01\x0B\x00\ndi tutte le unità?
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_Yes	Rimuovi
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_No	Annulla
MID_SORTIE_UNIT_NONE	Nessuna unità disponibile.
MID_TROOPLIST_PAGETITLE_BASIC	Stato
MID_TROOPLIST_PAGETITLE_STATUS	Parametri base
MID_TROOPLIST_PAGETITLE_BATTLE	Parametri lotta
MID_SORTIE_INVENTORY_STORE	Dai
MID_SORTIE_INVENTORY_RECEIVE	Prendi
MID_SORTIE_INVENTORY_EQUIP	Attiva
MID_SORTIE_INVENTORY_REMOVE	Disattiva
MID_SORTIE_INVENTORY_ARRANGE	Ordina
MID_SORTIE_INVENTORY_USE	Usa
MID_SORTIE_INVENTORY_DISCARD	Elimina
MID_SORTIE_INVENTORY_EMPTY	Nessuno strumento.
MID_SORTIE_SKILL_CATEGORY_PERSON	Personale
MID_SORTIE_SKILL_CATEGORY_JOB	Classe
MID_SORTIE_SKILL_CATEGORY_INHERITANCE	Ereditate
MID_SORTIE_SKILL_CATEGORY_GOD	Sincro
MID_SORTIE_SKILL_CATEGORY_ENGAGE	Unione
MID_SORTIE_SKILL_CATEGORY_BONDS	Legame
MID_SORTIE_SKILL_CATEGORY_EQUIPED	Attivata
MID_SORTIE_SKILL_OVERLAPPING	Sovrapp.
MID_SORTIE_SKILL_SUPPLEMENT_HELP	Si sovrappone con altre abilità.
MID_SORTIE_SKILL_POOL_NONE	--
MID_SORTIE_SKILL_POOL_TITLE	Abilità ereditate
MID_SORTIE_CLASSCHANGE_NEED_LV	Liv richiesto
MID_SORTIE_CLASSCHANGE_NEED_APTITUDE	Talenti rich.
MID_SORTIE_CLASSCHANGE_HAVE_APTITUDE	Talenti disp.
MID_SORTIE_CLASSCHANGE_NEED_ITEM	Strumenti richiesti
MID_SORTIE_CLASSCHANGE_SKILL_LEVEL	Appresa al Liv \x0E\x01\x00\x00
MID_SORTIE_CLASSCHANGE_NONE	Nessuna classe disponibile.
MID_SORTIE_CLASSCHANGE_CONFIRM_DIALOG	Vuoi passare alla\nclasse: \x0E\x01\x00\x00?
MID_SORTIE_CLASSCHANGE_CONFIRM_DIALOG_YES	Cambia classe
MID_SORTIE_CLASSCHANGE_NEED_JOB	\x0E\x01\x00\x00 Liv \x0E\x01\x01\x00
MID_SORTIE_CLASSCHANGE_BASIC_ARMOR	Corazziere spada/lancia/ascia
MID_SORTIE_CLASSCHANGE_BASIC_KNIGHT	Cavaliere spada/lancia/ascia
MID_SORTIE_CLASSCHANGE_BASIC_PEGASUS	Pegaso spada/lancia/ascia
MID_SELECTRING_TITLE_GOD	Anelli\x0E\x01\x09\x00 degli emblemi
MID_SELECTRING_REMOVE	Vuoi rimuovere: \x0E\x01\x00\x00?
MID_SELECTRING_CHANGE	Vuoi rimuovere: \x0E\x01\x00\x00\ne assegnare: \x0E\x01\x01\x00?
MID_SELECTRING_CHANGE_REMOVE	Vuoi rimuovere: \x0E\x01\x00\x00\ne assegnare: \x0E\x01\x01\x00?\nAl momento lo indossa \x0E\x01\x02\x00.
MID_SELECTRING_SET	Vuoi assegnare: \x0E\x01\x00\x00?
MID_SELECTRING_SET_REMOVE	Vuoi assegnare: \x0E\x01\x00\x00?\nAl momento lo indossa \x0E\x01\x01\x00.
MID_SELECTRING_REMOVE_CONFIRM	Disattiva
MID_SELECTRING_SET_CONFIRM	Attiva
MID_SELECTRING_GOD_CHANGE_YES	Cambia
MID_SELECTRING_GOD_EMPTY	Nessun anello\x0E\x01\x0A\x00 degli emblemi.
MID_SELECTRING_COMMON_EMPTY	Nessun anello del legame.
MID_SELECTRING_LUEUR_NOTES	L'emblema \x0E\x06\x03\x00\npuò entrare in stato di unione\nutilizzando Unione+ in battaglia.
MID_SORTIE_TITLE_UNIT_SELECT	Formazione
MID_SORTIE_TITLE_UNIT_SELECT_ITEM	Inventario
MID_SORTIE_TITLE_RING_SELECT	Emblemi
MID_SORTIE_TITLE_INVENTORY	Gestisci strumenti
MID_SORTIE_TITLE_TRADE	Scambia
MID_SORTIE_TITLE_SKILL	Gestisci abilità
MID_SORTIE_TITLE_CLASSCHANGE	Cambio classe
MID_SORTIE_TITLEHELP_UNIT_SELECT	Scegli chi portare in battaglia.
MID_SORTIE_TITLEHELP_UNIT_SELECT_ITEM	Scegli le unità.
MID_SORTIE_TITLEHELP_RING_SELECT	Scegli gli anelli\x0E\x01\x0B\x00 degli emblemi.
MID_SORTIE_TITLEHELP_INVENTORY	Scegli strumenti.
MID_SORTIE_TITLEHELP_TRADE	Scegli strumenti da scambiare.
MID_SORTIE_TITLEHELP_SKILL	Scegli le abilità da attivare.
MID_SORTIE_TITLEHELP_CLASSCHANGE	Scegli una classe.
