MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nブシュロン\nMmmh, sarà una buona idea?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nSi vedeva quanto ci tenesse a me. Ho sempre\npensato fosse una persona in gamba.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nAh.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nブシュロン\nL'unico problema è che... Non credo sia\nservito a qualcosa per il mio senso\ndell'orientamento.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nE perché?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nブシュロン\nNon sei il primo a volermi aiutare a correggere\ni miei errori.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nMa le altre volte non ha mai funzionato. Per\nquesto riponevo le mie ultime speranze nella\nmedicina...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nブシュロン\n... che alla fine altro non era che acqua\nzuccherata.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nブシュロン\nTutto bene, Zelkov? Scusami per quello che\nho detto. Non volevo deluderti.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nOh, no, per niente. *Anzi*, è il contrario.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nIl *gioco* è più complicato di quanto pensassi,\ne me ne compiaccio. Non vedo l'ora di\npianificare la mia prossima mossa.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0C\nブシュロン\nIntendi dire che vuoi provarci ancora?\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ゼルコバ\nPresto riceverai una missiva dal saggio\ndell'oceano. Spero che seguirai attentamente\nle sue *istruzioni*.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x0C\nブシュロン\nAhahah, d'accordo. Ai tuoi ordini, saggio Zelkov.\x0E\x04\x00\x00
