MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06アンナ\nAuguri!!! Anniversari come questo non capitano\ntutti i giorni!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nLo pregavo ogni giorno, ma non provavo nulla\ndentro di me.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nAh. Allora lo facevi solo tanto per fare.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\nGià, ci hai preso. I miei genitori credevano nel\nDrago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nPurtroppo morirono durante un'epidemia. Le\npreghiere non servirono a salvarli.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nAnche se pregavo, non ho mai capito davvero\nin cosa credessi.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nGrazie a te ho capito che la preghiera non è\nsolo un gesto di fede, ma anche un modo per\npensare agli altri.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nÈ proprio così che la penso. Mi fa piacere che\nci sia qualcuno che mi capisce.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06モーヴ\nGrazie per avermi aperto gli occhi.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nBasta con le formalità. Per cosa stavi pregando?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nPer la persona che voglio proteggere anche\nmettendo a rischio la mia vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nWow... che bello. Mi domando se qualcuno\npregherà mai così per me.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06モーヴ\nHo pregato anche per te, signorina Anna.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nEh? Davvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06モーヴ\nHo pregato che tu resti sempre in salute e che\npossa continuare a vendere le tue mercanzie\ncon un sorriso stampato sul volto.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06アンナ\nAhah, beh, grazie!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nEcco! Per ringraziarti ti regalo un frutto di quelli\nche ti piacciono tanto!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06モーヴ\nMe lo regali? Non vuoi che ti paghi?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06アンナ\nOggi no. È l'anniversario di quando mi sono\ncommossa!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06アンナ\nE ora vai, prima che cambi idea!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06モーヴ\nGrazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06モーヴ\nAllora, visto che è un giorno speciale, penso che\ndovremmo mangiarlo insieme.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06アンナ\nEvviva! Di solito non ne mangio mai, perché\nsono troppo cari...\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06モーヴ\nLo immaginavo. Gustiamocelo e parliamo ancora\ndelle nostre preghiere.\x0E\x04\x00\x00
