MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nGrazie per esserti allenata con me, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nAh... capisco.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nマデリーン\nNon mi pento di essere venuta qui, davvero.\nMa non riesco a togliermi dalla testa l'idea di\naverlo deluso.\x0E\x04\x02\x00
MID_RELIANCE_S_#009	Se mi fossi accorta subito che aveva il bastone\ndel teletrasporto... Se fossi stata più forte...\x0E\x04\x02\x00
MID_RELIANCE_S_#010	... forse lui sarebbe ancora vivo, qui insieme a\ntutti noi.\x0E\x04\x02\x00
MID_RELIANCE_S_#011	Questi sono i pensieri che mi tormentano la\nnotte, quando cerco di dormire.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nMadeline...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nマデリーン\nPerdonami, non badare a me. So che non serve\na niente rimuginare su queste cose.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nForse è così, ma io capisco come ti senti.\nHo gli stessi rimorsi nei riguardi di mia madre.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	E più cerco di fermarli, più questi pensieri\nsi insinuano nella mia mente.\x0E\x04\x02\x00
MID_RELIANCE_S_#016	Ma non ti preoccupare. Quando ti senti in\ndifficoltà, puoi venire a parlare con me.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nマデリーン\nApprezzo molto la disponibilità, ma non è\nsemplice come invitarti ad allenarci insieme.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Tu sei il Drago Divino e io sono una cavaliera.\nNon posso chiederti ci condividere i miei\nfardelli.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nForse sarebbe diverso se non fossi una cavaliera\nqualsiasi, ma la mia cavaliera.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nマデリーン\nCome dici?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nScusami se te lo chiedo così all'improvviso.\nÈ da un po' che ci stavo pensando...\x0E\x04\x02\x00
MID_RELIANCE_S_#022	Sei laboriosa, coraggiosa e affidabile...\nChi meglio di te può farmi da braccio destro?\x0E\x04\x02\x00
MID_RELIANCE_S_#023	In questo modo, sarà più facile anche per me\nesserti di sostegno. Ti prego, accetta questo.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nマデリーン\nL'anello del patto! Ma, Drago Divino...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nSo che Mauvier avrà sempre un posto speciale\nnel tuo cuore, e non voglio sostituirlo.\x0E\x04\x02\x00
MID_RELIANCE_S_#026	La tua fedeltà nei suoi confronti è coriacea,\nnon ti chiederei mai di rinunciarvi.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Voglio darti questo anello per dimostrarti che\nsei importante per me, proprio come lui lo è\nper te.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nマデリーン\nOh...\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Non so esprimere a parole quanto ciò mi renda\nfelice.\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Posso davvero... accettare questo dono?\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nSolo tu puoi darti la risposta.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0C\nマデリーン\nHai ragione...\x0E\x04\x02\x00
MID_RELIANCE_S_#033	Mauvier voleva che io fossi felice.\x0E\x04\x02\x00
MID_RELIANCE_S_#034	Se sta vegliando su di me, sono sicura che\napproverà la mia scelta, qualsiasi essa sia.\x0E\x04\x02\x00
MID_RELIANCE_S_#035	E dunque... Drago Divino.\x0E\x04\x02\x00
MID_RELIANCE_S_#036	Sì, accetto il tuo anello e sarò la tua cavaliera!\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0A\x08リュール\nGrazie, Madeline. Insieme possiamo affrontare\nil futuro senza paura.\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x0C\nマデリーン\nSì, e io prometto che sarò una cavaliera degna\ndi questo onore.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nマデリーン\nDiventeremo sempre più forti, e ti proteggerò,\ncosì che le nostre vite siano lunghe e felici.\x0E\x04\x00\x00
