MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nMi fa davvero piacere stringere amicizia con un\naltro Drago Divino. Abbiamo così tanto da dirci!\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nSembri preoccupata. C'è qualcosa che non va?\nSe hai bisogno, ti ascolto.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x06\x04チキ\nVedi... Stavo pensando al passato. C'è stato\nun tempo in cui ero sola, caduta in un lungo\nsonno.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nOh... Ti consiglio di dare fondo alle tue energie\nin una corsa sfrenata insieme a me, così puoi\nraccontarmi il resto!\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x06\x04チキ\nDevo dire che riesci sempre a tirarmi su di\nmorale. Te ne sono grata, Etie. Gambe in spalla!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSalve, Tiki. Il tuo sorriso è raggiante come\nsempre, vedo.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x06\x04チキ\nÈ impossibile non rallegrarmi quando\nsono circondata da gente straordinaria!\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nMi è giunta voce che gli incubi ti tormentano.\nHo preparato del tè, spero che l'aroma ti\nconcili il sonno.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x06\x04チキ\nOh, lo hai fatto per me? Sei incredibile!\nChe buon profumo, mi sento già più calma.\nSento che dormirò saporitamente!\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nC'è qualcosa che ti riempie di gioia? In quanto\ntua amica e compagna di armi, è una cosa\nimportante da sapere.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x06\x04チキ\nDunque, vediamo... Essere circondata da\nbuoni amici?\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x06\x04チキ\nDesidero stare accanto alle persone care.\nMi sento felice anche solo a stare qui con te!\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nDici davvero? Mi fa piacere essere una fonte\ndi gioia per te. Allora cerchiamo di passare più\ntempo insieme!\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04ルイ\nNon è qualcosa che si vede tutti i giorni una\nfragile ragazzina come Tiki che si trasforma\nin un drago feroce sul campo di battaglia...\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04チキ\nPerché mi fissi? Vieni qui, così parliamo!\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nSento un profumo dolce... Louis, stai\nnascondendo qualcosa di buono?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nHo qui dell'uva. È una specialità del mio\nvillaggio. Prego, assaggiane un po'.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04ルイ\nMi piace passare del tempo con te. Deve essere\ncosì che ci si sente ad avere una sorellina.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04チキ\nSei libero di considerarmi una sorella, se vuoi!\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nGrazie, apprezzo il pensiero, ma non posso.\nNutro troppa ammirazione per gli emblemi.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04チキ\nSu, non esagerare. Ormai ho deciso: sarò\nla tua sorellina, che ti piaccia o no.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クロエ\nCome devo rivolgermi a te? Va bene "Drago\nDivino"?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x06\x04チキ\nOh, non è il caso! Chiamami Tiki. Troppa\nformalità mi sembra esagerata tra amiche!\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nTi vedo spesso sfrecciare nel cielo. Cosa\ncombini di bello?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nOh, a volte mi piace cavalcare mentre mangio.\nSe vuoi tenermi compagnia, mi fa piacere.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nAccanto a te mi sento sempre bene. È una\nsensazione confortevole, quasi di tepore.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\nAnch'io mi sento così con te! Siamo proprio\nun duo ben assortito.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x06\x04チキ\nA proposito di sentirsi bene... Mi racconteresti\nuna fiaba delle tue? Mi è piaciuta molto quella\ndell'altra volta.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nMa certo. Mettiti comoda, e non ti preoccupare\nse ti viene sonno. Veglierò su di te fino al tuo\nrisveglio.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSono piacevolmente sorpreso che un altro\nDrago Divino si sia unito ai nostri ranghi.\nSpero che sia una collaborazione proficua.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x06\x04チキ\nCi puoi contare! Sono molto forte, sai?\nFarò del mio meglio per esservi utile!\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nPuoi raccontarmi qualcosa del mondo dove\nvivevi? Era lo stesso dell'emblema Marth?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x06\x04チキ\nProprio così. Le battaglie si susseguivano una\ndietro l'altra, ma Mar-Mar mise fine a tutto.\nSpero che anche questo mondo trovi la pace.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nOh, che brutta cicatrice che hai sul braccio\nsinistro. Ti sei ferito in battaglia? Fa ancora\nmale?\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, dici questa. Me la sono fatta da bambino,\nper colpa di un incidente con una magia del\nfuoco. Sono un disastro con gli incantesimi.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nA volte mi fa ancora un po' male, ma non\nè nulla di grave. Sei gentile a preoccuparti\nper me, Tiki.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x06\x04チキ\nOh... Anche se ti fa male solo un pochino, deve\nessere fastidioso. Dolore... sparisci! Sciò!\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アンバー\nUn Drago Divino di un altro mondo... Ma questo\nè un sogno! Parlami di te, voglio sapere tutto!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x06\x04チキ\nD'accordo! Ti racconterò di me! Ma solo se\nanche tu mi racconti qualcosa di te!\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アンバー\nPiù mi parli del tuo mondo, più mi sento\nonorato di essere al tuo fianco.\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x06\x04チキ\nEheh, anche io sono contenta di essere con te.\nAllora, di cosa vuoi parlare oggi?\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nCosa sono questi "alpaca" di cui non fai che\nparlare? Non credo di averne mai visto uno.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nSono degli animali dal collo lungo e dal pelo\nsoffice. Sono adorabili. Al mio villaggio c'è una\nfattoria dove li alleviamo!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x06\x04チキ\nSembrano degli animali carini. Mi piacerebbe\nvederne uno. Dici che potrei accarezzarlo?\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nMa certo, me ne occuperò personalmente! Sono\nl'esperto di alpaca, non per niente!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJade, perché a volte tieni gli occhi chiusi?\nDormi in piedi, per caso?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nNo, sto meditando per calmare la mente...\nVuoi provare anche tu?\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nVedo che oggi non stai meditando. Cosa stai\nscrivendo di bello? Una lettera? O forse è\nun diario?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nUna storia. Di solito scrivo di notte, ma tanto\nper cambiare sto provando a scrivere all'aperto.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nScommetto che ti è successo qualcosa di bello.\nQuel sorriso non mente!\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nAh, te ne sei accorta. Di solito nessuno riesce a\ndecifrare le mie espressioni, neanche se sorrido.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x06\x04チキ\nCon tutto il tempo che abbiamo passato\ninsieme, ormai ti conosco. Allora, è successo\nqualcosa? Dimmi tutto!\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nIl mio ultimo scritto ha colto l'interesse di\nqualcuno. Posso leggertelo? Vorrei sentire la\ntua opinione.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nスタルーク\nMi sembra assurdo che rivolgiate la parola\na uno come me. Voi siete speciale, lady Tiki,\nmentre io non valgo niente...\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x06\x04チキ\nMa cosa dici? Mi piace parlare con te.\nAnzi, d'ora in avanti voglio farlo più spesso!\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nQuell'attacco che hai usato in battaglia\nè stato grandioso! Ne parlavano tutti!\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nNon ha senso complimentarsi con uno come\nme... Non sopporto la vostra vista, siete troppo\naccecante per me! Scusatemi!\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nスタルーク\nSiete davvero forte, lady Tiki. Tutti fanno\naffidamento su di voi. Vorrei cercare di\nproteggervi, se possibile.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x06\x04チキ\nFai pure! E io proteggerò te, Alcryst!\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nCome?! M-Ma... sarebbe uno spreco.\nVi prego, proteggete qualcuno più meritevole...\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x06\x04チキ\nE invece sei meritevole! Senza contare che,\nse ci proteggiamo a vicenda, siamo in una\nbotte di ferro!\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nOh, ma hai la manica rovinata!\nTi sei incastrata da qualche parte?\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nMmmh. Forse mi è successo in battaglia?\nPoco male, la rammenderò. Dovrò tessere\ndell'altro filo.\x0E\x04\x00\x00
