MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nL'audacia del tuo cuore non è inferiore alla tua\nforza fisica, a quanto pare. Non vedo l'ora di\ncollaborare con te, Nel.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nStavi insinuando qualcosa? Non sono\ndell'umore giusto per una predica.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0A\x08シグルド\nNon era mia intenzione. Hai commesso un\nerrore e hai fatto in modo di espiarlo. La tua\nforza è un modello per tutti noi.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nNon ho fatto tutto da solo. Devo ammettere che\nl'amicizia ha i suoi vantaggi, anche la nostra.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDevi essere una guerriera dallo spirito giusto\ne risoluto, te lo leggo negli occhi.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nLe tue parole mi onorano, Sigurd, soprattutto\nperché provengono da un cavaliere del tuo\ncalibro. Mi impegnerò per non deluderti.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIn passato, non riuscii a proteggere i miei amici.\nNon accadrà più. Farò in modo di non perdere\npiù nessuno.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0A\x08シグルド\nEppure, nonostante il dolore, non ti arrendi e\ncontinui per la tua strada. Sono sicuro che loro\nveglino su di te, anche adesso.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIl desiderio dei Quattro Venti di combattere\nper la pace è una vera ispirazione. Avrei molto\nda imparare da voi.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nFu Mauvier a fondare i Quattro Venti. Ben\npresto, diventammo come una famiglia. Questi\nricordi avranno sempre un posto nel mio cuore.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nLegami come quelli non scompariranno mai.\nAnche se abbiamo perso qualcuno lungo la\nstrada, saremo sempre i Quattro Venti.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0A\x08シグルド\nSono orgoglioso di combattere al tuo fianco\ne di aver costruito a mia volta un legame con te.\nMi impegnerò a porre fine alla guerra.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nStavi fissando un grazioso animale di pezza,\nprima. È forse un regalo per qualcuno?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nNo, a dire il vero è per me. Mi piacciono le cose\ngraziose. Come il tuo cavallo, Sigurd! È il più\nbello che ci sia.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLa fuga può essere importante tanto quanto il\ncombattimento, a volte. Meglio sopravvivere,\nche perdere tutto.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0A\x08シグルド\nUna strategia saggia, sebbene... non sempre\npossibile. Anche tu devi aver assistito a certe\nbattaglie cruente.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLa tua infanzia dev'essere stata fortunata, se\nora hai un cuore così puro e onesto.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nNo... tutt'altro. Ho avuto un'infanzia dura.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nSe sono diventato così è solo grazie ai Quattro\nVenti... e grazie all'incontro con veri eroi come\nte.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0A\x08シグルド\nGrazie, Gregory, ne sono onorato. Spero che\nle nostre strade non si separino mai.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nE così difendesti la tua città con le tue sole\nforze. Mi sento sollevato ad avere una cavaliera\ncome te nella nostra armata.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nProteggere il popolo è uno dei doveri di noi\ncavalieri! Prometto che farò in modo di non\ntradire le tue aspettative.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIl tuo carattere ben si addice a una cavaliera.\nTraspare dal tuo comportamento e ancor più\ndalla tua abilità sul campo di battaglia.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nLe tue lodi mi onorano. Sogno di diventare\nuna cavaliera all'altezza dei miei genitori.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI tuoi genitori dovevano essere dei cavalieri di\nprim'ordine. È sempre stato il tuo sogno\ndiventare come loro?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nSì. Li ho sempre ammirati molto e voglio\nonorarli seguendo i loro passi.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08シグルド\nSei una cavaliera di tutto rispetto. So di essere\nin buone mani, con te al mio fianco. Insieme\nporremo fine alla guerra una volta per tutte.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nCi puoi contare! La forza del nostro legame\ngetterà le fondamenta per un futuro migliore.\x0E\x04\x00\x00
