MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nChiedo scusa, Lindon. Potrei farvi una domanda\nun po' scomoda?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0C\nザフィーア\n\x0E\x03\x02\x0A\x08リンデン\nMh. Qui bisogna indagare a fondo.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0A\x08リンデン\nSaphir, posso parlarti?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nMa certo, Lindon. Cosa c'è?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リンデン\nAvevi ragione su alcune cose. Ero un soldato\nuna trentina di anni fa e servivo la mia patria.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nMa nei miei anni di servizio non finii in nessun\nvillaggio di pescatori, se è questo che ti\npreoccupa.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nVi siete documentato sulle mie origini.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nSì.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nE va bene, ora vi dico tutto.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nL'Elusia attaccò il mio villaggio trent'anni fa.\nMolta gente morì... anche i miei genitori.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nNon voglio vendetta e non ho mai cercato di\ntrovare chi li ha uccisi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nMa se voi eravate un soldato al servizio\ndell'Elusia... Non posso fare a meno di\ndomandarmi...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nMa certo, i tuoi sospetti sono più che leciti.\nAl posto tuo anche io mi farei le stesse\ndomande.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nMa non avrei dovuto chiedervelo. Ora siamo\nalleati, non ha senso rivangare il passato.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リンデン\nTi capisco se decidi di odiarmi. Ne hai tutto il\ndiritto.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nE se la mia morte servisse a liberarti di questo\ndolore che ti porti dentro, sarei lieto di offrirti\nla mia vita.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nザフィーア\nCome?! Cosa dite, adesso?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nLo penso davvero.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リンデン\nNon feci direttamente del male ai tuoi\ngenitori, ma presi comunque parte alla\nguerra.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nAvrei potuto uccidere io i tuoi genitori, se\nme l'avessero ordinato.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リンデン\nOrmai ho vissuto la mia vita. Non ho paura di\nlasciare questo mondo. Quindi, se può farti\nstare meglio...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リンデン\nSo che le parole non hanno alcun potere su\ncosa è successo nel passato... ma ci tengo\ncomunque a offrirti le mie sincere scuse.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nザフィーア\nNo, non ce la faccio. Scusatemi.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x01\x0C\nザフィーア\n\x0E\x03\x02\x0A\x08リンデン\nMia cara...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nEcco come si sfiletta il pesce.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x02\x0A\x08リンデン\nChe maestria, sono senza parole.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nLindon...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nNon avevo mai visto dei movimenti così\nlesti e precisi.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nBah, non è nulla di speciale, davvero. Dalle mie\nparti lo sanno fare anche i bambini.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nMa pensa un po'.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\nSaphir, quello che ci siamo detti l'altra volta...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nVi stavo giusto cercando!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nザフィーア\nVolevo grigliare il pesce. Mi dareste una mano\ncon i vostri incantesimi? Forza, a voi l'onore!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nEhm, ma certo...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nザフィーア\nSentite ancora il peso della nostra\nconversazione. Ve lo si legge in faccia.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nTemo di sì.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nPartecipai a una guerra che costò la vita ai\ntuoi genitori.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nAvresti tutto il diritto di nutrire risentimento\nnei miei confronti.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nCon tutto il rispetto, Lindon... Dateci un\ntaglio, prima che perda la pazienza.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nCome, scusa?!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nNon ho problemi con voi. Ce li ho con la guerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nSe dovessi avercela con chiunque vi ha preso\nparte, non si finirebbe più. So di cosa parlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リンデン\nHai ragione, ma...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nDico sul serio. Non fate un favore a nessuno\nfacendovi carico anche di questo peso.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nHo capito. Sono stato uno sciocco.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nザフィーア\nAlmeno avete mostrato che ci tenete. E questa\nè una buona cosa, in fondo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nザフィーア\nAllora, lo grigliate questo pesce, sì o no?\nC'è gente affamata, qui!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リンデン\nGiusto, non c'è tempo da perdere. Basta\ncincischiare, ho del pesce da grigliare!\x0E\x04\x00\x00
