MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08リュール\nJade! Tutto bene?!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nNiente. Sono felice.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ジェーデ\nA volte sono un po' impenetrabile. Non è facile\ninterpretare le mie emozioni...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nMa vi chiedo scusa se vi ho fatt\x0E\x0A\x00\x08\x02o\x02a preoccupare.\nE vi ringrazio, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nNon c'è problema, Jade.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08リュール\nJade... tuo padre studia le gemme e tua madre\nè un'artigiana che le lavora, dico bene?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08ジェーデ\nSì, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08ジェーデ\nVengo da un villaggio di minatori. Lì quasi tutti\nsi occupano di pietre preziose.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08ジェーデ\nAvevo anche provato ad aiutare mia madre nel\nsuo lavoro, ma non ho una buona manualità.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08ジェーデ\nCosì alla fine preferii diventare una guardia\nalla miniera.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nAllora fin da piccola avrai avuto a che fare con\ngemme e gioielli di ogni tipo, eh?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08ジェーデ\nBeh... sì, immagino di essere abbastanza\nferrata in materia.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nAllora perché non dai un'occhiata a questo?\nVorrei il tuo parere...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08ジェーデ\nL'anello del patto?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ジェーデ\nMmmh...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08ジェーデ\nSembra racchiudere un potere misterioso.\nQualcosa che non ho mai sentito in nessun\naltro anello...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nÈ la stessa cosa che ho provato io.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nQuesto anello e il potere che vi è racchiuso\nsono tuoi ora, Jade.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08ジェーデ\nMh? M-Ma cos-?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nSempre se vuoi accettare, beninteso.\nCome simbolo del nostro legame che si rafforza.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nVoglio restare al tuo fianco, Jade.\nCosì non ti troverai più a combattere da sola.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAllora, accetti l'anello? Per favore.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nSei davvero brava come dici a non far trapelare\nle tue emozioni, eh?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nEppure penso di capirti.\nCapisco cosa stai provando in questo momento.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08ジェーデ\nSì. Lo so.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08ジェーデ\nSono felice... al settimo cielo.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08ジェーデ\nQuesto è davvero l'anello del patto...\nGrazie, davvero.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nVuoi accompagnarmi lungo il cammino?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08ジェーデ\nMa certo, Drago Divino \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ジェーデ\nIl legame che ci unisce ora è più solido del\nferro... Nulla potrà spezzarlo.\x0E\x04\x00\x00
