MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nDrago Divino, devo dire che avete due occhioni\ndeliziosi. Questo sembra un pomodorino.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ボネ\nLa mia conoscenza è ancora limitata. Ma per\nfortuna mi lascio ispirare da cose inaspettate.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ボネ\nLa mia ambizione è conoscere ogni sapore e\ncreare nuove ricette da mettere a disposizione\ndi tutti.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nNon vedo l'ora di vederti all'opera!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nUno chef deve sempre essere pronto\na intraprendere nuove avventure culinarie.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nMmmh. Cos'è questo odorino?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nNon sento niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nSiete voi... emanate un aroma che non\nriconosco.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nAh, quella è la salsa che mi sono rovesciat\x0E\x0A\x00\x08\x02o\x02a\naddosso a pranzo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nEra così poca che non pensavo qualcuno se ne\nsarebbe accorto. Vado a cambiarmi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nNo, no. Avvicinatevi. Lasciatemi ispirare dal\nvostro curioso odore.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nOh!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nQuesto è un piatto che mi è nuovo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nPosso chiedervi il permesso di una veloce\nleccatina? Non riconosco questo piatto.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nEhm... Vuoi leccare la salsa? Dai miei abiti?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nPiuttosto, perché non andiamo a parlare\ncon il cuoco che era di turno di oggi?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\nNon vorrei aspettare così tanto. La mia curiosità\nculinaria mi impone di scoprirlo subito.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nE preferisci assaggiarla dai miei abiti?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nSono cresciuto tra i fornelli: sapori e ingredienti\nsono stati le prime cose che ho imparato.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nCon gli anni ho ampliato le mie conoscenze.\nNon volete aiutarmi?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nLe tue ambizioni culinarie sono encomiabili, ma\nqui mi vedo costrett\x0E\x0A\x00\x08\x02o\x02a a rifiutare.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nAmmiro la tua mente curiosa, ma c'è un limite\na tutto.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nE poi nella cucina non c'è solo la conoscenza\ndi tutti i sapori.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nNon capisco.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nLo scoprirai da solo! Io intanto devo andare\na cambiarmi! Con permesso!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ボネ\nChe voleva dire il Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nDrago Divino, vi chiedo scusa per il mio\ncomportamento dell'altro giorno.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nNon ti preoccupare. Ora gli abiti sono puliti e\nlavati... Non pensiamoci più.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nHo pensato al vostro consiglio... sul fatto che ci\nsia di più oltre ai sapori in cucina.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nHo passato un sacco di giorni ai fornelli\ncercando di capire cosa mi manca...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nAh, sì?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nSì... dopo la nostra chiacchierata sono corso\nin cucina e ho iniziato a cucinare.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ボネ\nHo lavorato da mattina a sera per cercare di\nriprodurre quei sapori.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nTutto questo per una semplice macchia sui\nmiei abiti. Incredibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nEppure non sono riuscito a trovare la risposta.\nMa quando ero sull'orlo della disperazione...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\n... ho pensato di cucinare per voi piuttosto\nche struggermi in quel modo!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nE così ho fatto! E il risultato ha superato di\ngran lunga le mie aspettative.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nÈ questo il segreto per un grande piatto, vero?\nL'affetto per le persone per cui lo si cucina.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nProprio così! Sono pienamente d'accordo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nConoscere tutti i sapori e le ricette del mondo\nnon ti servirà a niente se non cucini con amore.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nDrago Divino, mi dispiace avervi messo in\nimbarazzo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nNon preoccuparti. Ho dovuto porre dei limiti, ma\nrimango comunque u\x0E\x0A\x00\x1A\nn tuo\x0Cna tua grande sostenit\x0E\x0A\x00\x12\x06ore\x08rice.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nNon ho dubbi che un giorno sarai il miglior\ncuoco del mondo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nGrazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nSapete, ho portato con me quel piatto, se\navete voglia di provarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nMa certo!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nDrago Divino, ho inventato un nuovo piatto.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x06\x04ボネ\nAssaggiate, prego. Mi piacerebbe sentire\nil vostro parere.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nSembra una delizia, e ha dei colori bellissimi.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x06\x04ボネ\nMi sono ispirato ai vostri occhi meravigliosi\ne ho usato pomodorini e mirtilli...\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x06\x04ボネ\nBuon appetito.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nTi ringrazio.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nMa è... delizioso! Non avevo mai assaggiato\nniente del genere!\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x06\x04ボネ\nNe sono lieto. Volevo creare qualcosa di\nstraordinario apposta per voi.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x06\x04ボネ\nQuando cucino pensando a voi, i miei piatti...\nhanno qualcosa in più. Vorrei farlo più spesso.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x06\x04ボネ\nEcco, vorrei cucinare pensando a voi per il\nresto della mia vita... se vi fa piacere.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nStai forse cercando di dire...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x06\x04ボネ\nSì, vorrei essere il vostro compagno,\nDrago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x06\x04ボネ\nSempre che il cibo che vi ho preparato sia di\nvostro gradimento, beninteso.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x06\x04ボネ\nMa se lo trovate sconveniente, tornerò alle mie\nmansioni di cuoco, e terrò cara questa nuova\nricetta...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nOh... no.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nNon farlo. Resta con me e continua a cucinarmi\npiatti meravigliosi come questo.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nAnzi, Bunet... anche se non cucinassi niente\nper me, vorrei che mi stessi accanto.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nAccetta l'anello del patto. È per te.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x06\x04ボネ\nGrazie! È un anello bellissimo... proprio\ncome voi.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nCucina a parte, avremo finalmente modo\ndi conoscerci meglio.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x06\x04ボネ\nNon potrei desiderare di più, \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x06\x04ボネ\nQuesto è un momento di pura dolcezza, ma\ncon voi mi delizierò di tutti i sapori della vita.\x0E\x04\x00\x00
