MID_BGM_Evt_Amb_Lithos_ST_Play	Il giardino della luce
MID_BGM_Evt_26ED2_ST_Play	Un caloroso addio
MID_BGM_Mov_GOP_ST_Play	Unione emblema!
MID_BGM_Mov_S02_ST_Play	Il sogno del drago
MID_BGM_Mov_Eleos_ST_Play	La storia dell'Elyos
MID_BGM_Mov_Red_ST_Play	Ricordi tinti di rosso
MID_BGM_Mov_Appear_Alfred_ST_Play	Il principe prospero
MID_BGM_Mov_Appear_Sombre_ST_Play	Il Drago Maligno Sombron
MID_BGM_Mov_Lueur_Die_ST_Play	La morte del Drago Divino
MID_BGM_Mov_S18_ST_Play	La sesta terra
MID_BGM_Field_P00_ST_Play	Uno scontro sfiancante
MID_BGM_Field_P00_Heavy_ST_Play	Uno scontro sfiancante (tetro)
MID_BGM_Field_P01_Map_ST_Play	La remota terra sacra
MID_BGM_Field_P01_Combat_ST_Play	La remota terra sacra (lampo)
MID_BGM_Field_P01_Heavy_Map_ST_Play	L'eterna e remota terra sacra
MID_BGM_Field_P01_Heavy_Combat_ST_Play	L'eterna e remota terra sacra (lampo)
MID_BGM_Field_P02_Map_ST_Play	Fiori nel vento
MID_BGM_Field_P02_Combat_ST_Play	Fiori nel vento (splendore)
MID_BGM_Field_P02_Heavy_Map_ST_Play	Fiori gloriosi nel vento
MID_BGM_Field_P02_Heavy_Combat_ST_Play	Fiori gloriosi nel vento (splendore)
MID_BGM_Field_P03_Map_ST_Play	Dignità reale
MID_BGM_Field_P03_Combat_ST_Play	Dignità reale (forza)
MID_BGM_Field_P03_Heavy_Map_ST_Play	Dignità reale inscalfibile
MID_BGM_Field_P03_Heavy_Combat_ST_Play	Dignità reale inscalfibile (forza)
MID_BGM_Field_P04_ST_Play	Lacrime amare (gelo)
MID_BGM_Field_P05_ST_Play	Legami spezzati
MID_BGM_Field_P06_Map_ST_Play	Tempesta di sabbia
MID_BGM_Field_P06_Combat_ST_Play	Tempesta di sabbia (fuoco)
MID_BGM_Field_P06_Heavy_Map_ST_Play	Forte tempesta di sabbia
MID_BGM_Field_P06_Heavy_Combat_ST_Play	Forte tempesta di sabbia (fuoco)
MID_BGM_Field_P08_ST_Play	Petali cadenti
MID_BGM_Field_P09_Map_ST_Play	La meta da raggiungere
MID_BGM_Field_P09_Combat_ST_Play	La meta da raggiungere (lampo)
MID_BGM_Field_P12_ST_Play	Ultima unione (preghiera-sortilegio)
MID_BGM_Field_P13_Map_ST_Play	Armi alla mano
MID_BGM_Field_P13_Combat_ST_Play	Armi alla mano (lotta)
MID_BGM_Field_E01_ST_Play	Aberrazioni
MID_BGM_Field_E02_ST_Play	La dea e le sue marionette
MID_BGM_Field_E03_ST_Play	Freddo strisciante
MID_BGM_Field_E04_ST_Play	Passi pesanti e disperati
MID_BGM_Field_E05_ST_Play	Un raggio di luce distorto
MID_BGM_Field_S03_Map_ST_Play	Prova del Risveglio
MID_BGM_Field_S03_Combat_ST_Play	Prova del Risveglio (divampa)
MID_BGM_Field_S04_Map_ST_Play	Prova del Fuoco Devastante
MID_BGM_Field_S04_Combat_ST_Play	Prova del Fuoco Devastante (soffia)
MID_BGM_Field_S05_Map_ST_Play	Prova della Fiamma
MID_BGM_Field_S05_Combat_ST_Play	Prova della Fiamma (combatti)
MID_BGM_Field_S06_Map_ST_Play	Prova dell'Accademia
MID_BGM_Field_S06_Combat_ST_Play	Prova dell'Accademia (insegnaci)
MID_BGM_Field_S07_Map_ST_Play	Prova dei Destini
MID_BGM_Field_S07_Combat_ST_Play	Prova dei Destini (mostra le zanne)
MID_BGM_Field_S08_Map_ST_Play	Prova della Sacralità
MID_BGM_Field_S08_Combat_ST_Play	Prova della Sacralità (riporta la calma)
MID_BGM_Field_S09_Map_ST_Play	Prova della Guerra Santa
MID_BGM_Field_S09_Combat_ST_Play	Prova della Guerra Santa (intercedi)
MID_BGM_Field_S10_Map_ST_Play	Prova della Genealogia
MID_BGM_Field_S10_Combat_ST_Play	Prova della Genealogia (liberaci)
MID_BGM_Field_S11_Map_ST_Play	Prova della Luce
MID_BGM_Field_S11_Combat_ST_Play	Prova della Luce (curaci)
MID_BGM_Field_S12_Map_ST_Play	Prova del Sigillo
MID_BGM_Field_S12_Combat_ST_Play	Prova del Sigillo (insorgi)
MID_BGM_Field_S13_Map_ST_Play	Prova degli Echi
MID_BGM_Field_S13_Combat_ST_Play	Prova degli Echi (proteggici)
MID_BGM_Field_S14_Map_ST_Play	Prova degli emblemi
MID_BGM_Field_S14_Combat_ST_Play	Prova degli emblemi (risplendi)
MID_BGM_Field_S15_Map_ST_Play	Prova del patto
MID_BGM_Field_S15_Combat_ST_Play	Prova del patto (legaci)
MID_BGM_Boss_01_Pre_ST_Play	Fautore del caos
MID_BGM_Boss_01_Start_ST_Play	Fautore del caos (furia)
MID_BGM_Boss_02_Pre_ST_Play	Tiranno della conoscenza
MID_BGM_Boss_02_Start_ST_Play	Tiranno della conoscenza (furia)
MID_BGM_Boss_03_Pre_ST_Play	Custode della storia
MID_BGM_Boss_03_Start_ST_Play	Custode della storia (furia)
MID_BGM_Boss_04_Pre_ST_Play	I Quattro Segugi
MID_BGM_Boss_04_Start_ST_Play	I Quattro Segugi (furia)
MID_BGM_Boss_05_Pre_ST_Play	Esseri imperfetti
MID_BGM_Boss_05_Start_ST_Play	Esseri imperfetti (furia)
MID_BGM_Boss_06_Pre_ST_Play	Divina ma oscura
MID_BGM_Boss_06_Start_ST_Play	Divina ma oscura (furia)
MID_BGM_Sys_Title_ST_Play	Uniamoci...
MID_BGM_Sys_Gmap_ST_Play	Il tuo viaggio
MID_BGM_Sys_Prepare1_ST_Play	Preparativi
MID_BGM_Sys_Prepare2_ST_Play	Grandi preparativi
MID_BGM_Sys_Base1_ST_Play	Buongiorno, Drago Divino
MID_BGM_Sys_Base2_ST_Play	Di pattuglia, Drago Divino?
MID_BGM_Sys_Base3_ST_Play	Buona serata, Drago Divino
MID_BGM_Sys_Base4_ST_Play	Passeggio serale, Drago Divino?
MID_BGM_Sys_Mini1_ST_Play	Un volo in viverna?
MID_BGM_Sys_Mini2_ST_Play	Un'altra giornata di ginnastica?
MID_BGM_Sys_Mini3_ST_Play	Pesca marziale brodiana
MID_BGM_Sys_Base_Jukebox1_ST_Play	Un tè in Firene
MID_BGM_Sys_Base_Jukebox2_ST_Play	In buona compagnia in Brodia
MID_BGM_Sys_Base_Jukebox3_ST_Play	Cena in Elusia
MID_BGM_Sys_Base_Jukebox4_ST_Play	Campeggio in Solm
MID_BGM_Sys_Base_Jukebox5_ST_Play	A cena con gli emblemi
MID_BGM_Sys_ED1_ST_Play	Legami di fuoco
MID_BGM_Sys_ED2_Result_ST_Play	Tema di Fire Emblem - Emblema di Fuoco
MID_BGM_Sys_ED2_Sequel_ST_Play	Verso la fine del viaggio
MID_BGM_Sys_Introduction_ST_Play	Tema di Fire Emblem
MID_BGM_Sys_ClassChange_ST_Play	Illuminazione
MID_BGM_Sys_Die_ST_Play	Ultimo addio
MID_FF_GameOver_ST_Play	Riposo eterno
MID_FF_StageClear_ST_Play	Trionfo
MID_FF_LevelUp_ST_Play	Crescita
MID_FF_Bad_ST_Play	Dispiaceri 1
MID_FF_Sorry_ST_Play	Dispiaceri 2
MID_FF_Good1_ST_Play	Gioie 1
MID_FF_Good2_ST_Play	Gioie 2
MID_FF_ItemGet1_ST_Play	Acquisti 1
MID_FF_ItemGet2_ST_Play	Acquisti 2
MID_BGM_Amiibo_03_ST_Play	Destino (vivace)
MID_BGM_Amiibo_04_ST_Play	Brezze soffiano in pianura
MID_BGM_Amiibo_05_ST_Play	I devoti
MID_BGM_Amiibo_06_ST_Play	Venti del Fódlan
MID_BGM_Amiibo_07_ST_Play	Fine (abisso)
MID_BGM_Amiibo_08_ST_Play	Battaglia finale
MID_BGM_Amiibo_09_ST_Play	Fine della Guerra Sacra
MID_BGM_Amiibo_10_ST_Play	Andiamo, Leif!
MID_BGM_Amiibo_11_ST_Play	Echi dell'alba
MID_BGM_Amiibo_12_ST_Play	Sotto una nuova luce (Roy)
MID_BGM_Amiibo_13_ST_Play	Benedetti da Mila
MID_BGM_Amiibo_14_ST_Play	Problemi! (Marth)
