MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nSigh... E ora che faccio?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x08\x06ラピス\nPrincipe Fogado, guardate!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nHo ultimato il marchingegno per sbarazzarci\ndei furfanti. L'ho chiamato il... Fogadue!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nMa... è un manichino che mi assomiglia.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ラピス\nEsatto! È venuto proprio bene, non trovate?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nA dire il vero sì. La forma mi assomiglia\nabbastanza.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nVero?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nE lo hai costruito con degli scarti?\nImpressionante.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nSenza il vostro aiuto e i materiali che avete\nraccolto non ce l'avrei mai fatta.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nMi ci sono voluti un paio di tentativi, però.\nIl mio primo prototipo... è esploso.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nAh... E così vuoi piazzare questo affascinante\nnonché potenzialmente esplosivo manichino\nin mezzo all'oasi?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nProprio così! Ma non sarebbe molto credibile\nse rimanesse lì impalato...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nNon mi dire. Ho visto bene? Il Fogadue si è...?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nSì! Si muove con il vento! Ingegnoso, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nUhm... già. Proprio ingegnoso.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nPer quanto ammiri la tua opera... pensi possa\nfunzionare davvero a spaventare i furfanti?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nSe visto dalla giusta prospettiva, penso che il\nFogadue possa essere minaccioso quanto basta.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nPerò se si avvicinano troppo, scopriranno che\nnon sono io.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nIn effetti avete ragione.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nSi basa sui manichini che al mio villaggio\nusiamo per spaventare gli orsi, ma non l'ho mai\ntestato sull'uomo.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nフォガート\nSai cosa? Proviamo. Tentar non nuoce.\nD'altronde non ho idee migliori.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nVa bene. Speriamo che funzioni!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nLapis, indovina! Il Fogadue ha funzionato alla\ngrande!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nフォガート\nGrazie a questo aggeggio li abbiamo catturati\ntutti, dal primo all'ultimo!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nDite davvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nフォガート\nGià. Hai detto che lo scopo originario di quel\nmanichino era tenere lontani gli orsi, vero?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nSì...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nEd è quello che ha fatto. Ha spaventato non\npoco gli animali dell'oasi.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nGli animali? Ma doveva spaventare i furfanti,\nnon la fauna locale.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nBeh, come potrai immaginare, un branco di\ntigri e coccodrilli imbizzarriti basta e avanza\na mettere in fuga i furfanti.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nE appena sono usciti allo scoperto, siamo\nspuntati noi e li abbiamo catturati.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nLa missione non poteva andare meglio, ed è\ntutto grazie a te!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nAlla fine ciò che conta è il risultato, anche se\nil procedimento non è stato come pensavo.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nNon hai nulla da rimproverarti. In fin dei conti\nera ben costruito e ha svolto il suo compito.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nMa dimmi. Attorno al tuo villaggio ci sono\ndei manichini come questo?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ラピス\nSì. Abbiamo molti espedienti per tenere lontani\ngli orsi.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nMa dai? Perché una volta o l'altra non mi porti\na vederli?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nMh? Come mai?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nMi piacerebbe studiarli da vicino. Scommetto\nche potrei imparare altre strategie difensive.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nNon so quanto possa esservi utile, ma va bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nPerò se verrete, dovrete travestirvi, in modo\nche nessuno vi riconosca.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nPerfetto! Affare fatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nUhm, che travestimento dovrei adottare? Forse\nuna pelliccia di orso...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ラピス\nNon credo sia una buona idea, a meno che non\nvogliate diventare carne da stufato...\x0E\x04\x00\x00
