MID_WU_C_1_IN_#001	Ehilà!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Siete già svegli\x0E\x0A\x00\x08\x02o\x02a?!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Pensavo di avere...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	il passo decisamente più leggero!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Vi ho portato il mio fiore firenese preferito.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	Non c'è profumo più dolce al mondo.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Dovrebbe addolcire il vostro risveglio.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Salve.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Vi piace il profumo del Firene?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	Un giorno vi porterò in un campo pieno di\nquesti fiori.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Oggi vi ho portato la colazione, Drago Divino!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Se c'è di mezzo il cibo vi svegliate in fretta.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Meglio così! Ho abbondato con le proteine.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	State usando il balsamo per i muscoli?\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	È disponibile in varie profumazioni!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Pesca, biscotti, tante diverse erbe...\nCe n'è perfino uno che sa di tè!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Personalmente vi consiglio...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	quello al profumo di peperoncino.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Una sferzata di piccante...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	L'ideale al mattino!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	La vostra compagna è qui per svegliarvi!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Ma come? Siete già svegli\x0E\x0A\x00\x08\x02o\x02a? Peccato.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Avevo preparato una bella sorpresa...\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Ahah, certo che so essere delicata!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Da tempo volevo mostrarvi gli splendidi campi\ndi fiori del Firene.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	La guerra, però, non ci concede molto tempo\nper il turismo...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Potrei far spedire qui dei fiori...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	ma anche riempiendo questa stanza\nnon otterrei lo stesso risultato.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Un giorno, però...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	visiteremo insieme quei prati. È una promessa.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Nel frattempo, farò essiccare\nil mio fiore preferito.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Potrei renderlo una spilla, così potrete\nindossarlo. Vi starebbe bene.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	È l'ora della corsa mattutina!\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Sveglia, dormiglion\x0E\x0A\x00\x08\x02e\x02a.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Bene, siete svegli\x0E\x0A\x00\x08\x02o\x02a. Andiamo?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Distendiamo un po' i muscoli...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	e poi qualche giro di riscaldamento,\nper trovare il ritmo.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Prima di venire qui ho già fatto qualche giro...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	proprio come facevate voi in passato.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Correre da soli va bene, ma ormai trovo\ningiusto andare senza di voi.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Quando siete al mio fianco, mi sento\nimmensamente più forte!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Buongiorno! Andiamo?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Tutto va a gonfie vele...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	quando corriamo fianco a fianco!\x0E\x04\x00\x00
