MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06モーヴ\nLa nostra imbarcazione è ormeggiata qui.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x08\x06モーヴ\nAffatto. Il suo più grande desiderio, se così si\npuò dire parlando di lord Sombron, è invadere\naltri mondi.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\nAltri mondi?!\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x08\x06モーヴ\nIl continente di Elyos è solo il primo passo.\nVuole estendere il suo dominio ovunque.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08リュール\nNon capisco, ci sono altri mondi...\nE lui vuole dominarli tutti. Come è possibile?\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x08\x06モーヴ\nNon sono cose che so per certo, sia chiaro.\nLord Sombron non è mai entrato nei dettagli\ncon me.\x0E\x04\x02\x00
MID_OP2_#023	Quel che mi sento di dire è che lady Veyle\nnon è altro che una pedina che gli è utile a\nraggiungere i suoi scopi.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x0A\x08リュール\nTi prego, dimmi tutto quello che sai.\x0E\x04\x02\x00
MID_OP2_#025	Li ho sentiti chiamare Veyle "difettosa".\nCosa significa?\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x08\x06モーヴ\nBeh, per prima cosa un drago di sangue reale\ndovrebbe essere in grado di evocare gli\nemblemi. Ma non è così per lei.\x0E\x04\x02\x00
MID_OP2_#027	Lord Sombron lo ha scoperto da poco, subito\ndopo essersi risvegliato e aver ritrovato lady\nVeyle.\x0E\x04\x02\x00
MID_OP2_#028	Tutti i suoi figli presero parte alla guerra, ma\nlei era la più giovane e non vide mai un campo\ndi battaglia né gli emblemi.\x0E\x04\x00\x00
MID_OP2_#029	\x0E\x03\x02\x0A\x08リュール\nMi ha detto di avermi incontrat\x0E\x0A\x00\x08\x02o\x02a una volta,\nmille anni fa.\x0E\x04\x00\x00
MID_OP2_#030	\x0E\x03\x02\x08\x06モーヴ\nEravate un\x0E\x0A\x00\x08\x02o\x02a dei suoi numerosi fratelli e sorelle.\nTutti gli altri, nel tempo, perirono combattendo\nnella guerra.\x0E\x04\x02\x00
MID_OP2_#031	Tutti, tranne voi.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x08\x06モーヴ\nIn seguito, lord Sombron venne imprigionato e\nla madre di lady Veyle morì, lasciandola sola\nal mondo.\x0E\x04\x02\x00
MID_OP2_#034	Non riuscì mai a farsi degli amici, poiché si era\normai sparsa la voce che una dei figli del Drago\nMaligno fosse sopravvissuta.\x0E\x04\x02\x00
MID_OP2_#035	Lady Veyle visse nascondendosi, sapendo che,\nse l'avessero trovata, l'avrebbero uccisa.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x0A\x08リュール\nMille anni vissuti così... Sempre da sola?\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x08\x06モーヴ\nNon proprio. Alcuni secoli fa entrò in contatto\ncon dei seguaci del Drago Maligno...\x0E\x04\x02\x00
MID_OP2_#038	Sotto la loro protezione, ha dormito in un\ntempio nascosto fino al risveglio di lord\nSombron.\x0E\x04\x02\x00
MID_OP2_#039	Era riuscita a farsi amica la gente del posto,\nma ovviamente al momento del risveglio...\x0E\x04\x00\x00
MID_OP2_#040	\x0E\x03\x02\x0A\x08リュール\nErano tutti morti, giusto?\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x02\x08\x06モーヴ\nLady Veyle si è sentita sollevata, anzi piena\ndi gioia, quando ha ritrovato lord Sombron.\x0E\x04\x02\x00
MID_OP2_#042	Ma lui l'ha disprezzata, definendola difettosa,\npoiché priva delle abilità e del carattere di un\nDrago Maligno.\x0E\x04\x02\x00
MID_OP2_#043	Tuttavia, ha preteso la sua sottomissione e ha\nchiesto a Zephia di plasmare la sua personalità.\x0E\x04\x02\x00
MID_OP2_#044	Lady Veyle ha pensato di non essere più sola\nfinalmente, e invece non lo è mai stata più di\ncosì.\x0E\x04\x00\x00
MID_OP2_#045	\x0E\x03\x02\x0A\x08リュール\nChe orrore...\x0E\x04\x00\x00
MID_OP2_#046	\x0E\x03\x02\x08\x06マロン\n...\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x08\x06モーヴ\nCosa c'è, Marni? Hai il mal di mare?\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x08\x06マロン\nNo! Sto provando a non piangere! Non sapevo\nche la vita di lady Veyle fosse taaanto triste.\x0E\x04\x02\x00
MID_OP2_#049	Pensavo di essere io quella con la storia tragica.\nAvrei dovuto essere più carina con lei.\x0E\x04\x00\x00
MID_OP2_#050	\x0E\x03\x02\x08\x06モーヴ\nNon mi hai mai parlato del tuo passato, Marni.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x08\x06マロン\nBeh, non sono certo la prima a cui capita. Sono\nsolo stata abbandonata da mia madre, tutto qui.\x0E\x04\x02\x00
MID_OP2_#052	Avevo un saaacco di fratelli maschi, ma proprio\ntanti, e lei ha deciso che una femmina non le\nserviva.\x0E\x04\x02\x00
MID_OP2_#053	Il che non ha senso, visto che ero di gran lunga\nsuperiore a quei buoni a nulla...\x0E\x04\x02\x00
MID_OP2_#054	L'aiutavo più di tutti, ma lei non mi ha mai detto\ngrazie né fatto un complimento.\x0E\x04\x02\x00
MID_OP2_#055	La prima volta che mi ha portata a fare una\npasseggiata, solo io e lei, era per cercare un\nluogo dove abbandonarmi.\x0E\x04\x02\x00
MID_OP2_#056	Mi teneva per mano portandomi da una parte\nall'altra, finché non mi lasciò davanti a una\nchiesa.\x0E\x04\x00\x00
MID_OP2_#057	\x0E\x03\x02\x0A\x08リュール\nNon ci posso credere...\x0E\x04\x00\x00
MID_OP2_#058	\x0E\x03\x02\x08\x06マロン\nNon è successo niente. Il sacerdote era gentile\ne, visto che l'ho aiutato a liberare lord Sombron,\nmi faceva un sacco di complimenti!\x0E\x04\x02\x00
MID_OP2_#059	Poi ho conosciuto Zephia e mi sono unita ai\nQuattro Segugi. Quindi vedi? La storia di lady\nVeyle è molto più triste.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x08\x06モーヴ\nZephia ha arruolato nei Quattro Segugi solo\nfedeli devoti del Drago Maligno.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x0A\x08リュール\nAnche tu, Mauvier?\x0E\x04\x00\x00
MID_OP2_#062	\x0E\x03\x02\x08\x06モーヴ\nSì. Frequentavo il tempio in cui riposava lady\nVeyle. Quando lei si è svegliata...\x0E\x04\x02\x00
MID_OP2_#063	... ero lì a parlarle. È stata lei, un drago di stirpe\nreale, a chiedermi di diventare amici.\x0E\x04\x02\x00
MID_OP2_#064	Le ho detto che non potevo, e allora lei mi ha\nchiesto di servirla come suo cavaliere.\x0E\x04\x00\x00
MID_OP2_#065	\x0E\x03\x02\x0A\x08リュール\nE hai accettato.\x0E\x04\x00\x00
MID_OP2_#066	\x0E\x03\x02\x08\x06モーヴ\nNon potevo rifiutare.\x0E\x04\x00\x00
MID_OP2_#067	\x0E\x03\x02\x08\x06マロン\nÈ una gran cosa essere scelti così, specie da chi\nha sangue reale. Chi l'avrebbe mai detto!\x0E\x04\x02\x00
MID_OP2_#068	Ti ha scelto proprio come suo cavaliere? È una\ncosa impressionante. Dico sul serio, Mauvier.\nÈ fantastico!\x0E\x04\x00\x00
MID_OP2_#069	\x0E\x03\x02\x08\x06モーヴ\nSe tu volessi, sono sicuro che lady Veyle\naccetterebbe anche te come sua cavaliera.\x0E\x04\x00\x00
MID_OP2_#070	\x0E\x03\x02\x08\x06マロン\nCosa? Neanche per sogno! Non mi va di\nlavorare così tanto con te: mai un complimento,\nmai un grazie. Ti detesto.\x0E\x04\x00\x00
MID_OP2_#071	\x0E\x03\x02\x08\x06モーヴ\nDavvero?\x0E\x04\x00\x00
MID_OP2_#072	\x0E\x03\x02\x08\x06マロン\nE poi, il mio posto è accanto a Zephia.\nDevo tornare da lei.\x0E\x04\x02\x00
MID_OP2_#073	Dato che stai aiutando il Drago Divino,\ndi sicuro verrai espulso dai Segugi.\x0E\x04\x00\x00
MID_OP2_#074	\x0E\x03\x02\x08\x06モーヴ\nNon mi aspetto altro.\x0E\x04\x00\x00
MID_OP2_#075	\x0E\x03\x02\x08\x06マロン\nSì, beh, a me piace essere una dei Quattro\nSegugi. Non appena scendiamo da questa barca,\nsaremo nemici.\x0E\x04\x00\x00
MID_OP2_#076	\x0E\x03\x02\x08\x06モーヴ\nVisto che mi detesti, sarai contenta.\x0E\x04\x00\x00
MID_OP2_#077	\x0E\x03\x02\x08\x06マロン\nSì, infatti... ecco. Non c'è altro da dire.\nStiamo solo perdendo tempo.\x0E\x04\x00\x00
MID_OP2_#078	\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x02\x0A\x08リュール\nMauvier, grazie per aver condiviso queste\ninformazioni.\x0E\x04\x02\x00
MID_OP2_#079	Quando troveremo Veyle, spero che farai ciò\nche ritieni meglio per lei.\x0E\x04\x02\x00
MID_OP2_#080	Anche se ciò dovesse significare scontrarci\ndi nuovo.\x0E\x04\x00\x00
MID_OP2_#081	\x0E\x03\x02\x08\x06モーヴ\nLo farò.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x02\x0A\x08リュール\nCos'è successo al Lythos? È caduto in rovina...\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0C\nヴァンドレ\nÈ un segno del ritorno del Gradlon o del fatto\nche i nostri nemici stanno distruggendo la\nscheggia del Drago Divino.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x0A\x08リュール\nDobbiamo fermare Sombron! Dove si trova\nla scheggia?\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0C\nヴァンドレ\nNel castello dove dimorava la regina Lumera.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08リュール\nNon avrei mai pensato che sarei tornat\x0E\x0A\x00\x08\x02o\x02a\nper trovare... tutto questo.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nSombron, lo so che sei qui! Mostrati!\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nAh, il Drago Divino è qui.\x0E\x04\x02\x00
MID_OP4_#003	O dovrei chiamarti \x0E\x0A\x00P&il Divino Impostore&la Divina Impostora?\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x08\x06セピア\nNon ti aspettavo così presto. Come facevi\na sapere dove trovarci?\x0E\x04\x02\x00
MID_OP4_#006	Sei arrivat\x0E\x0A\x00\x08\x02o\x02a persino prima di quegli altri\ndue miei figlioli...\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x00\x0C\x06マロン\x024\n\x0E\x03\x02\x08\x06モーヴ\nCredo tu stia parlando di noi.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x02\x06\x04グリ\nPerché siete con loro?!\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x08\x06セピア\nSiete stati voi due a portarl\x0E\x0A\x00\x08\x02o\x02a qui? Ci avete\ntraditi? Non ci posso credere.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x02\x08\x06マロン\nNo, non è così che stanno le cose!\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x06\x04グリ\nA me sembra tutto molto chiaro, invece.\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x08\x06モーヴ\nÈ tutta opera mia. Voglio che lady Veyle\nincontri il Drago Divino.\x0E\x04\x02\x00
MID_OP4_#013	L'avrei costrett\x0E\x0A\x00\x08\x02o\x02a con la forza a venire, se fosse\nstato necessario. Ad ogni modo, Marni non\nc'entra con tutto questo.\x0E\x04\x00\x00
MID_OP4_#014	\x0E\x03\x02\x08\x06マロン\nMauvier...\x0E\x04\x00\x00
MID_OP4_#015	\x0E\x03\x02\x08\x06モーヴ\nTorna dai Segugi, Marni.\x0E\x04\x00\x00
MID_OP4_#016	\x0E\x03\x02\x08\x06マロン\nM-Ma...\x0E\x04\x00\x00
MID_OP4_#017	\x0E\x03\x02\x08\x06モーヴ\nNon esitare. Vai. Subito!\x0E\x04\x00\x00
MID_OP4_#018	\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x02\x08\x06セピア\nMarni, tu sei libera di tornare da noi. Invece,\nMauvier, cosa dovremmo farne adesso di te?\x0E\x04\x02\x00
MID_OP4_#019	Sono disposta a perdonarti e a dimenticare,\nse hai una spiegazione adeguata. Siamo\nuna famiglia, dopotutto.\x0E\x04\x00\x00
MID_OP4_#020	\x0E\x03\x02\x08\x06モーヴ\nNon dire sciocchezze... So bene che sarò punito.\nMa lady Veyle incontrerà il Drago Divino.\x0E\x04\x00\x00
MID_OP4_#021	\x0E\x03\x02\x08\x06セピア\nRozzo arrogante che non...\x0E\x04\x00\x00
MID_OP4_#022	\x0E\x03\x01\x06\x04グリ\n\x0E\x03\x00\x0E\x08ヴェイル\x023\n\x0E\x03\x02\x0A\x08ヴェイル\nNon importa. Anche io avevo intenzione di\nparlare con il Drago Divino.\x0E\x04\x00\x00
MID_OP5_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x16\x10ヴェイル_黒_悪\x021\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x0A\x08リュール\nVeyle? Che ti è successo?\x0E\x04\x00\x00
MID_OP5_#002	\x0E\x03\x02\x12\x10ヴェイル_黒_悪\nChi si rivede.\x0E\x04\x00\x00
MID_OP5_#003	\x0E\x03\x02\x08\x06モーヴ\nCosa avete fatto a lady Veyle?!\x0E\x04\x00\x00
MID_OP5_#004	\x0E\x03\x00\x0C\x06セピア\x023\n\x0E\x03\x02\x08\x06セピア\nTi avevo parlato dell'elmo incantato di lord\nSombron. Il mio incantesimo finalmente è\ndavvero efficace.\x0E\x04\x00\x00
MID_OP5_#005	\x0E\x03\x02\x0A\x08リュール\nVeyle, mi riconosci?!\x0E\x04\x00\x00
MID_OP5_#006	\x0E\x03\x02\x12\x10ヴェイル_黒_悪\nCerto, sei il mio caro fratello perduto da tempo.\nSono felice di poterti finalmente rivedere.\x0E\x04\x02\x00
MID_OP5_#006_F	\x0E\x03\x02\x12\x10ヴェイル_黒_悪\nCerto, sei la mia cara sorella perduta da tempo.\nSono felice di poterti finalmente rivedere.\x0E\x04\x02\x00
MID_OP5_#007	\x0E\x03\x02\x0A\x08リュール\n...!\x0E\x04\x00\x00
MID_OP5_#008	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x00\x0C\x06マロン\x022\n\x0E\x03\x02\x08\x06マロン\nCosa?! È così che la volevi ridurre?\nL'altra lady Veyle tornerà mai?\x0E\x04\x00\x00
MID_OP5_#009	\x0E\x03\x02\x08\x06セピア\nAssolutamente no. Non fintanto che l'elmo\nrimarrà intatto e attaccato a lei.\x0E\x04\x02\x00
MID_OP5_#010	L'altra sua personalità è morta.\x0E\x04\x00\x00
MID_OP5_#011	\x0E\x03\x02\x08\x06マロン\nM-Morta?\x0E\x04\x00\x00
MID_OP5_#012	\x0E\x03\x02\x08\x06セピア\nOh, suvvia. Dovresti essere felice di non dover\npiù parlare con quella ragazzina difettosa.\x0E\x04\x00\x00
MID_OP5_#013	\x0E\x03\x02\x08\x06マロン\nZephia, sono venuta a sapere del passato di\nlady Veyle. E tu lo sapevi? C'eri già allora...\x0E\x04\x00\x00
MID_OP5_#014	\x0E\x03\x02\x08\x06セピア\nCosa?\x0E\x04\x00\x00
MID_OP5_#015	\x0E\x03\x02\x08\x06マロン\nVoglio dire... Io non ne sapevo niente, quando\nti ho aiutata a compiere quelle azioni terribili.\x0E\x04\x02\x00
MID_OP5_#016	Lady Veyle è stata sola per tanto tempo.\nEd era così contenta di rivedere la sua famiglia.\x0E\x04\x02\x00
MID_OP5_#017	Non ha mai avuto una famiglia vera, e ora ha\nperso ogni speranza di averne una. È terribile!\x0E\x04\x00\x00
MID_OP5_#018	\x0E\x03\x02\x08\x06セピア\nChe stai farneticando, Marni?\x0E\x04\x00\x00
MID_OP5_#019	\x0E\x03\x02\x08\x06マロン\nZephia, mi piaceva ricevere i tuoi complimenti...\x0E\x04\x02\x00
MID_OP5_#020	E quando dicevi che eravamo una famiglia.\nVolevo far parte di qualcosa. Ho amato davvero\ni Quattro Segugi.\x0E\x04\x02\x00
MID_OP5_#021	Ma tutto questo è inaccettabile.\x0E\x04\x02\x00
MID_OP5_#022	Devo fare ciò che ritengo giusto, a costo di\nnon ricevere più complimenti.\x0E\x04\x00\x00
MID_OP5_#023	\x0E\x03\x02\x08\x06セピア\nMarni?!\x0E\x04\x00\x00
MID_OP5_#024	\x0E\x03\x02\x08\x06マロン\nLibererò lady Veyle! Manderò in frantumi\nquell'elmo!\x0E\x04\x00\x00
MID_OP5_#025	\x0E\x03\x02\x08\x06セピア\nNo! Ferma!\x0E\x04\x00\x00
MID_OP5C_#001	\x0E\x03\x02\x08\x06マロン\nYaaaaaah!
MID_OP5C_#002	\x0E\x04\x00\x00
MID_OP5C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nMarni, che tentativo patetico. Un attacco\nsimile non può scalfire il regalo di mio papà.\x0E\x04\x00\x00
MID_OP5C_#004	\x0E\x03\x02\x08\x06マロン\nCi ho messo tutta la mia forza...\nma non è servito a niente?\x0E\x04\x00\x00
MID_OP5C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nImmagino volessi liberarmi, sciocca che non sei\naltro. Ma, a quanto pare, hai fallito miseramente.\x0E\x04\x00\x00
MID_OP5C_#006	\x0E\x03\x02\x08\x06マロン\nNo...\x0E\x04\x00\x00
MID_OP5C_#007	\x0E\x03\x02\x08\x06セピア\nNon ti avevo forse ordinato di fermarti?\x0E\x04\x02\x00
MID_OP5C_#008	Bambina disubbidiente.\x0E\x04\x00\x00
MID_OP5C_#009	\x0E\x03\x02\x08\x06マロン\nMa...\x0E\x04\x00\x00
MID_OP5C_#010	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\n\x0E\x04\x00\x00
MID_OP5C_#011	\x0E\x03\x02\x08\x06セピア\nTi sei comportata molto male.\nSe solo mi fossi stata a sentire...\x0E\x04\x00\x00
MID_OP5C_#012	\x0E\x03\x02\x08\x06マロン\nZe... phi... a...\x0E\x04\x00\x00
MID_OP5C_#013	\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06モーヴ\nMarni!\x0E\x04\x00\x00
MID_OP5C_#014	\x0E\x03\x00\x0C\x06マロン\x022\n\x0E\x03\x02\x08\x06マロン\nMauvier...\x0E\x04\x02\x00
MID_OP5C_#015	Mi dispiace... ho provato a salvarla, ma...\nnon sono stata forte abbastanza.\x0E\x04\x02\x00
MID_OP5C_#016	Se un giorno... dovesse tornare quella che era...\nLe diresti una cosa da parte mia?\x0E\x04\x02\x00
MID_OP5C_#017	Ti prego, dille che... è stata brava... va bene?\x0E\x04\x02\x00
MID_OP5C_#018	\x0E\x04\x00\x00
MID_OP5C_#019	\x0E\x03\x02\x08\x06モーヴ\nNon lasciarmi... Ti prego! Marni!\x0E\x04\x00\x00
MID_OP5C_#020	\x0E\x03\x02\x08\x06マロン\n\x0E\x04\x00\x00
MID_OP5C_#021	\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x02\x08\x06セピア\nOh, è morta fra le tue braccia? Che tragedia...\x0E\x04\x00\x00
MID_OP5C_#022	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nChe spreco. Farsi uccidere così, inutilmente.\x0E\x04\x00\x00
MID_OP5C_#023	\x0E\x03\x02\x08\x06モーヴ\n\x0E\x04\x00\x00
MID_OP5_2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nMarni... stava solo cercando di far tornare\nla vera Veyle.\x0E\x04\x02\x00
MID_OP5_2_#002	E tu le hai fatto questo?!\x0E\x04\x00\x00
MID_OP5_2_#003	\x0E\x03\x00\x0C\x06モーヴ\x023\n\x0E\x03\x02\x08\x06モーヴ\nNon starò mai più dalla tua parte, Zephia.\nUn giorno la mia spada trafiggerà il tuo cuore.\x0E\x04\x02\x00
MID_OP5_2_#004	Drago Divino, vi imploro! Permettetemi di\nlottare al vostro fianco.\x0E\x04\x02\x00
MID_OP5_2_#005	Per vendicare Marni... E per salvare lady Veyle!\x0E\x04\x00\x00
MID_OP5_2_#006	\x0E\x03\x02\x0A\x08リュール\nCerto, Mauvier.\x0E\x04\x00\x00
