MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nEheheh. Io e te ci capiamo.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nNon riesco a credere che sto parlando di moda\ncon la principessa Timerra! Sembra un sogno!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nミスティラ\nEhi, ho un'idea. Perché non cerchi qualche\nvestito per me un giorno di questi?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06フラン\nDavvero?! Davvero?!?! DAVVERO?!?!\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nミスティラ\nCerto. E io metto insieme qualcosa per te.\nCi agghindiamo come si deve!\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06フラン\nSembra un'idea fantastica!\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nミスティラ\nÈ deciso, allora!\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06フラン\nNon vedo l'ora di trovare gli abiti perfetti\nper voi!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nミスティラ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\n♪ Abiti stilosi, per tutti i gusti! Come mobili\nper il corpo, a trovar quelli giusti... ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nChe bella canzone, principessa Timerra!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\nCanto sempre quando sono contenta! Una volta\ntanto scelgo dei vestiti per qualcun altro!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nSei pronta?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nSì! Prontissima.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nAnch'io! Allora forza... fammi vedere cosa\nhai scelto!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nTenetevi forte. Per voi ho scelto...\nquesto abitino decorato!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\nSììì! Mi piace!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nSapevo che vi sarebbe piaciuto! Toccate\nla stoffa. È bella spessa.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nOh oh. Spessa?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nSì! I vostri vestiti sono così leggeri, così ho\npensato di cercarvi qualcosa di più caldo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nChe... pensiero gentile...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nChe c'è?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nEh? Oh, scusa! Mi piace davvero, Framme.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nSei pronta a vedere cosa ho scelto per te?\nTa-da! Una tunica rossa fiammante!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nCariiina...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nVero? E ho aggiunto degli accessori che\nfacciano risaltare ancora di più il colore.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nChe bella! È proprio del colore giusto. E sembra\nanche comoda e traspirante.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nミスティラ\nIhih. Ho pensato che qualcosa di carino\ne leggero potesse fare al caso tuo.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nUn momento. Oh, accidenti!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nQualcosa non va?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nMi sono appena ricordata di avere un impegno.\nCose principesche. Sai com'è.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nミスティラ\nMi dispiace, Framme. Continuiamo un'altra\nvolta, promesso!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x02\x08\x06フラン\nCaspita, che velocità.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06フラン\nChe strano, c'è qualcosa che non mi convince.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06フラン\nForse non le è piaciuto il vestito che ho\nscelto per lei...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nNon capisco.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nPerché è scappata via all'improvviso?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nArgh... Gaaah...
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nPrincipessa Timerra?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nPant... pant. Devo diventare più forte.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nSembrerebbe un allenamento.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nEh, già! Devo essere forte se voglio difendere\nil mio paese!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nOh. Uh...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nMi dispiace se ti ho mollata così l'altro giorno.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nOh, non importa! So che avete i vostri impegni\nufficiali.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nEro così concentrata a scegliere i vestiti,\nche mi era passato di mente l'allenamento.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nAh, era per quello?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nE io che credevo... Credevo che non vi fosse\npiaciuto il vestito che avevo scelto.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nNo, no! Mi piace, dico sul serio!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nMa allora... perché sembrava che ci fosse\nqualcosa che non andava?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nUh... Beh. Non fraintendermi.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nHai presente il regno di Solm? Fa tanto caldo lì.\nNon resisterei un quarto d'ora con quella stoffa\npesante.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nE poi ho bisogno di vestiti comodi\nper essere sempre pronta a combattere.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nOhhhh! Ora capisco.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nIl vestito era carino però, giuro!\nScusami se sono stata un po' evasiva.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06フラン\nNessun problema! Mi scuso per non esserci\narrivata da sola.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nNon è che potrei magari scegliere un altro\nabito per voi?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nQuesta volta sceglierò qualcosa di adatto\nal clima torrido del Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nAh, che bella idea! Va bene!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\nUn altro giro di acquisti con la mia amica\nFramme! Non vedo l'ora.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nミスティラ\nMa prima devo prepararmi alla prossima\nbattaglia. Altrimenti, altro che vestiti!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06フラン\nD'accordo. Vi lascio allenare.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nミスティラ\nIn realtà volevo chiederti di allenarti con me.\nChe ne dici?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06フラン\nAllenarmi con la principessa Timerra?\nÈ un onore!\x0E\x04\x00\x00
