MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0C\nスタルーク\nPrincipessa Hortensia, scusate se vi disturbo...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa cos-?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nIl vostro cuore candido è così brillante da\npalesare la nefandezza del mio!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nスタルーク\nQuindi vi prego, non avvicinatevi! Lasciatemi\nin pace! Oh, chiedo scusaaa!\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0E\x0Cオルテンシア\nQuel ragazzo ha fatto un'arte della sua\nmancanza di autostima.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nPrincipe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nUah! Principessa Hortensia!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nPrima di scappare, sappi che ho deciso di non\naiutarti più.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nHo capito che non c'è nulla che io possa fare\nper renderti improvvisamente sicuro di te\nstesso.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nMi sembra una decisione sensata. Non avrei\ndovuto chiedervelo fin dall'inizio...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nGià, ed è stato anche un gesto maleducato.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nCapisco. Chiedo ancora scusa.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nSe vi fa più comodo, siete libera di ignorarmi\nd'ora in avanti.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo. Mi rifiuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nEh?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nSei un grumo di pessimismo e magari non\ncambierai mai.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa non mi importa se cambi o no.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nCos-\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nCapisco perché sei venuto a chiedermi aiuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nPensavi che l'autostima ti avrebbe aiutato\nad avvicinarti agli altri, vero?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nBeh... non sbagliate, no.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nSperavo che migliorando la mia autostima\nsarei riuscito sviluppare la mia amicizia con\ngli altri...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nÈ un pensiero molto tenero, ma non devi\ncercare di cambiare te stesso per questo scopo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nCerto, sei un po' deprimente, ma che importa?\nHai anche tante buone qualità.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nÈ per questo che siamo amici. Non hai bisogno\ndi cambiare niente.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nVeramente? Vi ringrazio, principessa Hortensia...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nSono solo stata sincera.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nSiete sincera, ma anche gentile. Il vostro cuore\nemana ancora quella luce calda...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nMa questa volta non mi fa paura... Forse perché\nora vi capisco meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nWow! Mi stai persino guardando negli occhi!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nSì. Voglio riparare ai miei atteggiamenti. Mi\nvergogno per come sono scappato l'altra\nvolta...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nEhi, ora ti stai avvicinando troppo...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nSei un principe. N-Non puoi guardarmi così\ncon quegli occhioni...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cオルテンシア\nQuello è il miiiio ruolo! Uaaaah!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x02\x0C\nスタルーク\nPrincipessa Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nスタルーク\nEheh. Ora so come ci si sente a parlare con me.\x0E\x04\x00\x00
