MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAuuuh! Ti è piaciuta la festa, Rosado?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nMa a quanto pare, per alcuni, queste tattiche\nsono "poco consone e poco dignitose".\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nMa dico io! Se non facessi così non avrei tutti\nquesti nuovi fedeli!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nSi concentrano solo sugli aspetti negativi e\ntralasciano quelli positivi. Mi fa infuriare.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\nEh, sì, deve essere frustrante!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nBeh, ora sto meglio, mi sono sfogato.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nVedrai che tra un paio di giorni sarò di nuovo\nin forma.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ロサード\nNe sono convinto, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08ロサード\nEhi, Pandreo! Guarda qua.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パンドロ\nEh?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nHo fatto un quadro della tua chiesa.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nWow! Lo hai fatto per me? Come mai?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nVolevo farti vedere una cosa! Vedi questa\nsignora? Era davvero lì.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\nHa l'aria felice.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nEsatto! Ho cercato di cogliere la sua vera\nespressione. Si vedeva che era entusiasta di\nessere lì.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パンドロ\nAllora qualcuno sono riuscito a salvarlo\ndavvero.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パンドロ\nEcco a cosa amo dedicarmi. Portare gioia\nnelle vite dei fedeli.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nE lo stai facendo nel modo giusto!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nLa volta scorsa hai detto che quelli che ti\ncriticano si concentrano solo sugli aspetti\nnegativi.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nMa penso che anche tu abbia fatto questo\nerrore, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nIo? Dici?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nTi sei concentrato così tanto su cosa non va,\nche hai trascurato tutte le cose che invece\nfunzionano.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nAh!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nMa sai che forse hai ragione?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パンドロ\nGrazie, Rosado! Ora mi sento molto meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nD'ora in avanti non dubiterò più di me stesso!\nAndrò dritto filato per la mia strada.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ロサード\nAllora stasera si festeggia! Auuuh!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パンドロ\nCi sto! Auuuuh!\x0E\x04\x00\x00
