MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nDisturbo, Ivy?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nAspetta...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nCome fai a mangiarlo così, come se nulla fosse?\nCredevo fosse piccantissimo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nAdoro il cibo piccante!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nEh?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nMa mio padre aveva detto che non ti piaceva.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nAvrò capito male?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ヴェイル\nChe delizia! Non riesco a fermarmi!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nNon si può certo considerare una penitenza!\nPer me questo è un premio!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ヴェイル\nMa così non potrò farmi perdonare per\nil mio passato.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nSu, su.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nMeglio così. Buon per te se ti piace.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nMa non è il caso di commuoversi.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アイビー\nLady Veyle, la penitenza finisce qui.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ヴェイル\nCosa? Ma così non vale.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ヴェイル\nAdesso smetto di mangiare, eh. Ancora un\nattimo...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アイビー\nSe ti piace così tanto, finiscilo pure... Non mi\nva di buttarlo via.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08アイビー\nE poi... forse è meglio chiudere questa faccenda\nin allegria...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0A\x08アイビー\nIn fondo la tua allegria è contagiosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nIvy, volevo parlare della mia penitenza dell'altro\ngiorno.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nScusami ho spazzolato tutto. Non riuscivo\nproprio a trattenermi...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nAncora ci stai pensando? Credevo avessimo\nrisolto, ormai.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nPerò...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nAscoltami bene, lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nMio padre è stato manipolato dal Drago Maligno,\naffinché lo seguisse nel suo percorso distruttivo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nDi questo tu non hai nessuna colpa.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nNon mi sembri convinta.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nSai, ti capisco... Tutti non fanno che ripetermi\nche i peccati di mio padre non sono i miei...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nMa ciò non toglie che sia difficile crederci\ncompletamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nCome ti capisco...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nAssurdo, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nMa lascia che te lo ripeta: tuo padre era tuo\npadre. Tu sei tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nAnche se io stessa faccio fatica a farmi entrare\nin testa queste parole, quando le dicono a me.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nTuttavia... dobbiamo ascoltarle. E fare del\nnostro meglio per imprimercele nella mente.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nIvy...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ヴェイル\nVa bene, prometto che non ti chiederò più di\nfarmi espiare le mie colpe.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nUna richiesta però ce l'ho.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nVorrei che ci impegnassimo insieme a creare\nun mondo dove nessuno debba subire quello\nche abbiamo subito noi.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nMi trovi d'accordo.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nPrometto che d'ora in avanti non penserò più\nalle mie colpe passate.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nAiutiamoci a vicenda... In fondo entrambe\nsiamo passate attraverso sofferenze simili.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nPosso contare su di te?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nCon piacere.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アイビー\nGrazie, lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nGrazie a te.\x0E\x04\x00\x00
