MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nFinito... Ho finito. Maledizione, e ora che faccio?\nCosa mi terrà in *vita*?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nE non è una bella cosa... se posso chiedere?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nSì. Era la mia *intenzione* dall'inizio.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nIn quanto istruttore sono *orgoglioso* di vederlo\nspiccare il volo.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nMa come padre, sono *consumato* dal vuoto\nche ha lasciato.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nCapisci ora il mio problema, Citrinne? Avresti\nuna *soluzione*?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nシトリニカ\nUhm... Potrei comprarti un altro uccellino simile.\nO mandare qualcuno a cercarlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nNo, no. Non funzionerebbe *così*...\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nシトリニカ\nIn tal caso non vedo cosa potrei fare per\naiutarti.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nCapito. Allora è inutile abusare del tuo tempo.\nQuesto *fardello* è tutto mio.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0C\nシトリニカ\nMi dispiace, Zelkov. Se potessi aiutarti, lo farei.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nZelkov, come te la passi?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nHo provato a cercarmi un nuovo obiettivo...\nma sono ancora *consumato* dal senso di\nvuoto.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nOh, che peccato.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nシトリニカ\nScusami allora se approfitto di te in un\nmomento così triste, ma potresti aiutarmi\nun attimo?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nDi cosa hai *bisogno*?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\nEcco. Leggi qua.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\n"Mio figlio è un gran pigrone. Come posso\nconvincerlo a rimboccarsi le maniche?"\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n"Il mio amore mi ha lasciato. Tutti dicono che\ndovrei tirarmi su, ma non ci riesco. Come faccio\na guardare avanti?"\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nCosa mi hai dato da *leggere*?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nUna raccolta di problemi di alcuni giovani\nbrodiani. Ricevo lettere da loro o anche dai\ngenitori.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nE perché farle leggere a *me*?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nA volte aiuto la famiglia reale offrendo\nconsulenza alle persone che hanno problemi.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nMa questa volta... ho ricevuto un bel po' di\nrichieste. La tua assistenza mi farebbe comodo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nCitrinne... La tua *compassione* è straordinaria.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nMh?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nDare *assistenza* a queste persone potrebbe\nproprio essere il genere di obiettivo che mi\nserviva per superare la mia perdita.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nEra la tua *intenzione* fin dall'inizio, o sbaglio?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nEheh, tu esageri. Non sono stata così\nlungimirante.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nComunque... perché non ti scegli una persona e\ncominci a scrivere una risposta?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nSicuramente trarrebbe beneficio dai consigli\ndi qualcuno maturo come te.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nVa bene, va bene. Mi metto subito all'*opera*.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nZelkov! Sono allibita!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nHai davvero scritto a tutte le persone della\nlista?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nEbbene *sì*. Non c'è voluto niente.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nOttimo lavoro. Sono tutti molto riconoscenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nMi fa piacere... anche se non è bastato a\nliberarmi del mio *dolore*.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nOh, mi dispiace.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nCiononostante, ultimamente ho cominciato a\nnutrire un certo *ottimismo*.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nDici davvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nMi è successo *qualcosa* mentre scrivevo a\nquesti individui sofferenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nMi sono sembrati, a modo loro, dei *passerotti*\nche devono imparare a volare.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nI miei consigli li aiutavano a gestire i problemi\nda soli. In modo da poter lasciare il *nido*.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nProprio come il mio *piccolo* passerotto.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nMi è stato utile questo *punto di vista* quando\nscrivevo le lettere.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nCapisco.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nTi *ringrazio*, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nシトリニカ\nMa che dici? Sono io che devo ringraziare te!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nMa tu hai chiesto il mio aiuto, *ben sapendo*\nche ne avrei beneficiato a mia volta.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nシトリニカ\nEheh, non so proprio di cosa parli.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nAhah, sei una gran brava persona.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nOra devo proprio lasciarti. Devo cercarmi\nun nuovo *obiettivo*.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nSono sicura che sarà qualcosa di fantastico.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nGrazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nOh, ancora una *cosa*.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nOh? Dimmi pure.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nContinuiamo a coltivare la nostra amicizia.\nÈ diventata *importante* per me.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nEheh. Non temere, Zelkov. Non volerò via.\x0E\x04\x00\x00
