MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nSpiriti delle carte, gettate la vostra luce su di me\naffinché possa vedere il giusto cammino!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nCon tutte le cibarie che ti ho fatto provare ormai\nho capito il trucchetto: basta che sia dolce e\ntu trangugi di tutto!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nNon ne sarei tanto sicuro...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nSei un bravo ballerino sai. Hai grazia, ma anche\nforza.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nHai avuto un maestro?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nSì... nel gruppo itinerante. È lì che ho imparato\na ballare.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nMa purtroppo non c'è più.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nÈ morto durante un attacco alla carovana. Mi\nha protetto fino all'ultimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nOh, no...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nNon sono mai riuscito a sdebitarmi con lui.\nQuesta tragedia è stata l'unica cosa che non\nsono riuscito a prevedere.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nMa la sua tecnica vive dentro di te, non pensi?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nLo spero. Ma ho tanta strada da fare prima\ndi arrivare al suo livello.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セアダス\nNel mentre cerco di onorarlo incantando il\nmio pubblico con la sublime arte della danza.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クロエ\nE ci stai riuscendo appieno.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セアダス\nAhah. Grazie, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nOra che ho lo stomaco pieno, mi rimetto a\nballare.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セアダス\nPensavo di ringraziarti con un'esibizione\nspeciale, ma che ne diresti invece di ballare\ncon me?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クロエ\nNe sarei lieta!\x0E\x04\x00\x00
