MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04エル\nAmmiro la tua attitudine, Lyn. Si vede che\nhai vissuto una vita carica di significato.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x06\x04リン\nCredo mi vengano naturali. Vivendo nelle\npianure avevo spesso a che fare con animali\ne banditi.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nラファール\nChiunque può migliorare facendo pratica,\nma nel tuo arco risiede una forza superiore.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファールRiesci a infondere il tuo sangue freddo nelle\ntue frecce. Sei parte della tua arma, tanto\nquanto lei lo è di te.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x06\x04リン\nÈ un pensiero fin troppo profondo per me, ma\nin effetti devo ammettere che quando sono\nnervosa manco di precisione.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x06\x04リン\nForse ottengo il massimo quando ho degli\namici al mio fianco. Ecco perché sono lieta\ndi averti con me.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nHo la sensazione che andremo\nmeravigliosamente d'accordo, Lyn.\nE il mio intuito non sbaglia mai.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x06\x04リン\nStavo proprio pensando la stessa cosa.\nMi fa piacere vedere che tieni molto agli amici,\nZelestia.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSei un'arciera fenomenale, Lyn. Le tue frecce\nsembrano quasi attirate dal bersaglio!\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x06\x04リン\nOh, grazie. Nelle prossime battaglie cercherò\ndi fare ancora meglio! I nemici non avranno\nscampo!\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSono contenta di avere il tuo appoggio. Siamo\ndiverse, ma ti considero una cara amica.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x06\x04リン\nGrazie. Gli amici sono ciò che mi dà forza,\nin ogni sfida che si presenta.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x06\x04リン\nE scommetto che anche tu la pensi così, dico\nbene? Si vede quanto tieni al Drago Divino\ne ai Quattro Venti.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nMi rincuora sapere che la pensiamo allo stesso\nmodo e sappi che tengo molto anche a te.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMi piace il tuo modo di combattere nelle\nretrovie. Lascia un margine di fuga. Penso\nproprio che andremo d'accordo, noi due.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x06\x04リン\nGuarda che non ho mica scelto l'arco con\nl'intento di darmi alla fuga. Però spero anche\nio che andremo d'accordo.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nグレゴリー\nC'eri tu con me, eppure mi sono fatto prendere\ndal terrore. Perdonami... sono un codardo senza\nsperanza.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x06\x04リン\nNon ho mai pensato che tu lo fossi. Ho visto\ncon che coraggio affronti le battaglie.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nGregory, ascoltami bene. Ora ti spiegherò\nperché non ti considero un codardo.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x06\x04リン\nSei cauto, questo è vero, ma non sono\nle battaglie ciò che temi. Hai solo paura\ndi mettere i tuoi compagni in pericolo.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nOh... grazie. Mi hai osservato bene.\nNon so se potrò sdebitarmi...\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nMa farò del mio meglio per dimostrarti che\nhai ragione. Se pensi che io sia coraggioso,\ncercherò di esserlo davvero.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nマデリーン\nUn insetto! Ma non temere... lo sistemo, ehm, io.\nDammi solo un attimo, faccio un bel respiro...\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x06\x04リン\nNon ce n'è bisogno. So che in molti non li\namano, ma a me gli insetti non danno fastidio.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nマデリーン\nHo sentito che eri una nomade delle pianure.\nQuesto spiega come mai non hai paura degli\ninsetti.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x06\x04リン\nVedendoli ogni giorno, impari a capire quali\nsono pericolosi e quali no. È una questione\ndi abitudine.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nマデリーン\nLady Lyn, so che una cavaliera non dovrebbe\nmai perdere la propria compostezza, ma io...\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x06\x04リン\nTi riferisci al tuo problema con gli insetti?\nNon è il caso di dare troppo peso a queste cose.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x06\x04リン\nNon pensare alle debolezze. Concentrati sui tuoi\npunti di forza e impegnati sempre al massimo.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nChe sollievo sentirtelo dire. Se si tratta\ndi impegnarsi, non ho rivali!\x0E\x04\x00\x00
