MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x06\x04ルイ\nAh, Yunaka. Appena in tempo.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nLa vostra famiglia è davvero fortunata, allora.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nEheh. Probabile. E la tua di famiglia? Stanno\ntutti bene?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\nL-La mia famiglia?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nAh... Ecco, come dire... A dire il vero...\nCome posso dire... avete capito?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nOh. Ritiro la domanda.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ルイ\nToglimi una curiosità, Yunaka. Hai mai provato\nl'uva zuccherata nel tè?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nL'uva...? Nel tè? Decisamente no. Perché,\nè buona?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x06\x04ルイ\nPermettimi di fartela assaggiare. È una\nspecialità delle mie parti, spero che ti piaccia.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ユナカ\nWow! Non vedo l'ora. Grazie, Louis!\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x06\x04ルイ\nEheh, di niente. Nulla di meglio di un sorriso\nper accompagnare un buon tè.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nLouis! Ehi! Salve!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nCiao, Yunaka. Che sorriso allegro e radioso!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nGh, bleah. Dateci un taglio, le smancerie non\nfanno per me.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nAd ogni modo, ho qualcosa per voi. Nulla di che,\nè solo un pensierino per ringraziarvi. Ecco!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nOh, mi basta un'occhiata per vedere che queste\nfoglie di tè sono di ottima qualità.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nSapevo che lo avreste capito al volo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nCon tutte le volte che mi avete offerto il tè,\ntemevo sareste rimasto senza.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nNon è molto, ma vi prego di accettarlo. È per\nuna buona causa.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nGrazie, lo accetto con piacere.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nAnzi, penso persino di approfittarne subito.\nNaturalmente sei la benvenuta.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nOh, siete sicuro? Non vorrei che il mio sembri\nun regalo interessato...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ルイ\nIl tè è più buono se gustato in compagnia. E le\nnostre conversazioni sono sempre stimolanti.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nUh... Conversazioni, dite...?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nNaturalmente è piacevole parlare con voi...\nma non vorrei mai farmi sfuggire qualcosa...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nPrego?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nEh?! Uhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nMi sono appena ricordata di... un impegno!\nPer il tè... dovremo rimandare, spiacente.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ルイ\nOh. Che disdetta.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nSperavo di poterti parlare un po' di me.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nE così volevate... parlarmi di voi per tutto\nil tempo?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nSì. Oggi mi andava così.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ユナカ\nOh, in tal caso posso rimandare il mio impegno.\nLo faccio solo per voi, naturalmente.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ユナカ\nSono un'ottima ascoltatrice, potete raccontarmi\ntutto quello che volete senza trascurare neanche\nun dettaglio!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ルイ\nEheh. Perfetto. Metto su l'acqua.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nIncredibile, Louis! Stento a crederci! È tutto\nvero?!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nParola per parola.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nHo offerto il tè alla famiglia reale firenese\ndurante il mio esame da cavaliere.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ルイ\nLa mia maestria nel campo ha contribuito a\nfarmi ottenere la posizione.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\nSo che siete bravo... Ma davvero preparare\nil tè è una qualità richiesta per diventare\nun attendente?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ルイ\nA quanto pare erano richieste anche delle abilità\ndomestiche, oltre a quelle nel combattimento.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nBuon per voi. In questo nessuno vi supera.\nLi avrete lasciati di stucco!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nEheh, grazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nOh Louis, potrei ascoltarvi per ore.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nAd ogni modo... Mi sento un po' in colpa a\nfarvi scomodare per me ogni volta.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nParlate solo voi, mentre io me ne sto qui ad\nascoltare... Immagino sia faticoso.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nForse ve ne sarete accorto... Non amo molto\nparlare di me stessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nSì, non mi era sfuggito.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nVedete, piuttosto che mentire o dare risposte\nvaghe, preferisco stare zitta. Soprattutto con\ngli amici.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\nEcco perché non parlo molto del mio passato\no di me stessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nNon c'è nulla di male.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nAnche senza andare a scavare nel tuo passato,\nposso vedere che ci capiamo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nDavvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nBasta un tè e un po' di compagnia. Non ha\nimportanza di cosa parliamo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nMi fa piacere aver trovato qualcuno che mi\nascolti. Sono una persona piuttosto loquace,\navrai notato.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nSo che ascoltare può essere faticoso, quindi\nti ringrazio per esserti subita tutte le mie\nchiacchiere.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nOh, Louis...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nSe vuoi partecipare anche tu, possiamo parlare\ndei nostri paesi natii, degli amici, del futuro...\ndi qualsiasi cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\nSiete sicuro di volere l'amicizia di qualcuno\nche non parla mai del proprio passato?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ルイ\nMa certo.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ルイ\nSono amico della persona che sei. Non mi\ninteressa il tuo passato.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nE ora se vogliamo continuare, sarà meglio che\nprepari dell'altro tè.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06ユナカ\nGrazie, Louis...!\x0E\x04\x00\x00
