MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06クロエ\nTi prego, Bunet!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nE ora ammira... il cibo da bancarella definitivo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クロエ\nChe meraviglia! Questo è proprio l'aspetto senza\npretese che deve avere il cibo da bancarella!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nIl successo non si ferma all'aspetto esteriore.\nPrego, assaggia.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nChe emozione...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nAccidenti! Quella spezia ha fatto la rivoluzione\nsulla mia lingua.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nMa la salsa aiuta a riprendersi e la consistenza...\nè davvero incredibile!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nÈ questa sensazione che mi ha fatto innamorare\ndel cibo da bancarella! Se lo vendessero da\nqualche parte lo mangerei ogni giorno!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nChe strano... all'inizio ero commosso dalla\ntua passione per il cibo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nMa ora ho capito che questo è per me un passo\nnecessario verso l'eccellenza gastronomica.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ボネ\nChe sia servito su un piatto di porcellana o in\numile carta, il buon cibo è sempre buon cibo.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nIl cibo da strada può portare gioia tanto quanto\nle pietanze dei banchetti regali.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クロエ\nProprio così! Grazie, Bunet!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nE adesso... qual è il prossimo piatto che vuoi\nmangiare?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06クロエ\nVuoi dire che sei pronto a prepararmi\nqualcos'altro?!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ボネ\nPer me è sempre un piacere accogliere\nle richieste dei veri amanti del cibo.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06クロエ\nNon scherzi? Avrò altro cibo da bancarella di\nqualità? Mi viene da piangere dalla felicità.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04ボネ\nNon piangere. Tanto io e il mio cibo non\nandremo da nessuna parte.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06クロエ\nHai ragione... allora dammi un po' di tempo\nper pensarci.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06クロエ\nIl prossimo cibo da bancarella che mi preparerai\nsarà una roba da favola!\x0E\x04\x00\x00
