MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nWah! Gah!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nSpero non sia stata troppo una scocciatura.\nScusami ancora.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nUno del vostro rango non ha bisogno di scusarsi\ncon un'attendente, principe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nDa quando in qua mi dai del voi?\nSicura che sia tutto a posto?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nVa tutto bene. Chiedo scusa ora, Altezza.\nHo delle commissioni da fare...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nAspetta. Spiegami cosa sta succedendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nPer favore, sono in una posizione scomoda.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nChe intendi dire?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nÈ sconveniente farmi vedere a parlare in modo\ninformale con l'erede al trono di Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nSiamo cugini, ci conosciamo da una vita. Come\nmai tutto a un tratto dici questo?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nAi nobili non è piaciuta la risposta. Ora devo\nfare più attenzione quando siamo insieme.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nGirano delle voci. Dicono che la mia famiglia sia\nin combutta con l'erede al trono.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nAh. Ho capito.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nTi ho dato un bel fardello, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nNon importa, principe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nNon avrei dovuto chiederti questo favore.\nMa adesso sistemo tutto.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nNo! Rischiereste di complicare le cose.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nNon ho altra scelta. Mi hanno privato di mia\ncugina e la rivoglio com'era!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nE va bene, mi arrendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nTorno alle nostre chiacchiere informali... ma\npromettimi che non farai niente di avventato.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nCosì va meglio. E non preoccuparti.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nシトリニカ\n"Non preoccuparti" non è una promessa,\nDiamant. Devi promettermelo!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nTe lo prometto. Ti fidi di tuo cugino?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nE ora come faccio...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nPossibile che Diamant non riesca a comportarsi\ncome un futuro re?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nHo sentito il mio nome. Avevi bisogno,\nCitrinne?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh. No, stavo... parlando tra me e me. Posso\nfare io qualcosa per te?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nVolevo dirti che ho spedito una lettera ai nobili.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nCosa hai fatto?! Ma perché? Mi avevi promesso\nche non avresti peggiorato le cose!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nTranquilla, non ho fatto il tuo nome.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nHo chiarito tutto. Non farò guerre, ma mi\nimpegnerò per un futuro prospero in Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nDovrebbe bastare a mettere a tacere le voci,\nno? Niente più teorie di complotto.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nForse sì...\x0E\x04\x02\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nMi dispiace che tu ti sia trovato questo\ngrattacapo, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nNo, scusami tu se ti ho rifilato questo compito.\nAvrei dovuto rispondere subito io ai nobili.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nE in modo più diretto. Troppi giri di parole non\nhanno fatto che causare quelle voci.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nSpero che le cose si sistemino in fretta.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nMi mancano i balli, mi manca danzare senza\npensieri per la testa... Torneremo mai a farlo?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nDipende se riuscirò a compiere il mio dovere.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nVorrai dire, se riusciremo tutti a compiere\nil nostro dovere.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nHai ragione. Dobbiamo unire le forze, se\nvogliamo portare la pace in Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nSpero che continuerai sempre a motivarmi così,\nCitrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nMa certo. Sei mio cugino, ma siamo\npraticamente come fratelli.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nGià, lo penso anch'io. Spero che ciò non cambi\nmai.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nDiamant... Giochiamo a guardie e ladri?\nCome facevamo da piccoli?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nSicura che non vuoi giocare a fare\nla principessa?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nNo, una volta tanto ho voglia di rincorrerti...\nTi acchiappo!\x0E\x04\x00\x00
