MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nSai una cosa, Rosado? Sei proprio carino, l'ho\nsempre detto.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nVengo da un villaggio nei pressi del Lago\nMisterioso. È conosciuto come il villaggio delle\nfate.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nÈ un luogo meraviglioso, dove regna la bellezza\nal di là di sciocche questioni come il genere.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nWow! Non lo avevo mai sentito nominare.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nIn quel villaggio siamo tutti accettati per come\nsiamo, belli e liberi di essere come vogliamo,\nsenza imposizioni.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nTutto ciò era normale per me, mentre crescevo.\nSolo dopo aver lasciato il villaggio ho scoperto\nquanto fossi diverso!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nMa in fondo mi piace esserlo. E vorrei che tutti\naccettassero le loro diversità.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nStai dicendo... che è bello essere diversi?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\nNon solo bello: spettacolare! Le differenze sono\nciò che ci rendono... unici!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\nIn un certo senso, l'aver lasciato il mio villaggio\nmi ha dato ancora più fiducia in me stesso.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nUhm... Quindi ti senti sicuro di te stesso,\ngrazie alla tua unicità. Mi piace.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ロサード\nNe sono contento. Spero che possa esserti\ndi aiuto.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nSì, grazie. Le tue parole mi hanno colpito molto.\nContinuiamo il discorso un'altra volta, va bene?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nCerto! Quando vuoi!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nRosado, grazie per le tue parole dell'altro\ngiorno. Ci ho pensato e... credo di essere\ndiversa pure io.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\nRaccontami tutto! Voglio sapere cosa ti rende\nunica.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nD-Dunque... La mia famiglia è... povera. Molto\npovera. Mi sono sempre sentita emarginata.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ラピス\nE come se non bastasse mi piace anche\nmangiare le erbacce e ho questa forza\nfuori dal comune.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nQuando comincio a fissarmi su queste stranezze\ndiventa difficile trovare fiducia in me stessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nMa queste non sono brutte cose! Conosci\nle piante, sei forte... A me pare fantastico!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nMessi così, sembrano quasi aspetti positivi...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nMa ti vergogni a parlarne il più delle volte, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nEsatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nNon so se possa esserti utile... ma ti svelo\nun segreto. Ti ho sempre ammirata, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nTu? Ammiri una come me?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nSì, anche quando eravamo ancora l'uno contro\nl'altra, al Grande Passaggio.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ロサード\nIl modo in cui brandivi quello spadone...\nChe potenza, e che stile!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nEro così invidioso. Sapevo di non essere a quel\nlivello.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nD-Davvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nEh, già. Come fai a essere così forte,\na proposito? Fai un allenamento speciale?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nNo. L'allenamento non c'entra. Al mio villaggio\nho combattuto contro molti orsi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nOrsi! Ma allora si può dire che la tua forza è\nfrutto delle tue origini e del tuo ambiente.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nSì... Sì, credo che tu abbia ragione!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nGrazie, Rosado. Le tue parole mi danno molta\nfiducia.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nUn giorno sarò in grado di dire con orgoglio:\n"Se sono quella che sono è grazie al mio\nvillaggio!"\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ラピス\nMagari non adesso... Un domani.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nMi sembra un valido obiettivo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nQuando sarà il momento, potrai persino\nfare il tuo annuncio roteando lo spadone!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ラピス\nCerto. Userò uno spadone ancora più grande,\ncosì potrai vederlo da lontano!\x0E\x04\x00\x00
