MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nMi hai trasmesso una nuova speranza.\nSenza di te mi sarei arres\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nQuando ti vedo lavorare a maglia mi ricordi mia\nmadre. Lo faceva spesso quando ero piccola.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nOh? Sono sicuro che fosse una persona\nfantastica. Ah, per quanto riguarda quel\nmaglione...\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nQuello decorato con la mia faccia. L'ho finito.\nA chi potrei darlo?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06ルキナ\nOh, che bello! Al Drago Divino piacerà molto,\nme lo sento. Non c'è regalo migliore!\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06クラン\nÈ vero che hai legami di sangue con lord Marth?\nNon sapevo che gli emblemi potessero essere\nimparentati.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06ルキナ\nÈ un mio antenato, sì. Cerco sempre di\ndimostrare di essere degna di questa parentela.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06クラン\nIo sono come te e lord Marth! Noi valletti del\ndrago passiamo questo lavoro di generazione\nin generazione.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06ルキナ\nQuesto significa che i tuoi antenati devono\naver lottato al fianco del Drago Divino un\nmigliaio di anni fa.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06クラン\nStavo pensando ai legami di sangue e a come\nla mia discendenza continuerà anche quando\nnon ci sarò più.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06ルキナ\nAnche i valletti. Entrerai a far parte della loro\nstoria e faranno di tutto per essere eroici\ncome te.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06ルキナ\nProprio come io ho cercato di diventare\nqualcuno di cui re Marth sarebbe orgoglioso.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nMi hai ispirato, lady Lucina. Mostrerò a tutti\ni valletti come diventare un eroe.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06フラン\nLady Lucina! Ti prego, lascia che ti aiuti.\nSe hai delle mansioni o delle commissioni,\nlascia fare a m- Uaah?!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06ルキナ\nFramme? Stai bene? Eri così entusiasta che sei\ncaduta!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06フラン\nOgni volta che voglio rendermi utile, mi\nentusiasmo troppo e finisce sempre male.\nUffi, è frustrante...\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06ルキナ\nNon preoccuparti, capita a tutti di sbagliare.\nL'importante è che tu non ti faccia male.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06フラン\nLady Lucina, vorrei tanto essere come te. Sei\nsempre così matura e posata.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06ルキナ\nNon sono composta come sembra. Ho rotto\nmolte cose quando mi allenavo. Non sai quanti\nmuri ho bucato.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06ルキナ\nE poi, Framme, la tua esuberanza fa parte del\ntuo fascino. Spero che non cambierai mai.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nMi fa molto piacere sentirtelo dire, lady Lucina!\nSe ti piaccio vivace, sarò vivace per sempre!\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nSei il principe di Firene, dico bene? Il mio anello\nera custodito dalla tua nazione mille anni fa.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nDavvero? Eri in Firene così tanto tempo fa?\nMh. Beh, sono contento di riaverti tra noi.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMa se mille anni fa eri nell'anello del Firene,\nperché poi hai cambiato paese?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06ルキナ\nPer volere di Lumera. Non so che motivi avesse,\nma sicuramente avrà ritenuto fosse necessario.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nQuindi conoscevi i reali di Firene di mille anni\nfa. Dimmi, i miei antenati erano... muscolosi?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06ルキナ\nDi sicuro erano forti. Ma a quel tempo...\nnemmeno la loro forza riuscì a salvarli.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06ルキナ\nNon permetterò che succeda di nuovo.\nFarò quanto in mio potere per proteggervi.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nAnch'io farò in modo che tu non debba\naffrontare di nuovo una situazione del genere.\nResisteremo fino alla fine!\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nDimmi, cosa si deve fare per avere dei muscoli\ncome i tuoi?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nBeh, personalmente leggo e vado a pesca.\nTi soddisfa questa risposta?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nNon avevo mai pensato che leggere e pescare\ncontribuissero a creare un corpo perfetto!\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nSono solo le mie attività preferite. Ma i muscoli\ndipendono dalla mia corporatura.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nブシュロン\nAnche gli emblemi si allenano, allora. Ma dovete\nfarlo spesso?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06ルキナ\nNon è mai abbastanza. Il mio corpo deve essere\nin forma perfetta, se voglio salvare il mondo.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nSe esageri, però, invece di potenziarlo\nlo rovinerai. Che ne dici di fare una pausa\ncon un bel libro?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x08\x06ルキナ\nSe questo è quello che mi consigli, va bene.\nMi leggeresti una delle tue storie preferite?\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nエーティエ\nCome mai stai fissando quel fiore?\nChe succede?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x08\x06ルキナ\nNel mondo dove sono cresciuta non ce n'erano\nmolti. Sono una novità per me.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nエーティエ\nDa come ne parli, sembra che tu abbia avuto\nun passato molto duro. È per questo che sei\ndiventata così forte?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06ルキナ\nNon ci ho mai riflettuto bene, ma è possibile.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nエーティエ\nEhi, Lucina. C'è qualcosa in particolare che ti\npiacerebbe fare dopo la guerra?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06ルキナ\nMmmh... Prima di tornare nel mio anello, mi\npiacerebbe visitare dei posti nuovi.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x08\x06ルキナ\nVorrei vedere molti fiori. Mi piacciono.\nPer me rappresentano la pace.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nMa allora devi venire nella mia città!\nSe ti piacciono i fiori, l'amerai di sicuro.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSalve, Lucina. Grazie per il supporto in battaglia.\nHai tempo per fare due chiacchiere?\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x08\x06ルキナ\nCertamente. Conoscere i propri alleati può\nrisultare utile in battaglia. Parlami un po' di te.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nPiù mi parli della distruzione dell'Ylisse,\npiù mi rendo conto di aver vissuto una vita\nmolto ovattata.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06ルキナ\nNon sono d'accordo. Te la cavi come chiunque\naltro in battaglia. Il Firene avrà un destino\nmigliore della mia terra.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSecondo te cosa bisogna fare per raggiungere\nla pace, Lucina?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06ルキナ\nSperimentare modi pacifici di risolvere le\ndispute, tanto per cominciare. La violenza\ndovrebbe essere solo l'ultima risorsa.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x08\x06ルキナ\nDetto questo, userò comunque la mia spada\nper proteggere le persone care.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nSu questo mi trovi d'accordo. Diamoci da\nfare per riportare la pace, con ogni mezzo\npossibile!\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04ルイ\nSembra proprio che tutti ti adorino, Lucina.\nLo trovo semplicemente straordinario.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06ルキナ\nEhm... è strano? Mi sembra di avere un numero\ndi amici nella norma. Non più di altri.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04ルイ\nMa dimmi... preferiresti avere qualcuno con cui\npuoi interagire come con una sorella maggiore o\nessere trattata tu stessa in questo modo?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06ルキナ\nMi sentirei a disagio a essere trattata così,\nma sarebbe bello avere una figura del genere\naccanto a me.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nLouis, posso sapere perché mi fai tutte queste\ndomande?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nDevo per forza avere un fine particolare?\nSono solo interessato alle persone e al modo\nin cui socializzano.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x08\x06ルキナ\nQuindi ti piace osservare le persone. Capisco.\nMa perché ti interesso così tanto?\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04ルイ\nPerché no? La tua storia è così curiosa. Non\nposso fare a meno di esserne affascinato.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06クロエ\nEhi, Lucina. Se hai tempo, ti andrebbe di venire\ncon me al mercato?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06ルキナ\nCon piacere. Mi incuriosiscono i luoghi\ndi aggregazione di questo mondo.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nNon avevo mai visto nessuno dei cibi che mangi,\nChloé. Sono normali in questo mondo?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nIl cibo che ho appena comprato non è cibo per\ntutti i palati. Amo i sapori particolari!\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nQuesta grande varietà di cibi mi fa capire\nche in questo mondo c'è ancora speranza.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\nSono d'accordo! Tuttavia, molte bancarelle\nstanno chiudendo.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06ルキナ\nTroveremo una soluzione. Riporteremo la pace\nin questo mondo in modo che possano riaprire.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nCosì potremo di nuovo mangiare tutto quello\nche vogliamo, eh? Un motivo in più per\ncombattere!\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAnche tu, come me, eri destinata al trono,\nLucina. Vorrei sapere, secondo te, che qualità\ndeve avere un buon sovrano.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06ルキナ\nCerto. Non sono mai salita al trono, ma mi fa\npiacere mettere a confronto i nostri punti di\nvista.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHai combattuto con tenacia mentre il tuo\nmondo cadeva in rovina. Non so se ce la farei.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06ルキナ\nTi ho visto combattere con ardore. Sono sicura\nche anche tu daresti il massimo fino alla fine.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSe perdiamo anche gli ultimi soldati rimasti,\nper la Brodia sarà la fine. Non possiamo\npermetterlo...\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06ルキナ\nSo quanto è dura lasciare indietro dei soldati.\nDobbiamo vincere questa guerra anche per loro.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x08\x06ルキナ\nLa Brodia non cadrà in rovina, Diamant.\nNon dovrai affrontare le mie stesse sofferenze.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nGrazie, Lucina. Mi sento sollevato. Anche se non\nhai mai regnato, hai lo spirito di una sovrana.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nMi hanno detto che sei un eroe molto\nacclamato, Amber. Mi racconteresti qualcuna\ndelle tue avventure?\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08アンバー\nMa certo! Ti racconterò le mie leggende\npreferite... ma prima qualche storia sugli alpaca.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08アンバー\nEhi, Lucina! Guarda questi abiti nuovi!\nNon sono fantastici?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x08\x06ルキナ\nL'alpaca ricamato al centro è così grande...\nmi piace molto! Il tuo stile è davvero\ninteressante!\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08アンバー\nEhi, Lucina! Sto andando a cercare un'arma\nleggendaria. Vuoi venire con me?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x08\x06ルキナ\nUn'arma leggendaria?! Se ne avessimo una,\npotremmo assicurarci la vittoria di questa\nterribile guerra.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06ルキナ\nMa immagino che la missione che ci attende\nnon sarà affatto facile. Hai già un piano?\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nBeh, io conosco centinaia di leggende.\nSe le proviamo tutte, alla fine un'arma\nleggendaria la troveremo!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nHo sentito che scrivi dei racconti divertenti,\nJade. Potrei leggerne qualcuno?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nCerto, Lucina. Non so se li troverai divertenti...\nma spero che ti piaceranno.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nIl tuo racconto era divertentissimo, Jade!\nChe risate quando il protagonista parte da casa!\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nQuella dovrebbe essere una scena drammatica!\nDevi avere un senso dell'umorismo particolare...\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHai finito il resto del racconto, Lucina? Sono\ncuriosa... Quali parti hai trovato divertenti?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06ルキナ\nOh, tante! Questa parte... e anche quest'altra.\nE poi questa pagina. Ho riso tantissimo!\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nMa dai! Il finale?! Davvero? Interessante.\nMi hai dato da riflettere. Mi sa che ti darò\nancora qualcosa da leggere.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06ルキナ\nOh, sì, ti prego! Sei una fantastica scrittrice,\nJade. Non vedo l'ora di leggere qualcos'altro!\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nIl tuo stile di combattimento è un piacere per\ngli occhi, Alcryst. Dove hai imparato queste\ntecniche?\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nBeh, mio padre mi ha costretto a seguire\nun rigido allenamento da piccolo.\nNon è... un bel ricordo.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nAnch'io ho imparato da mio padre, proprio\ncome te Alcryst. Abbiamo una cosa in comune!\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nNon merito di essere paragonato a voi, ma\nmi piacerebbe saperne di più su vostro padre.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nスタルーク\nCi sono così tante persone meravigliose nelle\nnostre fila. Non sono degno di stare al vostro\nfianco.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x08\x06ルキナ\nNon è vero, Alcryst! Come farei, se non ci fossi\ntu?\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x08\x06ルキナ\nHo ancora così tanto da imparare, così tanto da\ncrescere. Spero che continuerai a combattere\nal mio fianco.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\nNon credo di essere all'altezza... Ma se davvero\nnecessitate del mio aiuto, vi donerò tutta la mia\nforza.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nPerché hai con te così tanti attrezzi, Lapis?\nStai andando ad aggiustare qualcosa?\x0E\x04\x00\x00
