MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nEhi, Jade! Posso?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nVolete darmi un gioiello? Ma non sarebbe un po'\nuno spreco?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nEh? E perché mai?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nAnche se, ora che ci penso... non sei una che\nama indossare gioielli, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nInfatti no.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nPer me i gioielli non sono da indossare, ma da\nproteggere.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nAl mio paese lavoravo come guardiana della\nminiera. I banditi non ci lasciavano mai in pace...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ジェーデ\nQuindi non mi sentirei a mio agio a indossare un\ngioiello. Avrei l'istinto di metterlo al sicuro per\npaura dei ladri.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nBeh, sarebbe un peccato...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nSì, vedo che mi capite.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nNo! Veramente intendevo che è un peccato\nche una bella ragazza come te rinunci\na indossare gioielli!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nÈ deciso. Andremo nella miniera e troveremo\nle gemme più belle che tu abbia mai visto.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nミスティラ\nE ti farò indossare quel gioiello, parola di\nTimerra!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nE anche oggi niente gemme... Da non crederci.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nLe miniere della zona sembrano tutte esaurite...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nMagari se fossimo arrivate prima avremmo\ntrovato qualcosa... ma non ci è dato saperlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nBah. Non chiedevo tanto, solo un paio di gioielli.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nNon vedevo l'ora di vedertene uno addosso.\nScommetto che ti sarebbe stato proprio bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nEheh.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nChe fai adesso, ridi?!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nSì.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nNon c'è una ragione particolare, sono allegra e\nbasta.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nE cosa ti rende così allegra?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nChe voi pensiate queste cose di me.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nAll'inizio volevate trovare una gemma per voi,\nma ora sembra che vogliate trovarla per me...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nMi sto godendo il pensiero.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nミスティラ\nMa guardati, non vorrai diventarmi sdolcinata...?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nPenso solo che ti meriti qualcosa di bello nella\nvita.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\nE lo apprezzo molto, principessa Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nGah...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nD'accordo! Non lascerò che finisca così. Vieni,\nandiamo dal gioielliere!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ジェーデ\nEh?! Ora vi va bene comprarlo? E tutta la\nricerca che abbiamo fatto...?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nEheh.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nAhah. Mi sono arresa. Non posso?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ジェーデ\nNon c'è nulla di male. E poi non dovevamo\ncercare chissà dove per trovare una gemma\nrara. Ce n'è una proprio qui vicino a me.\x0E\x04\x00\x00
